Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Japanese | JPN 101,Lecture Section 001,6540,25,25,0.0,No,2021-06-29 19:24:02.595544
Elementary Japanese | JPN 101,Lecture Section 002,6541,25,25,0.0,No,2021-06-29 19:24:04.990852
Elementary Japanese | JPN 101,Discussion Section 01D,6542,25,25,0.0,No,2021-06-29 19:24:07.364566
Elementary Japanese | JPN 101,Discussion Section 02D,6543,25,25,0.0,No,2021-06-29 19:24:09.741309
Intermediate Japanese | JPN 203,Lecture Section 001,6544,15,15,0.0,No,2021-06-29 19:24:12.154896
Intermediate Japanese | JPN 203,Lecture Section 002,6545,15,15,0.0,No,2021-06-29 19:24:14.551868
Intermediate Japanese | JPN 203,Discussion Section 01D,6546,15,15,0.0,No,2021-06-29 19:24:16.914638
Intermediate Japanese | JPN 203,Discussion Section 02D,6547,15,15,0.0,No,2021-06-29 19:24:19.447951
Advanced Japanese | JPN 305,Lecture Section 01,6548,8,8,0.0,No,2021-06-29 19:24:21.820651
Advanced Japanese | JPN 305,Lecture Section 02,6549,8,8,0.0,No,2021-06-29 19:24:24.244335
Independent Study | JPN 391,IND Section 01,2104,4,4,0.0,No,2021-06-29 19:24:26.658440
Independent Study | JPN 391,IND Section 02,2105,4,4,0.0,No,2021-06-29 19:24:29.022420
Independent Study | JPN 391,IND Section 03,6550,3,3,0.0,No,2021-06-29 19:24:31.472650
