Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Latin | LATIN 101,Lecture Section 01,5137,15,15,0.0,No,2021-06-28 13:05:27.952691
Elementary Latin | LATIN 101,Lecture Section 02,5138,15,15,0.0,No,2021-06-28 13:05:30.372165
Elementary Latin | LATIN 101,Lecture Section 03,5139,15,15,0.0,No,2021-06-28 13:05:32.838586
Elementary Latin | LATIN 101,Lecture Section 04,5140,15,15,0.0,No,2021-06-28 13:05:35.377967
Intermediate Latin | LATIN 203,Lecture Section 01,5141,15,15,0.0,No,2021-06-28 13:05:37.893422
Intermediate Latin | LATIN 203,Lecture Section 02,5142,15,15,0.0,No,2021-06-28 13:05:40.383711
Refresher Latin for First-Year Students | LATIN 251,Lecture Section 01,5156,15,15,0.0,No,2021-06-28 13:05:42.872084
Elegy | LATIN 328S,SEM Section 01,5145,15,15,0.0,No,2021-06-28 13:05:45.451030
Ancient Autobiography: Augustine's Confessions | LATIN 370S,SEM Section 01,5155,15,15,0.0,No,2021-06-28 13:05:47.927768
Elementary Latin | LATIN 101,Lecture Section 01,5137,15,15,0.0,No,2021-06-29 19:24:23.961162
Elementary Latin | LATIN 101,Lecture Section 02,5138,15,15,0.0,No,2021-06-29 19:24:26.371777
Elementary Latin | LATIN 101,Lecture Section 03,5139,15,15,0.0,No,2021-06-29 19:24:28.725953
Elementary Latin | LATIN 101,Lecture Section 04,5140,15,15,0.0,No,2021-06-29 19:24:31.065829
Intermediate Latin | LATIN 203,Lecture Section 01,5141,15,15,0.0,No,2021-06-29 19:24:33.465147
Intermediate Latin | LATIN 203,Lecture Section 02,5142,15,15,0.0,No,2021-06-29 19:24:35.805295
Refresher Latin for First-Year Students | LATIN 251,Lecture Section 01,5156,15,15,0.0,No,2021-06-29 19:24:38.160295
Elegy | LATIN 328S,SEM Section 01,5145,15,15,0.0,No,2021-06-29 19:24:40.538139
Ancient Autobiography: Augustine's Confessions | LATIN 370S,SEM Section 01,5155,15,15,0.0,No,2021-06-29 19:24:42.876904
