Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Structure and Properties of Solids | ME 221L,Lecture Section 001,5530,60,60,0.0,No,2021-06-28 13:11:48.400063
Structure and Properties of Solids | ME 221L,Laboratory Section 01L,5531,15,15,0.0,No,2021-06-28 13:11:50.829653
Structure and Properties of Solids | ME 221L,Laboratory Section 02L,5532,15,15,0.0,No,2021-06-28 13:11:53.251402
Structure and Properties of Solids | ME 221L,Laboratory Section 03L,5533,15,15,0.0,No,2021-06-28 13:11:55.751360
Structure and Properties of Solids | ME 221L,Laboratory Section 04L,5534,15,15,0.0,No,2021-06-28 13:11:58.283303
Mechanical Engineering Analysis for Design | ME 321L,Lecture Section 001,5539,30,30,0.0,No,2021-06-28 13:12:00.725048
Mechanical Engineering Analysis for Design | ME 321L,REC Section 01R,5540,30,30,0.0,No,2021-06-28 13:12:03.135914
Thermodynamics | ME 331L,Lecture Section 001,5483,60,60,0.0,No,2021-06-28 13:12:05.594939
Thermodynamics | ME 331L,Laboratory Section 01L,5484,60,60,0.0,No,2021-06-28 13:12:07.985936
Fluid Mechanics | ME 336L,Lecture Section 001,5495,30,30,0.0,No,2021-06-28 13:12:10.376679
Fluid Mechanics | ME 336L,Laboratory Section 01L,5496,30,30,0.0,No,2021-06-28 13:12:12.882847
Control of Dynamic Systems | ME 344L,Lecture Section 001,5485,60,60,0.0,No,2021-06-28 13:12:15.381373
Control of Dynamic Systems | ME 344L,Laboratory Section 01L,5486,15,15,0.0,No,2021-06-28 13:12:17.744900
Control of Dynamic Systems | ME 344L,Laboratory Section 02L,5487,15,15,0.0,No,2021-06-28 13:12:20.132952
Control of Dynamic Systems | ME 344L,Laboratory Section 03L,5488,15,15,0.0,No,2021-06-28 13:12:22.494206
Control of Dynamic Systems | ME 344L,Laboratory Section 04L,5489,15,15,0.0,No,2021-06-28 13:12:24.863258
Mechanical Design | ME 421L,Lecture Section 001,5497,90,90,0.0,No,2021-06-28 13:12:27.234183
Mechanical Design | ME 421L,Laboratory Section 01L,5498,90,90,0.0,No,2021-06-28 13:12:29.610244
Ocean Engineering | ME 426,Lecture Section 01,7144,45,45,0.0,No,2021-06-28 13:12:32.105871
Heat and Mass Transfer | ME 431L,Lecture Section 001,5499,90,90,0.0,No,2021-06-28 13:12:34.524322
Heat and Mass Transfer | ME 431L,Laboratory Section 01L,5500,18,18,0.0,No,2021-06-28 13:12:36.863096
Heat and Mass Transfer | ME 431L,Laboratory Section 02L,5501,18,18,0.0,No,2021-06-28 13:12:39.208728
Heat and Mass Transfer | ME 431L,Laboratory Section 03L,5502,18,18,0.0,No,2021-06-28 13:12:41.556211
Heat and Mass Transfer | ME 431L,Laboratory Section 04L,5503,18,18,0.0,No,2021-06-28 13:12:43.928015
Heat and Mass Transfer | ME 431L,Laboratory Section 05L,5504,18,18,0.0,No,2021-06-28 13:12:46.278116
Energy Engineering and the Environment | ME 461,Lecture Section 01,5538,30,30,0.0,No,2021-06-28 13:12:48.609764
Aerospace Structures | ME 473,Lecture Section 01,5542,20,20,0.0,No,2021-06-28 13:12:50.976314
Special Topics in Mechanical Engineering | ME 490,Lecture Section 01,5505,15,15,0.0,No,2021-06-28 13:12:53.326607
Special Topics in Mechanical Engineering | ME 490,Lecture Section 02,5506,15,15,0.0,No,2021-06-28 13:12:55.664429
Special Topics in Mechanical Engineering | ME 490,Lecture Section 04,5508,15,15,0.0,No,2021-06-28 13:12:58.017954
Special Topics in Mechanical Engineering | ME 490,Lecture Section 06,5509,15,15,0.0,No,2021-06-28 13:13:00.359600
Special Topics in Mechanical Engineering | ME 490,Lecture Section 07,5510,16,16,0.0,No,2021-06-28 13:13:02.706504
Special Topics in Mechanical Engineering | ME 490,Lecture Section 08,5511,20,20,0.0,No,2021-06-28 13:13:05.068100
Structure and Properties of Solids | ME 221L,Lecture Section 001,5530,60,60,0.0,No,2021-06-29 19:32:49.152026
Structure and Properties of Solids | ME 221L,Laboratory Section 01L,5531,15,15,0.0,No,2021-06-29 19:32:51.545230
Structure and Properties of Solids | ME 221L,Laboratory Section 02L,5532,15,15,0.0,No,2021-06-29 19:32:53.973880
Structure and Properties of Solids | ME 221L,Laboratory Section 03L,5533,15,15,0.0,No,2021-06-29 19:32:56.601901
Structure and Properties of Solids | ME 221L,Laboratory Section 04L,5534,15,15,0.0,No,2021-06-29 19:32:58.971110
Mechanical Engineering Analysis for Design | ME 321L,Lecture Section 001,5539,30,30,0.0,No,2021-06-29 19:33:01.365177
Mechanical Engineering Analysis for Design | ME 321L,REC Section 01R,5540,30,30,0.0,No,2021-06-29 19:33:03.757292
Thermodynamics | ME 331L,Lecture Section 001,5483,60,60,0.0,No,2021-06-29 19:33:06.148174
Thermodynamics | ME 331L,Laboratory Section 01L,5484,60,60,0.0,No,2021-06-29 19:33:08.493297
Fluid Mechanics | ME 336L,Lecture Section 001,5495,30,30,0.0,No,2021-06-29 19:33:10.846505
Fluid Mechanics | ME 336L,Laboratory Section 01L,5496,30,30,0.0,No,2021-06-29 19:33:13.220268
Control of Dynamic Systems | ME 344L,Lecture Section 001,5485,60,60,0.0,No,2021-06-29 19:33:15.593296
Control of Dynamic Systems | ME 344L,Laboratory Section 01L,5486,15,15,0.0,No,2021-06-29 19:33:17.983190
Control of Dynamic Systems | ME 344L,Laboratory Section 02L,5487,15,15,0.0,No,2021-06-29 19:33:20.387668
Control of Dynamic Systems | ME 344L,Laboratory Section 03L,5488,15,15,0.0,No,2021-06-29 19:33:22.776342
Control of Dynamic Systems | ME 344L,Laboratory Section 04L,5489,15,15,0.0,No,2021-06-29 19:33:25.151206
Mechanical Design | ME 421L,Lecture Section 001,5497,90,90,0.0,No,2021-06-29 19:33:27.508999
Mechanical Design | ME 421L,Laboratory Section 01L,5498,90,90,0.0,No,2021-06-29 19:33:29.873126
Ocean Engineering | ME 426,Lecture Section 01,7144,45,45,0.0,No,2021-06-29 19:33:32.234401
Heat and Mass Transfer | ME 431L,Lecture Section 001,5499,90,90,0.0,No,2021-06-29 19:33:34.580814
Heat and Mass Transfer | ME 431L,Laboratory Section 01L,5500,18,18,0.0,No,2021-06-29 19:33:36.963725
Heat and Mass Transfer | ME 431L,Laboratory Section 02L,5501,18,18,0.0,No,2021-06-29 19:33:39.339820
Heat and Mass Transfer | ME 431L,Laboratory Section 03L,5502,18,18,0.0,No,2021-06-29 19:33:41.725124
Heat and Mass Transfer | ME 431L,Laboratory Section 04L,5503,18,18,0.0,No,2021-06-29 19:33:44.148832
Heat and Mass Transfer | ME 431L,Laboratory Section 05L,5504,18,18,0.0,No,2021-06-29 19:33:46.557651
Energy Engineering and the Environment | ME 461,Lecture Section 01,5538,30,30,0.0,No,2021-06-29 19:33:48.938796
Aerospace Structures | ME 473,Lecture Section 01,5542,20,20,0.0,No,2021-06-29 19:33:51.521263
Special Topics in Mechanical Engineering | ME 490,Lecture Section 01,5505,15,15,0.0,No,2021-06-29 19:33:54.492416
Special Topics in Mechanical Engineering | ME 490,Lecture Section 02,5506,15,15,0.0,No,2021-06-29 19:33:57.015094
Special Topics in Mechanical Engineering | ME 490,Lecture Section 04,5508,15,15,0.0,No,2021-06-29 19:33:59.389028
Special Topics in Mechanical Engineering | ME 490,Lecture Section 06,5509,15,15,0.0,No,2021-06-29 19:34:01.788535
