Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Freedom and the Market | MMS 195FS,SEM Section 01,8789,0,18,100.0,No,2021-06-28 13:05:48.086031
Organizational Leadership & Management | MMS 197,Lecture Section 01,4421,34,34,0.0,Yes,2021-06-28 13:05:50.528514
Managerial Effectiveness | MMS 210,Lecture Section 01,4409,24,24,0.0,No,2021-06-28 13:05:52.915829
"Marketing Across Borders, Cultures and Demographics | MMS 272",Lecture Section 01,4415,33,33,0.0,Yes,2021-06-28 13:05:55.268956
Voices in Marketing: Advertising in Spanish | MMS 273T-1,TUT Section 01,4418,8,8,0.0,No,2021-06-28 13:05:57.642623
Voices in Marketing: Advertising in French | MMS 273T-2,TUT Section 01,4420,8,8,0.0,No,2021-06-28 13:06:00.037313
Voices in Marketing: Advertising in Chinese | MMS 273T-3,TUT Section 01,4422,8,8,0.0,No,2021-06-28 13:06:02.412987
Strategic Financial Management | MMS 365,Lecture Section 01,4413,30,30,0.0,No,2021-06-28 13:06:04.753408
Managerial Finance | MMS 370,Lecture Section 01,4414,40,40,0.0,No,2021-06-28 13:06:07.093586
Entrepreneurial Marketing | MMS 380,Lecture Section 01,4416,24,24,0.0,No,2021-06-28 13:06:09.465815
New Ventures Development | MMS 395,Lecture Section 01,5452,8,8,0.0,No,2021-06-28 13:06:11.821629
Markets and Management Capstone | MMS 450,Lecture Section 01,4410,24,24,0.0,No,2021-06-28 13:06:14.151563
Markets and Management Capstone | MMS 450,Lecture Section 02,4411,24,24,0.0,No,2021-06-28 13:06:16.516186
Markets and Management Capstone | MMS 450,Lecture Section 03,4412,24,24,0.0,No,2021-06-28 13:06:18.834710
