Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | MUSIC 89S,SEM Section 01,6816,16,16,0.0,No,2021-06-28 13:07:06.514248
First-Year Seminar | MUSIC 89S,SEM Section 03,7279,18,18,0.0,No,2021-06-28 13:07:09.019223
Class Piano | MUSIC 101-1,MUS Section 01,6859,5,5,0.0,No,2021-06-28 13:07:11.424718
Class Piano | MUSIC 101-1,MUS Section 02,6860,5,5,0.0,No,2021-06-28 13:07:13.799861
Class Piano | MUSIC 101-1,MUS Section 03,6861,5,5,0.0,No,2021-06-28 13:07:16.141962
Class Piano | MUSIC 101-1,MUS Section 04,6862,5,5,0.0,No,2021-06-28 13:07:18.495102
Class Voice | MUSIC 101-2,MUS Section 01,6863,5,5,0.0,No,2021-06-28 13:07:20.865000
Class Voice | MUSIC 101-2,MUS Section 02,6864,5,5,0.0,No,2021-06-28 13:07:23.309746
Class Voice | MUSIC 101-2,MUS Section 04,6866,5,5,0.0,No,2021-06-28 13:07:25.679147
Introductory Guitar Class | MUSIC 101-3,MUS Section 01,6867,5,5,0.0,No,2021-06-28 13:07:28.065067
Introductory Guitar Class | MUSIC 101-3,MUS Section 02,6868,5,5,0.0,No,2021-06-28 13:07:30.451996
Djembe Class | MUSIC 101-4,MUS Section 01,6877,12,12,0.0,No,2021-06-28 13:07:32.837967
Class Improvisation | MUSIC 101-5,MUS Section 01,6898,10,10,0.0,No,2021-06-28 13:07:35.201747
Classical Piano | MUSIC 103-1,MUS Section 01,1773,10,10,0.0,No,2021-06-28 13:07:37.608773
Classical Piano | MUSIC 103-1,MUS Section 02,1774,25,25,0.0,No,2021-06-28 13:07:40.025660
Classical Piano | MUSIC 103-1,MUS Section 03,1775,25,25,0.0,No,2021-06-28 13:07:42.409090
Classical Piano | MUSIC 103-1,MUS Section 04,1776,25,25,0.0,No,2021-06-28 13:07:44.775748
Jazz Piano | MUSIC 103-2,MUS Section 01,1779,25,25,0.0,No,2021-06-28 13:07:47.160465
Organ | MUSIC 103-3,MUS Section 01,1767,25,25,0.0,No,2021-06-28 13:07:49.547770
Harpsichord | MUSIC 103-4,MUS Section 01,1768,25,25,0.0,No,2021-06-28 13:07:51.938582
Violin | MUSIC 104-1,MUS Section 01,1780,25,25,0.0,No,2021-06-28 13:07:54.322888
Violin | MUSIC 104-1,MUS Section 02,1781,25,25,0.0,No,2021-06-28 13:07:56.693512
Violin | MUSIC 104-1,MUS Section 03,1782,25,25,0.0,No,2021-06-28 13:07:59.076550
Violin | MUSIC 104-1,MUS Section 04,1783,10,10,0.0,No,2021-06-28 13:08:01.483190
Violin | MUSIC 104-1,MUS Section 09,6874,10,10,0.0,No,2021-06-28 13:08:03.858733
Viola | MUSIC 104-2,MUS Section 01,1788,25,25,0.0,No,2021-06-28 13:08:06.231692
Viola | MUSIC 104-2,MUS Section 02,1789,25,25,0.0,No,2021-06-28 13:08:08.622094
Cello | MUSIC 104-3,MUS Section 01,1791,25,25,0.0,No,2021-06-28 13:08:10.968879
Double Bass | MUSIC 104-4,MUS Section 01,1793,25,25,0.0,No,2021-06-28 13:08:13.340140
Classical Guitar | MUSIC 104-5,MUS Section 01,1769,10,10,0.0,No,2021-06-28 13:08:15.723765
Jazz Guitar | MUSIC 104-6,MUS Section 01,1770,25,25,0.0,No,2021-06-28 13:08:18.073652
