Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Naval Science | NAVALSCI 101,Lecture Section 01,6483,10,10,0.0,No,2021-06-28 13:14:45.972750
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,6491,10,10,0.0,No,2021-06-28 13:14:48.338849
Evolution of Warfare | NAVALSCI 213S,SEM Section 01,8679,10,10,0.0,No,2021-06-28 13:14:50.707541
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,6490,10,10,0.0,No,2021-06-28 13:14:53.053888
Naval Ship Systems | NAVALSCI 331,Lecture Section 01,6484,10,10,0.0,No,2021-06-28 13:14:55.409195
Navigation | NAVALSCI 353,Lecture Section 001,6485,7,7,0.0,No,2021-06-28 13:14:57.767998
Navigation Laboratory | NAVALSCI 353L,Laboratory Section 01L,6486,7,7,0.0,No,2021-06-28 13:15:00.135935
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,6489,10,10,0.0,No,2021-06-28 13:15:02.492303
Leadership and Ethics | NAVALSCI 423S,SEM Section 01,6487,10,10,0.0,No,2021-06-28 13:15:04.833615
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,6488,10,10,0.0,No,2021-06-28 13:15:07.179951
Introduction to Naval Science | NAVALSCI 101,Lecture Section 01,6483,10,10,0.0,No,2021-06-29 19:25:27.100446
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,6491,10,10,0.0,No,2021-06-29 19:25:29.687311
Evolution of Warfare | NAVALSCI 213S,SEM Section 01,8679,10,10,0.0,No,2021-06-29 19:25:32.236782
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,6490,10,10,0.0,No,2021-06-29 19:25:34.737141
Naval Ship Systems | NAVALSCI 331,Lecture Section 01,6484,10,10,0.0,No,2021-06-29 19:25:37.232814
Navigation | NAVALSCI 353,Lecture Section 001,6485,7,7,0.0,No,2021-06-29 19:25:39.636652
Navigation Laboratory | NAVALSCI 353L,Laboratory Section 01L,6486,7,7,0.0,No,2021-06-29 19:25:42.102860
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,6489,10,10,0.0,No,2021-06-29 19:25:44.494039
Leadership and Ethics | NAVALSCI 423S,SEM Section 01,6487,10,10,0.0,No,2021-06-29 19:25:46.914324
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,6488,10,10,0.0,No,2021-06-29 19:25:49.321042
