Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Documenting the Middle East: Community and Oral History | AMES 106FS,SEM Section 01,8855,3,18,83.33333333333334,No,2021-06-30 21:39:12.864683
"Self, Society and Art in Modern Hinduism | AMES 111",Lecture Section 01,7604,40,40,0.0,No,2021-06-30 21:39:15.331462
"Scripture: Judaism, Christianity, and Islam | AMES 138",Lecture Section 01,7663,60,60,0.0,No,2021-06-30 21:39:17.771862
History of Chinese Medicine | AMES 142,Lecture Section 01,7009,35,35,0.0,No,2021-06-30 21:39:20.174940
Chinese Music Ensemble | AMES 145,MUS Section 01,6909,10,10,0.0,No,2021-06-30 21:39:22.534493
Indian Civilization | AMES 157S,SEM Section 01,6991,18,18,0.0,No,2021-06-30 21:39:24.923818
Ancient and Early Modern Japan | AMES 167,Lecture Section 01,6964,35,35,0.0,No,2021-06-30 21:39:27.314886
World of Korean Cinema | AMES 171,Lecture Section 01,6573,14,14,0.0,No,2021-06-30 21:39:29.686817
The Turks: From Ottoman Empire to European Union | AMES 186,Lecture Section 01,6570,18,18,0.0,No,2021-06-30 21:39:32.027512
Games and Culture: Gateway to the Study of Games | AMES 188FS,SEM Section 01,6627,0,18,100.0,No,2021-06-30 21:39:34.374388
Women and Gender in the Middle East | AMES 189,Lecture Section 01,6592,18,18,0.0,No,2021-06-30 21:39:36.783259
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 01,6613,18,18,0.0,No,2021-06-30 21:39:39.177393
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 02,6614,18,18,0.0,No,2021-06-30 21:39:41.563322
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 03,6903,18,18,0.0,No,2021-06-30 21:39:43.978566
Special Topics in Asian & Middle Eastern Studies | AMES 190S,SEM Section 04,10177,18,18,0.0,No,2021-06-30 21:39:46.429761
Indian Literature of Marginalized Society | AMES 191,Lecture Section 01,6626,16,16,0.0,No,2021-06-30 21:39:48.888214
Gateway Seminar: Rethinking Asia and the Middle East | AMES 195S,SEM Section 01,6615,18,18,0.0,No,2021-06-30 21:39:51.283195
Clash of Civilizations: In the Heart of Europe | AMES 206FS,SEM Section 01,6620,0,18,100.0,No,2021-06-30 21:39:53.715628
Muslim Ethics and Islamic Law: Issues and Debates | AMES 206S,SEM Section 01,7653,18,18,0.0,No,2021-06-30 21:39:56.088598
"Silk Roads and China, Ancient and Medieval Transformations | AMES 207",Lecture Section 01,7002,30,30,0.0,No,2021-06-30 21:39:58.438871
Elements of Linguistic Structure | AMES 219,Lecture Section 01,4380,20,20,0.0,No,2021-06-30 21:40:00.841895
Indian Cinema & Social Change | AMES 222,Lecture Section 01,7677,40,40,0.0,No,2021-06-30 21:40:03.338672
Jerusalem | AMES 232S,SEM Section 01,9227,15,15,0.0,No,2021-06-30 21:40:05.750282
Cross-Cultural Encounters | AMES 235S,SEM Section 01,7671,18,18,0.0,No,2021-06-30 21:40:08.214905
