Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Arabic | ARABIC 101,Lecture Section 001,6492,18,18,0.0,No,2021-06-30 21:41:36.599248
Elementary Arabic | ARABIC 101,Lecture Section 002,6493,18,18,0.0,No,2021-06-30 21:41:39.016738
Elementary Arabic | ARABIC 101,Lecture Section 003,6494,16,16,0.0,No,2021-06-30 21:41:41.534502
Elementary Arabic | ARABIC 101,Discussion Section 01D,6495,18,18,0.0,No,2021-06-30 21:41:44.025269
Elementary Arabic | ARABIC 101,Discussion Section 02D,6496,18,18,0.0,No,2021-06-30 21:41:46.403155
Elementary Arabic | ARABIC 101,Discussion Section 03D,6497,16,16,0.0,No,2021-06-30 21:41:48.743732
Elementary Arabic | ARABIC 102,Lecture Section 001,6498,12,12,0.0,No,2021-06-30 21:41:51.106306
Elementary Arabic | ARABIC 102,Discussion Section 01D,6499,12,12,0.0,No,2021-06-30 21:41:53.436486
Intermediate Arabic | ARABIC 203,Lecture Section 001,6500,12,12,0.0,No,2021-06-30 21:41:55.817966
Intermediate Arabic | ARABIC 203,Lecture Section 002,6501,12,12,0.0,No,2021-06-30 21:41:58.292630
Intermediate Arabic | ARABIC 203,Discussion Section 01D,6502,12,12,0.0,No,2021-06-30 21:42:00.738801
Intermediate Arabic | ARABIC 203,Discussion Section 02D,6503,12,12,0.0,No,2021-06-30 21:42:03.230289
Advanced Arabic | ARABIC 305,Lecture Section 01,6504,12,12,0.0,No,2021-06-30 21:42:05.859931
Independent Study | ARABIC 391,IND Section 01,2090,4,4,0.0,No,2021-06-30 21:42:08.388969
Independent Study | ARABIC 391,IND Section 02,2091,4,4,0.0,No,2021-06-30 21:42:10.845040
Issues in Arabic Language and Literature I | ARABIC 407,Lecture Section 01,6505,12,12,0.0,No,2021-06-30 21:42:13.264242
