Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTHIST 89S,SEM Section 01,8939,15,15,0.0,No,2021-06-30 21:36:55.124405
First-Year Seminar | ARTHIST 89S,SEM Section 02,5127,18,18,0.0,No,2021-06-30 21:36:57.495668
The Tokyo Idea: Visualizing a Global City | ARTHIST 219,Lecture Section 01,9218,12,12,0.0,No,2021-06-30 21:36:59.962616
Medieval Castles of Europe | ARTHIST 227,Lecture Section 01,9179,14,14,0.0,No,2021-06-30 21:37:02.439106
Jerusalem | ARTHIST 230S,SEM Section 01,9226,15,15,0.0,No,2021-06-30 21:37:05.074520
History of Art Markets | ARTHIST 231,Lecture Section 01,8940,35,35,0.0,No,2021-06-30 21:37:07.645997
History of Art Markets | ARTHIST 231,Lecture Section 02,8941,35,35,0.0,No,2021-06-30 21:37:10.105383
Science Fiction Film | ARTHIST 238,Lecture Section 01,7255,20,20,0.0,No,2021-06-30 21:37:12.556731
"Women in Visual Arts, 1400-1800: Theory and History | ARTHIST 245S",SEM Section 01,9440,11,11,0.0,No,2021-06-30 21:37:15.017367
Italian Baroque Art | ARTHIST 256,Lecture Section 01,9140,12,12,0.0,No,2021-06-30 21:37:17.482430
Modern Architecture | ARTHIST 285D,Lecture Section 001,9013,15,15,0.0,No,2021-06-30 21:37:19.858021
Modern Architecture | ARTHIST 285D,Discussion Section 01D,9014,15,15,0.0,No,2021-06-30 21:37:22.216106
Independent Study | ARTHIST 291,IND Section 01,8995,3,3,0.0,No,2021-06-30 21:37:24.655252
Independent Study | ARTHIST 291,IND Section 02,8996,3,3,0.0,No,2021-06-30 21:37:26.999433
Independent Study | ARTHIST 292,IND Section 01,9005,3,3,0.0,No,2021-06-30 21:37:29.373464
Independent Study | ARTHIST 292,IND Section 02,9006,3,3,0.0,No,2021-06-30 21:37:31.720169
Research Independent Study | ARTHIST 293,IND Section 01,8993,3,3,0.0,No,2021-06-30 21:37:34.101971
Research Independent Study | ARTHIST 293,IND Section 02,8994,3,3,0.0,No,2021-06-30 21:37:36.466234
Research Independent Study | ARTHIST 294,IND Section 01,9003,3,3,0.0,No,2021-06-30 21:37:38.835181
Research Independent Study | ARTHIST 294,IND Section 02,9004,3,3,0.0,No,2021-06-30 21:37:41.278164
Museum Practicum I | ARTHIST 310,FLD Section 01,8973,10,10,0.0,No,2021-06-30 21:37:43.821862
Museum Practicum II | ARTHIST 311,FLD Section 01,9083,10,10,0.0,No,2021-06-30 21:37:46.244301
Mapping History with Geographic Information Systems | ARTHIST 315,Lecture Section 01,7424,10,10,0.0,No,2021-06-30 21:37:48.705736
African Art: From Royal Court to Contemporary Marketplace | ARTHIST 345,Lecture Section 01,9169,18,18,0.0,No,2021-06-30 21:37:51.249909
The Black Atlantic | ARTHIST 383,Lecture Section 01,8947,18,18,0.0,No,2021-06-30 21:37:53.775388
Special Topics in Art History | ARTHIST 390S,SEM Section 01,9017,10,10,0.0,No,2021-06-30 21:37:56.272203
Special Topics in Art History | ARTHIST 390S,SEM Section 02,4944,18,18,0.0,No,2021-06-30 21:37:58.652093
Independent Study | ARTHIST 391,IND Section 01,9152,3,3,0.0,No,2021-06-30 21:38:00.989293
Independent Study | ARTHIST 391,IND Section 02,9153,3,3,0.0,No,2021-06-30 21:38:03.335948
Independent Study | ARTHIST 391,IND Section 03,9154,3,3,0.0,No,2021-06-30 21:38:05.668974
Independent Study | ARTHIST 392,IND Section 01,9155,3,3,0.0,No,2021-06-30 21:38:07.975602
Independent Study | ARTHIST 392,IND Section 02,9156,3,3,0.0,No,2021-06-30 21:38:10.334908
Independent Study | ARTHIST 392,IND Section 03,9157,3,3,0.0,No,2021-06-30 21:38:12.647474
Research Independent Study | ARTHIST 393,IND Section 01,9159,3,3,0.0,No,2021-06-30 21:38:15.043845
Research Independent Study | ARTHIST 393,IND Section 02,9160,3,3,0.0,No,2021-06-30 21:38:17.455102
Research Independent Study | ARTHIST 393,IND Section 03,9161,3,3,0.0,No,2021-06-30 21:38:19.844094
Research Independent Study | ARTHIST 394,IND Section 01,9162,3,3,0.0,No,2021-06-30 21:38:22.304464
Research Independent Study | ARTHIST 394,IND Section 02,9163,3,3,0.0,No,2021-06-30 21:38:24.836970
Research Independent Study | ARTHIST 394,IND Section 03,9164,3,3,0.0,No,2021-06-30 21:38:27.301658
Curatorial Practicum: Exhibition Development and Design | ARTHIST 455S,SEM Section 01,9121,5,5,0.0,No,2021-06-30 21:38:29.861089
Independent Study | ARTHIST 491,IND Section 01,9000,3,3,0.0,No,2021-06-30 21:38:32.474189
Independent Study | ARTHIST 491,IND Section 02,9001,3,3,0.0,No,2021-06-30 21:38:34.890451
Independent Study | ARTHIST 491,IND Section 03,9002,3,3,0.0,No,2021-06-30 21:38:37.368626
Independent Study | ARTHIST 492,IND Section 01,9010,3,3,0.0,No,2021-06-30 21:38:39.917640
Independent Study | ARTHIST 492,IND Section 02,9011,3,3,0.0,No,2021-06-30 21:38:42.406987
Independent Study | ARTHIST 492,IND Section 03,9012,3,3,0.0,No,2021-06-30 21:38:44.835732
Research Independent Study | ARTHIST 493,IND Section 01,8997,3,3,0.0,No,2021-06-30 21:38:47.191123
Research Independent Study | ARTHIST 493,IND Section 02,8998,3,3,0.0,No,2021-06-30 21:38:49.585159
Research Independent Study | ARTHIST 493,IND Section 03,8999,3,3,0.0,No,2021-06-30 21:38:51.973499
Research Independent Study | ARTHIST 494,IND Section 01,9007,3,3,0.0,No,2021-06-30 21:38:54.306329
Research Independent Study | ARTHIST 494,IND Section 02,9008,3,3,0.0,No,2021-06-30 21:38:56.622991
Research Independent Study | ARTHIST 494,IND Section 03,9009,3,3,0.0,No,2021-06-30 21:38:59.011936
