Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTSVIS 89S,SEM Section 01,8703,15,15,0.0,No,2021-06-30 21:39:17.018970
Introduction to Digital Photography | ARTSVIS 119S,SEM Section 01,9132,15,15,0.0,No,2021-06-30 21:39:19.428395
Experimental Interface Design | ARTSVIS 198,Lecture Section 01,9100,18,18,0.0,No,2021-06-30 21:39:21.900933
Drawing | ARTSVIS 199,Lecture Section 01,8959,10,10,0.0,No,2021-06-30 21:39:24.306200
Medicine and the Vision of Documentary Photography | ARTSVIS 204S,SEM Section 01,6655,15,15,0.0,Yes,2021-06-30 21:39:26.694945
Intermediate Drawing | ARTSVIS 205,Lecture Section 01,8960,9,9,0.0,No,2021-06-30 21:39:29.054384
Digital Imaging | ARTSVIS 206,Lecture Section 01,8992,10,10,0.0,No,2021-06-30 21:39:31.472450
Sculpture | ARTSVIS 210,Lecture Section 01,8961,10,10,0.0,No,2021-06-30 21:39:33.910545
"Digital Documentary Photography: Education, Childhood, and Growth | ARTSVIS 212FS",SEM Section 01,6683,1,18,94.44444444444444,No,2021-06-30 21:39:36.285076
"Digital Documentary Photography: Education, Childhood, and Growth | ARTSVIS 212S",SEM Section 01,6662,15,15,0.0,No,2021-06-30 21:39:38.668022
Intermediate Painting | ARTSVIS 220,Lecture Section 01,8962,6,6,0.0,No,2021-06-30 21:39:41.059842
Printmaking: Silkscreen | ARTSVIS 224,Lecture Section 01,8963,8,8,0.0,No,2021-06-30 21:39:43.464896
Costume Design | ARTSVIS 233S,SEM Section 01,8882,16,16,0.0,No,2021-06-30 21:39:45.837956
Color Photography: Fieldwork and Digital Color | ARTSVIS 240S,SEM Section 01,6659,13,13,0.0,No,2021-06-30 21:39:48.273537
Cinematography | ARTSVIS 248S,SEM Section 01,9060,9,9,0.0,No,2021-06-30 21:39:50.720110
The Photobook: History and Practice | ARTSVIS 249S,SEM Section 01,9029,10,10,0.0,No,2021-06-30 21:39:53.201257
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 01,9089,3,3,0.0,No,2021-06-30 21:39:55.635017
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 02,9090,3,3,0.0,No,2021-06-30 21:39:58.023838
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 03,9091,3,3,0.0,No,2021-06-30 21:40:00.561995
Individual Project in the Visual Arts | ARTSVIS 291,IND Section 04,9092,3,3,0.0,No,2021-06-30 21:40:02.978068
Writing the Short Film | ARTSVIS 303S,SEM Section 01,9185,15,15,0.0,No,2021-06-30 21:40:05.349986
USER EXPERIENCE AND USER INTERFACE DESIGN AND DEVELOPMENT | ARTSVIS 307,Lecture Section 01,9223,10,10,0.0,No,2021-06-30 21:40:07.784055
Film Animation Production | ARTSVIS 326S,SEM Section 01,8978,15,15,0.0,No,2021-06-30 21:40:10.236240
Sound for Film and Video | ARTSVIS 350S,SEM Section 01,8983,9,9,0.0,No,2021-06-30 21:40:12.669315
16mm Film Production | ARTSVIS 356S,SEM Section 01,9065,10,10,0.0,No,2021-06-30 21:40:15.113126
The View Camera: Black and White Large Format Photography | ARTSVIS 368S,SEM Section 01,6690,10,10,0.0,No,2021-06-30 21:40:17.453749
Graphic Design in Motion | ARTSVIS 381S,SEM Section 01,9172,12,12,0.0,No,2021-06-30 21:40:19.810557
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 01,9084,3,3,0.0,No,2021-06-30 21:40:22.132484
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 02,9085,3,3,0.0,No,2021-06-30 21:40:24.458750
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 03,9086,3,3,0.0,No,2021-06-30 21:40:26.813573
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 04,9087,3,3,0.0,No,2021-06-30 21:40:29.160780
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 05,9088,3,3,0.0,No,2021-06-30 21:40:31.511236
Independent Study | ARTSVIS 491,IND Section 01,8965,3,3,0.0,No,2021-06-30 21:40:33.965962
Independent Study | ARTSVIS 491,IND Section 02,8966,3,3,0.0,No,2021-06-30 21:40:36.454771
Independent Study | ARTSVIS 491,IND Section 03,8967,3,3,0.0,No,2021-06-30 21:40:38.817585
Independent Study | ARTSVIS 491,IND Section 04,8968,3,3,0.0,No,2021-06-30 21:40:41.163230
Independent Study | ARTSVIS 492,IND Section 01,8969,3,3,0.0,No,2021-06-30 21:40:43.611863
Independent Study | ARTSVIS 492,IND Section 02,8970,3,3,0.0,No,2021-06-30 21:40:46.019337
Independent Study | ARTSVIS 492,IND Section 03,8971,3,3,0.0,No,2021-06-30 21:40:48.416187
Independent Study | ARTSVIS 492,IND Section 04,8972,3,3,0.0,No,2021-06-30 21:40:50.785075
Advanced Visual Practice | ARTSVIS 497S,SEM Section 01,9026,10,10,0.0,No,2021-06-30 21:40:53.153860
