Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introductory Biochemistry I: Intermediary Metabolism | BIOCHEM 301,Lecture Section 01,8239,300,300,0.0,No,2021-06-30 21:41:09.309986
Research Independent Study | BIOCHEM 393,IND Section 01,2420,1,1,0.0,No,2021-06-30 21:41:11.983325
Research Independent Study | BIOCHEM 393,IND Section 02,2421,3,3,0.0,No,2021-06-30 21:41:14.451990
Research Independent Study | BIOCHEM 393,IND Section 03,2422,3,3,0.0,No,2021-06-30 21:41:16.907875
Research Independent Study | BIOCHEM 393,IND Section 04,2423,3,3,0.0,No,2021-06-30 21:41:19.345525
Research Independent Study | BIOCHEM 393,IND Section 05,2424,3,3,0.0,No,2021-06-30 21:41:21.855980
Research Independent Study | BIOCHEM 393,IND Section 06,2425,3,3,0.0,No,2021-06-30 21:41:24.351702
Research Independent Study | BIOCHEM 393,IND Section 07,2426,3,3,0.0,No,2021-06-30 21:41:26.849003
Research Independent Study | BIOCHEM 393,IND Section 08,2427,3,3,0.0,No,2021-06-30 21:41:29.605745
Research Independent Study | BIOCHEM 393,IND Section 09,2428,3,3,0.0,No,2021-06-30 21:41:32.095124
Research Independent Study | BIOCHEM 393,IND Section 11,2429,3,3,0.0,No,2021-06-30 21:41:34.680044
Research Independent Study | BIOCHEM 393,IND Section 12,2430,3,3,0.0,No,2021-06-30 21:41:37.103060
Research Independent Study | BIOCHEM 393,IND Section 13,2431,3,3,0.0,No,2021-06-30 21:41:39.641261
Research Independent Study | BIOCHEM 393,IND Section 14,2432,3,3,0.0,No,2021-06-30 21:41:42.118338
Research Independent Study | BIOCHEM 393,IND Section 15,2433,3,3,0.0,No,2021-06-30 21:41:44.519351
Research Independent Study | BIOCHEM 393,IND Section 16,2434,3,3,0.0,No,2021-06-30 21:41:46.869468
Research Independent Study | BIOCHEM 393,IND Section 17,2435,3,3,0.0,No,2021-06-30 21:41:49.234963
Research Independent Study | BIOCHEM 393,IND Section 18,2436,3,3,0.0,No,2021-06-30 21:41:51.580087
Research Independent Study | BIOCHEM 393,IND Section 19,2437,3,3,0.0,No,2021-06-30 21:41:53.908981
Research Independent Study | BIOCHEM 393,IND Section 20,2438,3,3,0.0,No,2021-06-30 21:41:56.255138
Research Independent Study | BIOCHEM 393,IND Section 21,2439,3,3,0.0,No,2021-06-30 21:41:58.662351
Research Independent Study | BIOCHEM 393,IND Section 22,2440,3,3,0.0,No,2021-06-30 21:42:01.093655
Research Independent Study | BIOCHEM 393,IND Section 23,2441,3,3,0.0,No,2021-06-30 21:42:03.634393
Research Independent Study | BIOCHEM 393,IND Section 24,2442,3,3,0.0,No,2021-06-30 21:42:06.167841
