Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Biomaterials | BME 221L,Lecture Section 001,6267,32,32,0.0,No,2021-06-30 21:36:54.006070
Biomaterials | BME 221L,Laboratory Section 01L,6268,16,16,0.0,No,2021-06-30 21:36:56.373923
Biomaterials | BME 221L,Laboratory Section 02L,6269,16,16,0.0,No,2021-06-30 21:36:58.761491
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 001,6216,45,45,0.0,No,2021-06-30 21:37:01.191779
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 002,6217,45,45,0.0,No,2021-06-30 21:37:03.677742
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 01L,6218,20,20,0.0,No,2021-06-30 21:37:06.172857
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 02L,6219,20,20,0.0,No,2021-06-30 21:37:08.708523
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 03L,6220,20,20,0.0,No,2021-06-30 21:37:11.067919
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 04L,6221,20,20,0.0,No,2021-06-30 21:37:13.506802
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 001,6201,36,36,0.0,No,2021-06-30 21:37:15.905424
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 01L,6202,36,36,0.0,No,2021-06-30 21:37:18.305423
Signals and Systems | BME 271D,Lecture Section 001,6157,50,50,0.0,No,2021-06-30 21:37:20.653551
Signals and Systems | BME 271D,Discussion Section 01D,6158,25,25,0.0,No,2021-06-30 21:37:23.020311
Signals and Systems | BME 271D,Discussion Section 02D,6159,25,25,0.0,No,2021-06-30 21:37:25.440500
Intermediate Topics with Lab (GE) | BME 290L,Lecture Section 001,6245,10,10,0.0,No,2021-06-30 21:37:27.826811
Intermediate Topics with Lab (GE) | BME 290L,Laboratory Section 01L,6246,10,10,0.0,No,2021-06-30 21:37:30.166805
Bioelectricity (AC or GE) | BME 301L,Lecture Section 001,6170,20,20,0.0,No,2021-06-30 21:37:32.563909
Bioelectricity (AC or GE) | BME 301L,Laboratory Section 01L,6171,20,20,0.0,No,2021-06-30 21:37:34.969575
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Lecture Section 001,6181,15,15,0.0,No,2021-06-30 21:37:37.392358
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 01L,6182,15,15,0.0,No,2021-06-30 21:37:39.736530
"Transport Phenomena in Biological Systems (AC or GE, BB) | BME 307",Lecture Section 01,6175,25,25,0.0,No,2021-06-30 21:37:42.116224
Introduction to Medical Instrumentation | BME 354L,Lecture Section 001,6203,24,24,0.0,No,2021-06-30 21:37:44.556875
Introduction to Medical Instrumentation | BME 354L,Laboratory Section 01L,6204,24,24,0.0,No,2021-06-30 21:37:47.035685
Projects in Biomedical Engineering (GE) | BME 394,IND Section 01,6196,1,1,0.0,No,2021-06-30 21:37:49.536624
Projects in Biomedical Engineering (GE) | BME 394,IND Section 02,6197,1,1,0.0,No,2021-06-30 21:37:52.048139
Projects in Biomedical Engineering (GE) | BME 394,IND Section 03,6198,1,1,0.0,No,2021-06-30 21:37:54.506022
Projects in Biomedical Engineering (GE) | BME 394,IND Section 04,6199,1,1,0.0,No,2021-06-30 21:37:57.011390
Projects in Biomedical Engineering (GE) | BME 394,IND Section 05,6200,1,1,0.0,No,2021-06-30 21:37:59.421376
Biomechanics and Vehicle Safety Engineering (DR) | BME 432L,Lecture Section 001,6222,15,15,0.0,No,2021-06-30 21:38:01.821837
Biomechanics and Vehicle Safety Engineering (DR) | BME 432L,Laboratory Section 01L,6223,15,15,0.0,No,2021-06-30 21:38:04.205784
Medical Device Design I | BME 473L,Lecture Section 001,6263,16,16,0.0,No,2021-06-30 21:38:06.586926
Medical Device Design I | BME 473L,Laboratory Section 01L,6264,16,16,0.0,No,2021-06-30 21:38:08.942975
Medical Device Design II | BME 474L,Lecture Section 001,6265,24,24,0.0,No,2021-06-30 21:38:11.355632
Medical Device Design II | BME 474L,Laboratory Section 01L,6266,24,24,0.0,No,2021-06-30 21:38:13.753149
Projects in Biomedical Engineering (GE) | BME 493,IND Section 01,6160,1,1,0.0,No,2021-06-30 21:38:16.360611
Projects in Biomedical Engineering (GE) | BME 493,IND Section 02,6161,1,1,0.0,No,2021-06-30 21:38:19.066884
Projects in Biomedical Engineering (GE) | BME 493,IND Section 03,6162,1,1,0.0,No,2021-06-30 21:38:21.397416
Projects in Biomedical Engineering (GE) | BME 493,IND Section 04,6163,1,1,0.0,No,2021-06-30 21:38:23.811403
Projects in Biomedical Engineering (GE) | BME 493,IND Section 05,6164,1,1,0.0,No,2021-06-30 21:38:26.249588
Projects in Biomedical Engineering (GE) | BME 494,IND Section 01,6165,1,1,0.0,No,2021-06-30 21:38:28.757312
Projects in Biomedical Engineering (GE) | BME 494,IND Section 02,6166,1,1,0.0,No,2021-06-30 21:38:31.255036
Projects in Biomedical Engineering (GE) | BME 494,IND Section 03,6167,1,1,0.0,No,2021-06-30 21:38:33.696553
Projects in Biomedical Engineering (GE) | BME 494,IND Section 04,6168,1,1,0.0,No,2021-06-30 21:38:36.093303
Projects in Biomedical Engineering (GE) | BME 494,IND Section 05,6169,1,1,0.0,No,2021-06-30 21:38:38.502475
