Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 01,1478,18,18,0.0,No,2021-06-30 21:39:10.137552
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 02,1482,18,18,0.0,No,2021-06-30 21:39:12.571268
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 03,1483,18,18,0.0,No,2021-06-30 21:39:15.016302
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 04,1484,18,18,0.0,No,2021-06-30 21:39:17.394308
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 05,1485,18,18,0.0,No,2021-06-30 21:39:19.792902
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 06,1486,18,18,0.0,No,2021-06-30 21:39:22.200891
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 07,5319,18,18,0.0,No,2021-06-30 21:39:24.626376
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 08,1487,18,18,0.0,No,2021-06-30 21:39:27.026164
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 09,1488,18,18,0.0,No,2021-06-30 21:39:29.365546
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 10,1489,18,18,0.0,No,2021-06-30 21:39:31.731922
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 11,1490,18,18,0.0,No,2021-06-30 21:39:34.099990
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 12,1600,18,18,0.0,No,2021-06-30 21:39:36.469316
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 13,5318,18,18,0.0,No,2021-06-30 21:39:38.854354
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 01,1492,18,18,0.0,No,2021-06-30 21:39:41.262073
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 02,1496,18,18,0.0,No,2021-06-30 21:39:43.630073
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 03,1497,18,18,0.0,No,2021-06-30 21:39:46.037253
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 04,1498,18,18,0.0,No,2021-06-30 21:39:48.418486
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 05,1499,18,18,0.0,No,2021-06-30 21:39:50.946897
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 06,1500,18,18,0.0,No,2021-06-30 21:39:53.432104
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 07,5321,18,18,0.0,No,2021-06-30 21:39:55.890390
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 08,1501,18,18,0.0,No,2021-06-30 21:39:58.296628
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 09,1502,18,18,0.0,No,2021-06-30 21:40:00.714225
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 10,1503,18,18,0.0,No,2021-06-30 21:40:03.267396
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 11,1504,18,18,0.0,No,2021-06-30 21:40:05.667065
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 12,1505,18,18,0.0,No,2021-06-30 21:40:08.135097
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395-1,IND Section 13,5320,18,18,0.0,No,2021-06-30 21:40:10.537045
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 01,1581,18,18,0.0,No,2021-06-30 21:40:13.029355
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 02,1585,18,18,0.0,No,2021-06-30 21:40:15.485894
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 03,1586,18,18,0.0,No,2021-06-30 21:40:17.831172
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 04,1587,18,18,0.0,No,2021-06-30 21:40:20.235416
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 05,1588,18,18,0.0,No,2021-06-30 21:40:22.687544
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 06,1589,18,18,0.0,No,2021-06-30 21:40:25.012693
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 07,5335,18,18,0.0,No,2021-06-30 21:40:27.385578
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 08,5334,18,18,0.0,No,2021-06-30 21:40:29.829149
Bass Connections in Brain & Society Research Team | BRAINSOC 395T,TUT Section 09,5336,18,18,0.0,No,2021-06-30 21:40:32.278019
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 01,1507,18,18,0.0,No,2021-06-30 21:40:34.727605
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 02,1511,18,18,0.0,No,2021-06-30 21:40:37.098575
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 03,1512,18,18,0.0,No,2021-06-30 21:40:39.491083
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 04,1513,18,18,0.0,No,2021-06-30 21:40:41.846403
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 05,1514,18,18,0.0,No,2021-06-30 21:40:44.219388
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 06,1515,18,18,0.0,No,2021-06-30 21:40:46.711328
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 07,5323,18,18,0.0,No,2021-06-30 21:40:49.094802
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 08,1516,18,18,0.0,No,2021-06-30 21:40:51.464783
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 09,1517,18,18,0.0,No,2021-06-30 21:40:53.831389
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 10,1518,18,18,0.0,No,2021-06-30 21:40:56.237426
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 11,1519,18,18,0.0,No,2021-06-30 21:40:58.578805
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 12,1520,18,18,0.0,No,2021-06-30 21:41:00.984414
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396,IND Section 13,5322,18,18,0.0,No,2021-06-30 21:41:03.375252
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 01,1522,18,18,0.0,No,2021-06-30 21:41:05.726380
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 02,1526,18,18,0.0,No,2021-06-30 21:41:08.097112
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 03,1527,18,18,0.0,No,2021-06-30 21:41:10.494744
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 04,1528,18,18,0.0,No,2021-06-30 21:41:12.932406
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 05,1529,18,18,0.0,No,2021-06-30 21:41:15.307338
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 06,1530,18,18,0.0,No,2021-06-30 21:41:17.741505
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 07,5325,18,18,0.0,No,2021-06-30 21:41:20.161441
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 08,1531,18,18,0.0,No,2021-06-30 21:41:22.557973
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 09,1532,18,18,0.0,No,2021-06-30 21:41:24.924644
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 10,1533,18,18,0.0,No,2021-06-30 21:41:27.470060
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 11,1534,18,18,0.0,No,2021-06-30 21:41:30.223598
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 12,1535,18,18,0.0,No,2021-06-30 21:41:32.727730
Bass Connections in Brain and Society 2: Interdisciplinary Team Projects | BRAINSOC 396-1,IND Section 13,5324,18,18,0.0,No,2021-06-30 21:41:35.561372
Bass Connections in Brain & Society Research Team | BRAINSOC 396T,TUT Section 01,5338,18,18,0.0,No,2021-06-30 21:41:38.200159
Bass Connections in Brain & Society Research Team | BRAINSOC 396T,TUT Section 02,5337,18,18,0.0,No,2021-06-30 21:41:40.886640
