Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Independent Study in Civil and Environmental Engineering | CEE 291,IND Section 01,7216,1,1,0.0,No,2021-06-30 21:43:48.186277
Independent Study in Civil and Environmental Engineering | CEE 291,IND Section 02,7217,1,1,0.0,No,2021-06-30 21:43:50.557549
Research Independent Study in Civil and Environmental Engineering | CEE 293,IND Section 01,7209,1,1,0.0,No,2021-06-30 21:43:52.920370
Research Independent Study in Civil and Environmental Engineering | CEE 293,IND Section 02,7210,1,1,0.0,No,2021-06-30 21:43:55.278436
Fluid Mechanics | CEE 301L,Lecture Section 001,7170,10,10,0.0,No,2021-06-30 21:43:57.703036
Fluid Mechanics | CEE 301L,Laboratory Section 01L,7171,5,5,0.0,No,2021-06-30 21:44:00.118084
Fluid Mechanics | CEE 301L,Laboratory Section 02L,7172,5,5,0.0,No,2021-06-30 21:44:02.495784
Architectural Engineering I | CEE 311,Lecture Section 01,7181,20,20,0.0,No,2021-06-30 21:44:04.964401
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 01,7211,1,1,0.0,No,2021-06-30 21:44:07.569728
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 02,7212,1,1,0.0,No,2021-06-30 21:44:10.094532
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 03,7213,1,1,0.0,No,2021-06-30 21:44:12.640223
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 04,7214,1,1,0.0,No,2021-06-30 21:44:15.084375
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 05,7215,1,1,0.0,No,2021-06-30 21:44:17.557162
Matrix Structural Analysis | CEE 421L,Lecture Section 001,7175,20,20,0.0,No,2021-06-30 21:44:20.026996
Matrix Structural Analysis | CEE 421L,Laboratory Section 01L,7176,20,20,0.0,No,2021-06-30 21:44:22.452744
Metallic Structures | CEE 423L,Lecture Section 001,7177,15,15,0.0,No,2021-06-30 21:44:24.939199
Metallic Structures | CEE 423L,Laboratory Section 01L,7178,5,5,0.0,No,2021-06-30 21:44:27.421148
Metallic Structures | CEE 423L,Laboratory Section 02L,7179,5,5,0.0,No,2021-06-30 21:44:29.890688
Metallic Structures | CEE 423L,Laboratory Section 03L,7180,5,5,0.0,No,2021-06-30 21:44:32.272906
Environmental Aquatic Chemistry | CEE 461L,Lecture Section 001,7167,20,20,0.0,No,2021-06-30 21:44:34.611863
Environmental Aquatic Chemistry | CEE 461L,Laboratory Section 01L,7168,10,10,0.0,No,2021-06-30 21:44:36.956841
Environmental Aquatic Chemistry | CEE 461L,Laboratory Section 02L,7169,10,10,0.0,No,2021-06-30 21:44:39.329590
Water Resources Engineering | CEE 463L,Lecture Section 001,7173,15,15,0.0,No,2021-06-30 21:44:41.652466
Water Resources Engineering | CEE 463L,Laboratory Section 01L,7174,15,15,0.0,No,2021-06-30 21:44:44.006651
Independent Study in Civil and Environmental Engineering | CEE 491,IND Section 01,7182,1,1,0.0,No,2021-06-30 21:44:46.333036
Independent Study in Civil and Environmental Engineering | CEE 491,IND Section 02,7183,1,1,0.0,No,2021-06-30 21:44:48.644285
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 01,7194,1,1,0.0,No,2021-06-30 21:44:51.006394
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 02,7195,1,1,0.0,No,2021-06-30 21:44:53.333220
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 03,7196,1,1,0.0,No,2021-06-30 21:44:55.857158
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 04,7197,1,1,0.0,No,2021-06-30 21:44:58.501158
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 05,7198,1,1,0.0,No,2021-06-30 21:45:00.806205
