Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | CELLBIO 493,IND Section 01,4266,1,1,0.0,No,2021-06-30 21:45:20.842492
Research Independent Study | CELLBIO 493,IND Section 02,4267,1,1,0.0,No,2021-06-30 21:45:23.208905
Research Independent Study | CELLBIO 493,IND Section 03,4268,1,1,0.0,No,2021-06-30 21:45:25.603740
Research Independent Study | CELLBIO 493,IND Section 04,4269,1,1,0.0,No,2021-06-30 21:45:27.952170
Research Independent Study | CELLBIO 493,IND Section 05,4270,1,1,0.0,No,2021-06-30 21:45:30.303893
Research Independent Study | CELLBIO 493,IND Section 06,4271,1,1,0.0,No,2021-06-30 21:45:32.665814
Research Independent Study | CELLBIO 493,IND Section 07,4272,1,1,0.0,No,2021-06-30 21:45:35.012264
Research Independent Study | CELLBIO 493,IND Section 08,4273,1,1,0.0,No,2021-06-30 21:45:37.334793
Research Independent Study | CELLBIO 493,IND Section 09,4274,1,1,0.0,No,2021-06-30 21:45:39.651329
Research Independent Study | CELLBIO 493,IND Section 10,4275,1,1,0.0,No,2021-06-30 21:45:41.980933
Research Independent Study | CELLBIO 493,IND Section 11,4276,1,1,0.0,No,2021-06-30 21:45:44.319617
Research Independent Study | CELLBIO 493,IND Section 12,4277,1,1,0.0,No,2021-06-30 21:45:46.675463
Research Independent Study | CELLBIO 493,IND Section 13,4278,1,1,0.0,No,2021-06-30 21:45:49.012014
Research Independent Study | CELLBIO 493,IND Section 14,4279,1,1,0.0,No,2021-06-30 21:45:51.333607
Research Independent Study | CELLBIO 493,IND Section 15,4280,1,1,0.0,No,2021-06-30 21:45:53.749480
Research Independent Study | CELLBIO 493,IND Section 16,4281,1,1,0.0,No,2021-06-30 21:45:56.089872
Research Independent Study | CELLBIO 493,IND Section 17,4282,1,1,0.0,No,2021-06-30 21:45:58.443023
Research Independent Study | CELLBIO 493,IND Section 18,4283,1,1,0.0,No,2021-06-30 21:46:00.758288
Research Independent Study | CELLBIO 493,IND Section 19,4284,1,1,0.0,No,2021-06-30 21:46:03.082541
Research Independent Study | CELLBIO 493,IND Section 20,4285,1,1,0.0,No,2021-06-30 21:46:05.469504
Research Independent Study | CELLBIO 493,IND Section 21,4286,1,1,0.0,No,2021-06-30 21:46:07.796339
Research Independent Study | CELLBIO 493,IND Section 22,4287,1,1,0.0,No,2021-06-30 21:46:10.154944
Research Independent Study | CELLBIO 493,IND Section 23,4288,1,1,0.0,No,2021-06-30 21:46:12.573299
Research Independent Study | CELLBIO 493,IND Section 24,4289,1,1,0.0,No,2021-06-30 21:46:14.959183
Research Independent Study | CELLBIO 493,IND Section 25,4290,1,1,0.0,No,2021-06-30 21:46:17.518144
Research Independent Study | CELLBIO 493,IND Section 26,4291,1,1,0.0,No,2021-06-30 21:46:19.992670
Research Independent Study | CELLBIO 493,IND Section 27,4292,1,1,0.0,No,2021-06-30 21:46:22.401885
Research Independent Study | CELLBIO 493,IND Section 28,4293,1,1,0.0,No,2021-06-30 21:46:24.775990
