Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"History of Computing, Cryptography, and Robotic Devices | COMPSCI 93",Lecture Section 001,5278,45,45,0.0,No,2021-06-30 21:40:47.417747
"History of Computing, Cryptography, and Robotic Devices | COMPSCI 93",Discussion Section 01D,9714,45,45,0.0,No,2021-06-30 21:40:49.803700
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,5169,40,40,0.0,No,2021-06-30 21:40:52.198948
Programming and Problem Solving | COMPSCI 94FS,Lecture Section 01,5275,1,18,94.44444444444444,No,2021-06-30 21:40:54.658299
Introduction to Computer Science | COMPSCI 101L,Lecture Section 001,5223,225,225,0.0,No,2021-06-30 21:40:57.067446
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 01L,5224,24,24,0.0,No,2021-06-30 21:40:59.543660
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 02L,5225,26,26,0.0,No,2021-06-30 21:41:01.947505
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 03L,5226,24,24,0.0,No,2021-06-30 21:41:04.358800
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 04L,5227,24,24,0.0,No,2021-06-30 21:41:06.875312
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 05L,5228,26,26,0.0,No,2021-06-30 21:41:09.403803
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 06L,5229,26,26,0.0,No,2021-06-30 21:41:11.974163
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 07L,5230,24,24,0.0,No,2021-06-30 21:41:14.435899
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 08L,5231,24,24,0.0,No,2021-06-30 21:41:16.870693
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 09L,5232,26,26,0.0,No,2021-06-30 21:41:19.294676
"Information, Society & Culture: Bass Connections Gateway | COMPSCI 110",Lecture Section 01,7420,40,40,0.0,No,2021-06-30 21:41:21.782939
Introduction to Digital Feminism | COMPSCI 112S,SEM Section 01,4966,18,18,0.0,No,2021-06-30 21:41:24.224626
Foundations of Data Science | COMPSCI 116,Lecture Section 01,5272,40,40,0.0,No,2021-06-30 21:41:26.707587
Data Structures and Algorithms | COMPSCI 201,Lecture Section 001,5170,325,325,0.0,No,2021-06-30 21:41:29.308887
Data Structures and Algorithms | COMPSCI 201,Lecture Section 002,5171,225,225,0.0,No,2021-06-30 21:41:31.825931
Data Structures and Algorithms | COMPSCI 201,Discussion Section 01D,5172,25,25,0.0,No,2021-06-30 21:41:34.368868
Data Structures and Algorithms | COMPSCI 201,Discussion Section 02D,5173,26,26,0.0,No,2021-06-30 21:41:36.869969
Data Structures and Algorithms | COMPSCI 201,Discussion Section 03D,5174,26,26,0.0,No,2021-06-30 21:41:39.347068
Data Structures and Algorithms | COMPSCI 201,Discussion Section 04D,5175,26,26,0.0,No,2021-06-30 21:41:41.831439
Data Structures and Algorithms | COMPSCI 201,Discussion Section 05D,5176,24,24,0.0,No,2021-06-30 21:41:44.284722
Data Structures and Algorithms | COMPSCI 201,Discussion Section 06D,5177,26,26,0.0,No,2021-06-30 21:41:46.649464
Data Structures and Algorithms | COMPSCI 201,Discussion Section 07D,5178,24,24,0.0,No,2021-06-30 21:41:49.002656
Data Structures and Algorithms | COMPSCI 201,Discussion Section 08D,5179,26,26,0.0,No,2021-06-30 21:41:51.427645
Data Structures and Algorithms | COMPSCI 201,Discussion Section 09D,5180,26,26,0.0,No,2021-06-30 21:41:53.829909
Data Structures and Algorithms | COMPSCI 201,Discussion Section 10D,5181,26,26,0.0,No,2021-06-30 21:41:56.196476
Data Structures and Algorithms | COMPSCI 201,Discussion Section 11D,5182,26,26,0.0,No,2021-06-30 21:41:58.634680
Data Structures and Algorithms | COMPSCI 201,Discussion Section 12D,5183,26,26,0.0,No,2021-06-30 21:42:01.057244
Data Structures and Algorithms | COMPSCI 201,Discussion Section 13D,5184,26,26,0.0,No,2021-06-30 21:42:03.574101
Data Structures and Algorithms | COMPSCI 201,Discussion Section 14D,5185,26,26,0.0,No,2021-06-30 21:42:06.128943
Data Structures and Algorithms | COMPSCI 201,Discussion Section 15D,5186,24,24,0.0,No,2021-06-30 21:42:08.734464
Data Structures and Algorithms | COMPSCI 201,Discussion Section 16D,5187,26,26,0.0,No,2021-06-30 21:42:11.187919
Data Structures and Algorithms | COMPSCI 201,Discussion Section 17D,5188,26,26,0.0,No,2021-06-30 21:42:13.593741
Data Structures and Algorithms | COMPSCI 201,Discussion Section 18D,5189,26,26,0.0,No,2021-06-30 21:42:16.029977
Data Structures and Algorithms | COMPSCI 201,Discussion Section 19D,5190,26,26,0.0,No,2021-06-30 21:42:18.542914
Data Structures and Algorithms | COMPSCI 201,Discussion Section 20D,5191,26,26,0.0,No,2021-06-30 21:42:20.951277
Introduction to Computer Systems | COMPSCI 210D,Lecture Section 001,5279,200,200,0.0,No,2021-06-30 21:42:23.378538
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 01D,5280,22,22,0.0,No,2021-06-30 21:42:25.799942
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 02D,5281,24,24,0.0,No,2021-06-30 21:42:28.293723
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 03D,5282,24,24,0.0,No,2021-06-30 21:42:30.851244
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 04D,5283,24,24,0.0,No,2021-06-30 21:42:33.253335
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 05D,5284,26,26,0.0,No,2021-06-30 21:42:35.781446
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 06D,5285,24,24,0.0,No,2021-06-30 21:42:38.139693
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 07D,5286,26,26,0.0,No,2021-06-30 21:42:40.501242
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 08D,5287,24,24,0.0,No,2021-06-30 21:42:43.045553
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 09D,5288,25,25,0.0,No,2021-06-30 21:42:45.476814
Everything Data | COMPSCI 216,Lecture Section 01,5243,150,150,0.0,Yes,2021-06-30 21:42:47.858258
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 001,5235,150,150,0.0,No,2021-06-30 21:42:50.233615
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 01D,5236,35,35,0.0,Yes,2021-06-30 21:42:52.603306
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 02D,5237,30,30,0.0,Yes,2021-06-30 21:42:55.017368
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 03D,5238,30,30,0.0,Yes,2021-06-30 21:42:57.413769
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 04D,5239,30,30,0.0,Yes,2021-06-30 21:42:59.761948
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 05D,5240,30,30,0.0,Yes,2021-06-30 21:43:02.141722
"Race, Gender, Class, & Computing | COMPSCI 240",Lecture Section 01,5277,30,30,0.0,Yes,2021-06-30 21:43:04.540019
Computer Architecture | COMPSCI 250D,Lecture Section 001,7096,150,150,0.0,No,2021-06-30 21:43:06.935143
Computer Architecture | COMPSCI 250D,Discussion Section 01D,7097,25,25,0.0,No,2021-06-30 21:43:09.354665
Computer Architecture | COMPSCI 250D,Discussion Section 02D,7098,25,25,0.0,No,2021-06-30 21:43:11.721729
Computer Architecture | COMPSCI 250D,Discussion Section 03D,7099,25,25,0.0,No,2021-06-30 21:43:14.069474
Computer Architecture | COMPSCI 250D,Discussion Section 04D,7100,25,25,0.0,No,2021-06-30 21:43:16.424562
Computer Architecture | COMPSCI 250D,Discussion Section 05D,7101,25,25,0.0,No,2021-06-30 21:43:18.775830
Computer Architecture | COMPSCI 250D,Discussion Section 06D,7102,25,25,0.0,No,2021-06-30 21:43:21.142820
Topics in Computer Science | COMPSCI 290,Lecture Section 01,5200,30,30,0.0,No,2021-06-30 21:43:23.493301
Topics in Computer Science | COMPSCI 290,Lecture Section 02,5201,40,40,0.0,No,2021-06-30 21:43:25.824833
Software Design and Implementation | COMPSCI 307D,Lecture Section 001,5249,98,98,0.0,No,2021-06-30 21:43:28.161400
Software Design and Implementation | COMPSCI 307D,Discussion Section 01D,5250,99,99,0.0,No,2021-06-30 21:43:30.488555
Introduction to Operating Systems | COMPSCI 310,Lecture Section 001,5192,150,150,0.0,No,2021-06-30 21:43:32.856647
Introduction to Operating Systems | COMPSCI 310,Discussion Section 01D,5193,150,150,0.0,No,2021-06-30 21:43:35.197816
Introduction to Database Systems | COMPSCI 316,Lecture Section 01,5234,200,200,0.0,No,2021-06-30 21:43:37.526115
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 001,5196,200,200,0.0,No,2021-06-30 21:43:39.870458
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 01D,5197,40,40,0.0,No,2021-06-30 21:43:42.237651
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 02D,5198,45,45,0.0,No,2021-06-30 21:43:44.609836
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 03D,5199,40,40,0.0,No,2021-06-30 21:43:46.994338
Algorithms in the Real World | COMPSCI 333,Lecture Section 01,5276,50,50,0.0,Yes,2021-06-30 21:43:49.376187
Digital Systems | COMPSCI 350L,Lecture Section 001,7043,60,60,0.0,No,2021-06-30 21:43:51.755961
Digital Systems | COMPSCI 350L,Laboratory Section 01L,7044,10,10,0.0,No,2021-06-30 21:43:54.128836
Digital Systems | COMPSCI 350L,Laboratory Section 02L,7045,10,10,0.0,No,2021-06-30 21:43:56.454345
Digital Systems | COMPSCI 350L,Laboratory Section 03L,7046,10,10,0.0,No,2021-06-30 21:43:59.141789
Digital Systems | COMPSCI 350L,Laboratory Section 04L,7047,10,10,0.0,No,2021-06-30 21:44:01.672274
Digital Systems | COMPSCI 350L,Laboratory Section 05L,7048,10,10,0.0,No,2021-06-30 21:44:04.061554
