Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Studies in Special Topics | CULANTH 80S,SEM Section 01,4162,18,18,0.0,No,2021-06-30 21:37:17.377238
Studies in Special Topics | CULANTH 80S,SEM Section 02,4163,18,18,0.0,No,2021-06-30 21:37:19.816714
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 01,4165,60,60,0.0,No,2021-06-30 21:37:22.194705
"Human Rights: Back to the Future, looking at roots and current reality of human rights | CULANTH 103FS",SEM Section 01,4198,5,18,72.22222222222221,No,2021-06-30 21:37:24.664698
Introduction to African Studies (DS3 or DS4) | CULANTH 105,Lecture Section 01,7325,60,60,0.0,No,2021-06-30 21:37:27.024882
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 01,6633,12,12,0.0,Yes,2021-06-30 21:37:29.401774
Making Your Case: Global Advocacy for Humanitarian Causes | CULANTH 114FS,SEM Section 01,4202,0,16,100.0,No,2021-06-30 21:37:31.789567
"Music, Social Life, and Scenes | CULANTH 137",Lecture Section 01,6836,20,20,0.0,No,2021-06-30 21:37:34.192169
African Hashtag Activism | CULANTH 185S,SEM Section 01,7395,18,18,0.0,No,2021-06-30 21:37:36.578588
Women and Gender in the Middle East | CULANTH 189,Lecture Section 01,6593,18,18,0.0,No,2021-06-30 21:37:38.991096
Topics in Cultural Anthropology | CULANTH 190S,SEM Section 01,6899,18,18,0.0,No,2021-06-30 21:37:41.450841
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 01,8685,49,49,0.0,No,2021-06-30 21:37:43.962758
Patient and Research Participant Activism and Advocacy | CULANTH 196FS,SEM Section 01,8125,0,18,100.0,No,2021-06-30 21:37:46.397949
Introduction to Linguistics | CULANTH 201,Lecture Section 01,4369,30,30,0.0,No,2021-06-30 21:37:48.867521
Introduction to Linguistics | CULANTH 201,Lecture Section 02,4370,30,30,0.0,No,2021-06-30 21:37:51.367996
The Anthropology of Race | CULANTH 208FS,SEM Section 01,4178,4,18,77.77777777777779,No,2021-06-30 21:37:54.010683
Language and Society | CULANTH 212,Lecture Section 01,7262,25,25,0.0,No,2021-06-30 21:37:56.556666
Indian Civilization | CULANTH 215S,SEM Section 01,6990,18,18,0.0,No,2021-06-30 21:37:59.030247
Introduction to Performance Studies | CULANTH 219S,SEM Section 01,8904,16,16,0.0,No,2021-06-30 21:38:01.465224
Global 'Mixed Race' Studies | CULANTH 220FS,SEM Section 01,4192,1,18,94.44444444444444,No,2021-06-30 21:38:03.826498
"Global Stories, Local Issues | CULANTH 223S",SEM Section 01,4189,18,18,0.0,No,2021-06-30 21:38:06.174448
Human Rights on Camera | CULANTH 228FS,SEM Section 01,4193,2,18,88.88888888888889,No,2021-06-30 21:38:08.560514
World of Korean Cinema | CULANTH 255,Lecture Section 01,6577,14,14,0.0,No,2021-06-30 21:38:11.034244
"Race, Genomics, and Society | CULANTH 261D",Lecture Section 001,7346,100,100,0.0,No,2021-06-30 21:38:13.437586
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 01D,7347,19,19,0.0,Yes,2021-06-30 21:38:15.807583
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 02D,7348,18,18,0.0,Yes,2021-06-30 21:38:18.289898
