Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,6646,50,50,0.0,No,2021-06-30 21:36:54.311473
The Documentary Experience: A Video Approach | DOCST 105S,SEM Section 01,6638,12,12,0.0,Yes,2021-06-30 21:36:56.708036
Documenting the Middle East: Community and Oral History | DOCST 106FS,SEM Section 01,8856,3,18,83.33333333333334,No,2021-06-30 21:36:59.205504
History of Documentary Film | DOCST 107,Lecture Section 01,9022,45,45,0.0,No,2021-06-30 21:37:01.735555
Introduction to Oral History | DOCST 110S,SEM Section 01,6650,15,15,0.0,No,2021-06-30 21:37:04.158836
Introduction to Digital Photography | DOCST 119S,SEM Section 01,9133,15,15,0.0,No,2021-06-30 21:37:06.704280
Introduction to Audio Documentary | DOCST 135S,SEM Section 01,6656,13,13,0.0,No,2021-06-30 21:37:09.251849
US Youth Movements since 2010: Expanding Human Rights for All | DOCST 179FS,SEM Section 01,6692,2,15,86.66666666666667,No,2021-06-30 21:37:11.641653
Special Topics in Documentary Studies | DOCST 190S,SEM Section 01,6677,13,13,0.0,No,2021-06-30 21:37:14.038948
Medicine and the Vision of Documentary Photography | DOCST 206S,SEM Section 01,6652,15,15,0.0,Yes,2021-06-30 21:37:16.504846
The Silent Film: An Introduction | DOCST 208S,SEM Section 01,9095,12,12,0.0,No,2021-06-30 21:37:18.863205
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209FS",SEM Section 01,6682,1,18,94.44444444444444,No,2021-06-30 21:37:21.202499
"Digital Documentary Photography: Education, Childhood, and Growth | DOCST 209S",SEM Section 01,6661,15,15,0.0,No,2021-06-30 21:37:23.595965
"Global Stories, Local Issues | DOCST 223S",SEM Section 01,4190,18,18,0.0,No,2021-06-30 21:37:26.017252
Children's Self Expression: Literacy Through Photography | DOCST 224S,SEM Section 01,6641,15,15,0.0,No,2021-06-30 21:37:28.372726
Color Photography: Fieldwork and Digital Color | DOCST 236S,SEM Section 01,6658,13,13,0.0,No,2021-06-30 21:37:30.734173
The Photobook: History and Practice | DOCST 250S,SEM Section 01,9030,10,10,0.0,No,2021-06-30 21:37:33.102591
Introduction to Film Studies | DOCST 264,Lecture Section 01,9452,25,25,0.0,No,2021-06-30 21:37:35.537202
Religion and Film | DOCST 268,Lecture Section 01,7609,45,45,0.0,No,2021-06-30 21:37:38.083689
Documentary and Policy: How Documentary Influences Policy | DOCST 272S,SEM Section 01,6670,15,15,0.0,No,2021-06-30 21:37:40.501868
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative | DOCST 279S,SEM Section 01,6679,13,13,0.0,No,2021-06-30 21:37:42.927306
Cinematography | DOCST 281S,SEM Section 01,9059,9,9,0.0,No,2021-06-30 21:37:45.322929
Editing for Film and Video | DOCST 288S,SEM Section 01,9068,12,12,0.0,No,2021-06-30 21:37:47.825837
Special Topics in Documentary Studies | DOCST 290,Lecture Section 01,8199,45,45,0.0,No,2021-06-30 21:37:50.367110
Environmental Issues & the Documentary Arts | DOCST 315S,SEM Section 01,7769,18,18,0.0,No,2021-06-30 21:37:53.071208
Historical Documentary Production | DOCST 329S,SEM Section 01,9145,15,15,0.0,No,2021-06-30 21:37:55.582312
Documenting Black Experiences | DOCST 350S,SEM Section 01,6665,13,13,0.0,No,2021-06-30 21:37:57.986728
Sound for Film and Video | DOCST 353S,SEM Section 01,8982,9,9,0.0,No,2021-06-30 21:38:00.322028
Magazine Journalism | DOCST 356S,SEM Section 01,5775,12,12,0.0,No,2021-06-30 21:38:02.663322
16mm Film Production | DOCST 357S,SEM Section 01,9063,10,10,0.0,No,2021-06-30 21:38:05.016566
Video Journalism | DOCST 367S,SEM Section 01,5773,12,12,0.0,No,2021-06-30 21:38:07.341480
The View Camera: Black and White Large Format Photography | DOCST 368S,SEM Section 01,6689,10,10,0.0,No,2021-06-30 21:38:09.775266
News as a Moral Battleground | DOCST 371,Lecture Section 01,5782,25,25,0.0,No,2021-06-30 21:38:12.102585
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 01,6649,15,15,0.0,No,2021-06-30 21:38:14.471779
