Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | EDUC 89S,SEM Section 01,6916,18,18,0.0,No,2021-06-30 21:36:56.658243
First-Year Seminar | EDUC 89S,SEM Section 02,8704,15,15,0.0,No,2021-06-30 21:36:59.144169
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 01,6917,30,30,0.0,No,2021-06-30 21:37:01.712812
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 02,6918,30,30,0.0,No,2021-06-30 21:37:04.131694
Pursuit of Equality: Rethinking Schools - Lens of Social Justice | EDUC 111FS,SEM Section 01,6942,2,18,88.88888888888889,No,2021-06-30 21:37:06.684917
Critical Race Theory in Education | EDUC 118FS,SEM Section 01,6952,1,18,94.44444444444444,No,2021-06-30 21:37:09.227861
Introduction to Engaged Citizenship and Social Change (Gateway Course) | EDUC 201,Lecture Section 01,7313,30,30,0.0,No,2021-06-30 21:37:11.626920
"Digital Documentary Photography: Education, Childhood, and Growth | EDUC 209FS",SEM Section 01,6685,1,18,94.44444444444444,No,2021-06-30 21:37:14.029902
"Digital Documentary Photography: Education, Childhood, and Growth | EDUC 209S",SEM Section 01,6664,15,15,0.0,No,2021-06-30 21:37:16.493061
Educational Psychology | EDUC 240,Lecture Section 01,6920,30,30,0.0,No,2021-06-30 21:37:18.832749
Educational Psychology | EDUC 240,Lecture Section 02,6921,30,30,0.0,No,2021-06-30 21:37:21.166857
"Children, Schools, and Society | EDUC 243S",SEM Section 01,6928,18,18,0.0,No,2021-06-30 21:37:23.550552
Children's Self Expression: Literacy Through Photography | EDUC 244S,SEM Section 01,6640,15,15,0.0,No,2021-06-30 21:37:26.020772
"Literacy, Writing, Tutoring | EDUC 255S",SEM Section 01,4672,15,15,0.0,No,2021-06-30 21:37:28.369193
Overlooked Children: Topics of Equity and Access in Gifted Education | EDUC 272S,SEM Section 01,6950,18,18,0.0,No,2021-06-30 21:37:30.716365
Leadership and the Changing Landscape of Health Care | EDUC 275S,SEM Section 01,6946,18,18,0.0,No,2021-06-30 21:37:33.082236
"Learning Outcomes Assessment: Understanding and Using Evidence to Guide Teaching, Learning, & Policy | EDUC 289S",SEM Section 01,6948,12,12,0.0,No,2021-06-30 21:37:35.525192
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 01,6930,18,18,0.0,No,2021-06-30 21:37:38.055224
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 02,6931,10,10,0.0,No,2021-06-30 21:37:40.476239
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 03,6932,10,10,0.0,No,2021-06-30 21:37:42.861871
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 04,6933,10,10,0.0,No,2021-06-30 21:37:45.263447
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 05,6934,10,10,0.0,No,2021-06-30 21:37:47.758133
Asians in American Higher Education: Trends and Issues | EDUC 345S,SEM Section 01,6944,18,18,0.0,No,2021-06-30 21:37:50.305929
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 01,1976,10,10,0.0,No,2021-06-30 21:37:52.991167
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 02,1977,10,10,0.0,No,2021-06-30 21:37:55.490869
