Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Focus Program Seminar in Energy: Special Topics | ENERGY 190FS,SEM Section 01,5381,0,18,100.0,No,2021-06-30 21:39:49.627748
Focus Program Seminar in Energy: Special Topics | ENERGY 190FS,SEM Section 02,5382,0,18,100.0,No,2021-06-30 21:39:52.089271
Energy and the Environment | ENERGY 231,Lecture Section 01,7740,175,175,0.0,No,2021-06-30 21:39:54.497988
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 01,5374,15,15,0.0,No,2021-06-30 21:39:56.966407
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 02,5375,15,15,0.0,No,2021-06-30 21:39:59.369507
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395,IND Section 04,5377,15,15,0.0,No,2021-06-30 21:40:01.848139
Connections in Energy: Interdisciplinary Team Projects | ENERGY 395-1,IND Section 01,5378,32,32,0.0,No,2021-06-30 21:40:04.242290
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 01,5383,15,15,0.0,No,2021-06-30 21:40:06.602420
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 02,5384,15,15,0.0,No,2021-06-30 21:40:09.127508
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 03,5385,15,15,0.0,No,2021-06-30 21:40:11.544691
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 04,5386,15,15,0.0,No,2021-06-30 21:40:13.893626
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 05,5387,12,12,0.0,No,2021-06-30 21:40:16.259379
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 06,5388,15,15,0.0,No,2021-06-30 21:40:18.616168
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 07,5389,15,15,0.0,No,2021-06-30 21:40:20.987805
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 08,5390,15,15,0.0,No,2021-06-30 21:40:23.360453
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 09,5391,15,15,0.0,No,2021-06-30 21:40:25.700444
Bass Connections Energy & Environment Research Team | ENERGY 395T,TUT Section 10,10080,10,10,0.0,No,2021-06-30 21:40:28.108730
