Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ENVIRON 89S,SEM Section 01,7691,18,18,0.0,No,2021-06-30 21:45:19.096040
Introduction to Environmental Sciences and Policy | ENVIRON 102,Lecture Section 01,7728,100,100,0.0,No,2021-06-30 21:45:21.490764
Genomics of Host-Microbe Interactions: The Symbiotic Web | ENVIRON 148FS,SEM Section 01,7791,0,18,100.0,No,2021-06-30 21:45:23.895140
"Climate, Coffee, and Coronavirus: Why Ecology Matters to Human Health | ENVIRON 153",Lecture Section 01,5871,50,50,0.0,No,2021-06-30 21:45:26.274385
"Climate, Coffee, & Coronavirus: Why Ecology Matters to Human Health | ENVIRON 153S",SEM Section 01,5977,18,18,0.0,No,2021-06-30 21:45:28.644068
Topics in Environment | ENVIRON 190FS,SEM Section 01,7283,0,18,100.0,No,2021-06-30 21:45:31.003156
Integrating Environmental Sciences and Policy | ENVIRON 201,Lecture Section 01,7692,90,90,0.0,No,2021-06-30 21:45:33.387281
Conserving the Variety of Life on Earth | ENVIRON 210D,Lecture Section 001,7741,40,40,0.0,No,2021-06-30 21:45:35.744092
Conserving the Variety of Life on Earth | ENVIRON 210D,Discussion Section 01D,7742,20,20,0.0,No,2021-06-30 21:45:38.096212
Conserving the Variety of Life on Earth | ENVIRON 210D,Discussion Section 02D,7743,20,20,0.0,No,2021-06-30 21:45:40.443369
Water Sciences: Principles and Challenges | ENVIRON 220,Lecture Section 01,9694,30,30,0.0,No,2021-06-30 21:45:42.804912
Field Methods in Earth and Environmental Sciences | ENVIRON 226S,SEM Section 01,9697,15,15,0.0,No,2021-06-30 21:45:45.174980
Food and Fuel for a Growing Population: Nuts and Bolts of Plant Growth and Production | ENVIRON 228S,SEM Section 01,9607,12,12,0.0,No,2021-06-30 21:45:47.533354
Energy and the Environment | ENVIRON 231,Lecture Section 01,7738,175,175,0.0,No,2021-06-30 21:45:49.902397
Environmental Law and Policy | ENVIRON 265,Lecture Section 01,7796,25,25,0.0,No,2021-06-30 21:45:52.294401
Marine Ecology | ENVIRON 273LA,Laboratory Section 01,9515,12,12,0.0,No,2021-06-30 21:45:54.668166
"People, Plants and Pollution: Introduction to Urban Environments | ENVIRON 274",Lecture Section 01,5946,24,24,0.0,No,2021-06-30 21:45:57.032294
"Denial, Faith, Reason: Sustainability and Survival | ENVIRON 276",Lecture Section 01,7974,20,20,0.0,No,2021-06-30 21:45:59.403749
Marine Policy | ENVIRON 286A,Lecture Section 01,9536,4,4,0.0,No,2021-06-30 21:46:01.742071
"Conservation Biology & Service Learning: coastal ecosystems, restoration and communities | ENVIRON 287A",Lecture Section 01,9539,10,10,0.0,No,2021-06-30 21:46:04.157151
Special Topics in Environmental Sciences and Policy | ENVIRON 290S,SEM Section 01,6896,18,18,0.0,No,2021-06-30 21:46:06.490385
Oceans in Human and Environmental Health | ENVIRON 309A,Lecture Section 01,9559,15,15,0.0,No,2021-06-30 21:46:08.851730
Environmental Issues & the Documentary Arts | ENVIRON 315S,SEM Section 01,7770,18,18,0.0,No,2021-06-30 21:46:11.249681
Aquaculture and the Environment | ENVIRON 319A,Lecture Section 01,9555,15,15,0.0,No,2021-06-30 21:46:13.608095
Field Ecology | ENVIRON 361LS,SEM Section 001,5927,12,12,0.0,No,2021-06-30 21:46:15.948208
Field Ecology | ENVIRON 361LS,Laboratory Section 01L,5928,12,12,0.0,No,2021-06-30 21:46:18.291843
Environmental Economics and Policy | ENVIRON 363,Lecture Section 01,8677,25,25,0.0,No,2021-06-30 21:46:20.658055
Sensory Physiology and Behavior of Marine Animals | ENVIRON 373LA,Laboratory Section 01,9534,8,8,0.0,No,2021-06-30 21:46:22.994319
Marine Mammals | ENVIRON 376A,Lecture Section 01,9512,15,15,0.0,No,2021-06-30 21:46:25.372158
Biodiversity of Marine Invertebrates | ENVIRON 377LA,Laboratory Section 01,9520,10,10,0.0,No,2021-06-30 21:46:27.704924
Special Topics in Environmental Sciences and Policy | ENVIRON 390,Lecture Section 01,8197,45,45,0.0,No,2021-06-30 21:46:30.037324
Independent Study | ENVIRON 391,IND Section 01,2522,1,1,0.0,No,2021-06-30 21:46:32.403468
Independent Study | ENVIRON 391,IND Section 02,2523,1,1,0.0,No,2021-06-30 21:46:34.764338
Independent Study | ENVIRON 391,IND Section 03,2524,1,1,0.0,No,2021-06-30 21:46:37.118314
Independent Study | ENVIRON 391,IND Section 05,2525,1,1,0.0,No,2021-06-30 21:46:39.474338
Research Independent Study | ENVIRON 393,IND Section 01,2483,1,1,0.0,No,2021-06-30 21:46:41.808434
Research Independent Study | ENVIRON 393,IND Section 02,2484,1,1,0.0,No,2021-06-30 21:46:44.223624
Research Independent Study | ENVIRON 393,IND Section 03,2485,1,1,0.0,No,2021-06-30 21:46:46.612845
Research Independent Study | ENVIRON 393,IND Section 04,2486,1,1,0.0,No,2021-06-30 21:46:49.040057
Research Independent Study | ENVIRON 393,IND Section 05,2487,1,1,0.0,No,2021-06-30 21:46:51.436789
Research Independent Study | ENVIRON 393,IND Section 06,2488,1,1,0.0,No,2021-06-30 21:46:53.836093
Research Independent Study | ENVIRON 393,IND Section 07,2489,1,1,0.0,No,2021-06-30 21:46:56.359542
Research Independent Study | ENVIRON 393,IND Section 08,2490,1,1,0.0,No,2021-06-30 21:46:58.856920
Research Independent Study | ENVIRON 393,IND Section 09,2491,1,1,0.0,No,2021-06-30 21:47:01.285963
Research Independent Study | ENVIRON 393,IND Section 10,2492,1,1,0.0,No,2021-06-30 21:47:03.715498
Research Independent Study | ENVIRON 393,IND Section 11,2493,1,1,0.0,No,2021-06-30 21:47:06.069160
Research Independent Study | ENVIRON 393,IND Section 12,2494,1,1,0.0,No,2021-06-30 21:47:08.393566
Research Independent Study | ENVIRON 393,IND Section 13,2495,1,1,0.0,No,2021-06-30 21:47:10.815516
Research Independent Study | ENVIRON 393,IND Section 14,2496,1,1,0.0,No,2021-06-30 21:47:13.423090
Research Independent Study | ENVIRON 393,IND Section 15,2497,1,1,0.0,No,2021-06-30 21:47:15.804959
Research Independent Study | ENVIRON 393,IND Section 16,2498,1,1,0.0,No,2021-06-30 21:47:18.170498
Research Independent Study | ENVIRON 393,IND Section 17,2499,1,1,0.0,No,2021-06-30 21:47:20.581885
Research Independent Study | ENVIRON 393,IND Section 18,2500,1,1,0.0,No,2021-06-30 21:47:22.944333
Research Independent Study | ENVIRON 393,IND Section 190,2501,1,1,0.0,No,2021-06-30 21:47:25.296110
Research Independent Study | ENVIRON 393,IND Section 21,2502,1,1,0.0,No,2021-06-30 21:47:27.671308
