Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
The Dynamic Earth | EOS 101,Lecture Section 03,10347,185,185,0.0,No,2021-06-30 21:50:52.180616
The Dynamic Oceans | EOS 102,Lecture Section 01,9690,190,190,0.0,No,2021-06-30 21:50:54.569547
Climate Change for Future Leaders | EOS 103,Lecture Section 01,9692,30,30,0.0,No,2021-06-30 21:50:57.092214
Water Sciences: Principles and Challenges | EOS 220,Lecture Section 01,9695,30,30,0.0,No,2021-06-30 21:50:59.564537
Field Methods in Earth and Environmental Sciences | EOS 226S,SEM Section 01,9698,15,15,0.0,No,2021-06-30 21:51:01.946205
Energy and the Environment | EOS 231,Lecture Section 01,7739,175,175,0.0,No,2021-06-30 21:51:04.378105
Marine Ecology | EOS 374LA,Laboratory Section 01,9516,12,12,0.0,No,2021-06-30 21:51:06.761335
Biodiversity of Marine Invertebrates | EOS 377LA,Laboratory Section 01,9521,10,10,0.0,No,2021-06-30 21:51:09.176548
Independent Study | EOS 391,IND Section 01,2886,1,1,0.0,No,2021-06-30 21:51:11.539558
Independent Study | EOS 391,IND Section 02,2887,1,1,0.0,No,2021-06-30 21:51:13.908444
Independent Study | EOS 391,IND Section 03,2888,1,1,0.0,No,2021-06-30 21:51:16.298186
Independent Study | EOS 391,IND Section 04,2889,1,1,0.0,No,2021-06-30 21:51:18.673126
Independent Study | EOS 391,IND Section 05,2890,3,3,0.0,No,2021-06-30 21:51:21.044127
Independent Study | EOS 391,IND Section 06,2891,5,5,0.0,No,2021-06-30 21:51:23.394477
Independent Study | EOS 391,IND Section 07,2892,5,5,0.0,No,2021-06-30 21:51:25.766799
Independent Study | EOS 391,IND Section 08,2893,5,5,0.0,No,2021-06-30 21:51:28.114191
Research Independent Study | EOS 393,IND Section 01,2869,4,4,0.0,No,2021-06-30 21:51:30.474019
Research Independent Study | EOS 393,IND Section 02,2870,4,4,0.0,No,2021-06-30 21:51:32.905845
Research Independent Study | EOS 393,IND Section 03,2871,4,4,0.0,No,2021-06-30 21:51:35.233906
Research Independent Study | EOS 393,IND Section 04,2872,5,5,0.0,No,2021-06-30 21:51:37.560899
Research Independent Study | EOS 393,IND Section 05,2873,10,10,0.0,No,2021-06-30 21:51:39.951721
Research Independent Study | EOS 393,IND Section 06,2874,1,1,0.0,No,2021-06-30 21:51:42.280427
Research Independent Study | EOS 393,IND Section 08,2875,10,10,0.0,No,2021-06-30 21:51:44.641145
Research Independent Study | EOS 393,IND Section 09,2876,10,10,0.0,No,2021-06-30 21:51:47.094911
Research Independent Study | EOS 393,IND Section 11,2877,10,10,0.0,No,2021-06-30 21:51:49.442954
Research Independent Study | EOS 393,IND Section 12,2878,10,10,0.0,No,2021-06-30 21:51:51.797970
Research Independent Study | EOS 393,IND Section 13,2879,4,4,0.0,No,2021-06-30 21:51:54.143855
Research Independent Study | EOS 393,IND Section 14,2880,1,1,0.0,No,2021-06-30 21:51:56.559614
Research Independent Study | EOS 393,IND Section 16,2881,1,1,0.0,No,2021-06-30 21:51:58.882468
Research Independent Study | EOS 393,IND Section 17,2882,1,1,0.0,No,2021-06-30 21:52:01.217852
Research Independent Study | EOS 393,IND Section 18,2883,1,1,0.0,No,2021-06-30 21:52:03.529130
Research Independent Study | EOS 393,IND Section 19,2884,1,1,0.0,No,2021-06-30 21:52:05.824780
Research Independent Study | EOS 393,IND Section 20,2885,1,1,0.0,No,2021-06-30 21:52:08.145516
Research Independent Study | EOS 394,IND Section 01,2894,1,1,0.0,No,2021-06-30 21:52:10.548846
Research Independent Study | EOS 394,IND Section 02,2895,1,1,0.0,No,2021-06-30 21:52:12.881255
Research Independent Study | EOS 394,IND Section 03,2896,1,1,0.0,No,2021-06-30 21:52:15.253463
Research Independent Study | EOS 394,IND Section 04,2897,1,1,0.0,No,2021-06-30 21:52:17.581713
Research Independent Study | EOS 394,IND Section 09,2898,2,2,0.0,No,2021-06-30 21:52:19.910476
