Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Evolutionary Anthropology | EVANTH 101,Lecture Section 01,4250,50,50,0.0,No,2021-06-30 21:44:22.351827
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,4251,84,84,0.0,No,2021-06-30 21:44:24.884190
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 01D,4252,14,14,0.0,No,2021-06-30 21:44:27.397355
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 02D,4253,14,14,0.0,No,2021-06-30 21:44:29.840850
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 03D,4254,14,14,0.0,No,2021-06-30 21:44:32.257157
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 04D,4255,14,14,0.0,No,2021-06-30 21:44:34.620334
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 05D,4256,14,14,0.0,No,2021-06-30 21:44:36.974100
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 06D,4257,14,14,0.0,No,2021-06-30 21:44:39.356823
"Evolution, Society, and Health in Comparative Perspective | EVANTH 212FS",SEM Section 01,4258,2,18,88.88888888888889,No,2021-06-30 21:44:41.691407
Primate Anatomy | EVANTH 235L,Lecture Section 001,4212,28,28,0.0,No,2021-06-30 21:44:44.024710
Primate Anatomy | EVANTH 235L,Laboratory Section 01L,4213,14,14,0.0,Yes,2021-06-30 21:44:46.351782
Primate Anatomy | EVANTH 235L,Laboratory Section 02L,4214,14,14,0.0,Yes,2021-06-30 21:44:48.691626
Primate Ecology | EVANTH 253,Lecture Section 01,4210,20,20,0.0,No,2021-06-30 21:44:51.055502
Human Evolutionary Genetics | EVANTH 318,Lecture Section 01,4260,20,20,0.0,No,2021-06-30 21:44:53.382249
Human Osteology | EVANTH 334L,Lecture Section 001,4207,28,28,0.0,No,2021-06-30 21:44:55.981771
Human Osteology | EVANTH 334L,Laboratory Section 01L,4208,14,14,0.0,Yes,2021-06-30 21:44:58.549951
Human Osteology | EVANTH 334L,Laboratory Section 02L,4209,14,14,0.0,Yes,2021-06-30 21:45:00.908238
Primate Field Biology | EVANTH 344L,Laboratory Section 01L,4211,10,10,0.0,Yes,2021-06-30 21:45:03.350650
Primate Conservation | EVANTH 359S,SEM Section 01,4215,16,16,0.0,No,2021-06-30 21:45:05.741421
Independent Study | EVANTH 391,IND Section 01,4244,1,1,0.0,No,2021-06-30 21:45:08.085787
Independent Study | EVANTH 391,IND Section 02,4245,1,1,0.0,No,2021-06-30 21:45:10.441855
Independent Study | EVANTH 391,IND Section 03,4246,1,1,0.0,No,2021-06-30 21:45:12.831407
Independent Study | EVANTH 391,IND Section 04,4247,1,1,0.0,No,2021-06-30 21:45:15.327517
Independent Study | EVANTH 391,IND Section 05,4248,1,1,0.0,No,2021-06-30 21:45:17.867396
Research Independent Study | EVANTH 393,IND Section 01,4216,1,1,0.0,No,2021-06-30 21:45:20.235374
Research Independent Study | EVANTH 393,IND Section 02,4217,1,1,0.0,No,2021-06-30 21:45:22.637599
Research Independent Study | EVANTH 393,IND Section 03,4218,1,1,0.0,No,2021-06-30 21:45:24.966193
Research Independent Study | EVANTH 393,IND Section 04,4219,1,1,0.0,No,2021-06-30 21:45:27.290626
Research Independent Study | EVANTH 393,IND Section 05,4220,1,1,0.0,No,2021-06-30 21:45:29.644862
Research Independent Study | EVANTH 393,IND Section 06,4221,1,1,0.0,No,2021-06-30 21:45:32.017457
Research Independent Study | EVANTH 393,IND Section 07,4222,1,1,0.0,No,2021-06-30 21:45:34.353180
Research Independent Study | EVANTH 393,IND Section 08,4223,1,1,0.0,No,2021-06-30 21:45:36.694446
Research Independent Study | EVANTH 393,IND Section 09,4224,1,1,0.0,No,2021-06-30 21:45:39.021174
Research Independent Study | EVANTH 393,IND Section 10,4225,1,1,0.0,No,2021-06-30 21:45:41.354108
Research Independent Study | EVANTH 393,IND Section 11,4226,1,1,0.0,No,2021-06-30 21:45:43.759765
Research Independent Study | EVANTH 393,IND Section 12,4227,1,1,0.0,No,2021-06-30 21:45:46.096537
Research Independent Study | EVANTH 393,IND Section 13,4228,1,1,0.0,No,2021-06-30 21:45:48.417018
Research Independent Study | EVANTH 393,IND Section 14,4229,1,1,0.0,No,2021-06-30 21:45:50.761243
Research Independent Study | EVANTH 393,IND Section 15,4230,1,1,0.0,No,2021-06-30 21:45:53.098660
Advanced Research in Evolutionary Anthropology | EVANTH 495S,SEM Section 01,4249,14,14,0.0,No,2021-06-30 21:45:55.425619
