Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topics in Focus | FOCUS 195FS,Lecture Section 01,5401,0,36,100.0,No,2021-06-30 21:46:09.966770
Special Topics in Focus | FOCUS 195FS,Lecture Section 02,5402,6,27,77.77777777777779,No,2021-06-30 21:46:12.354070
Special Topics in Focus | FOCUS 195FS,Lecture Section 03,5403,0,36,100.0,No,2021-06-30 21:46:14.821852
Special Topics in Focus | FOCUS 195FS,Lecture Section 04,5404,0,36,100.0,No,2021-06-30 21:46:17.282472
Special Topics in Focus | FOCUS 195FS,Lecture Section 05,5405,2,27,92.5925925925926,No,2021-06-30 21:46:19.789410
Special Topics in Focus | FOCUS 195FS,Lecture Section 06,5406,0,36,100.0,No,2021-06-30 21:46:22.140518
Special Topics in Focus | FOCUS 195FS,Lecture Section 07,5407,0,36,100.0,No,2021-06-30 21:46:24.555510
Special Topics in Focus | FOCUS 195FS,Lecture Section 08,5408,5,36,86.11111111111111,No,2021-06-30 21:46:26.914212
Special Topics in Focus | FOCUS 195FS,Lecture Section 09,5409,2,27,92.5925925925926,No,2021-06-30 21:46:29.277902
Special Topics in Focus | FOCUS 195FS,Lecture Section 10,5410,0,36,100.0,No,2021-06-30 21:46:31.677743
Special Topics in Focus | FOCUS 195FS,Lecture Section 11,5411,5,27,81.48148148148148,No,2021-06-30 21:46:34.056014
Special Topics in Focus | FOCUS 195FS,Lecture Section 12,5412,2,27,92.5925925925926,No,2021-06-30 21:46:36.405984
Special Topics in Focus | FOCUS 195FS,Lecture Section 13,5413,1,36,97.22222222222221,No,2021-06-30 21:46:38.786728
Special Topics in Focus | FOCUS 195FS,Lecture Section 14,5414,10,36,72.22222222222221,No,2021-06-30 21:46:41.183220
Special Topics in Focus | FOCUS 195FS,Lecture Section 15,5415,1,36,97.22222222222221,No,2021-06-30 21:46:43.568392
Special Topics in Focus | FOCUS 195FS,Lecture Section 16,5416,1,36,97.22222222222221,No,2021-06-30 21:46:45.937397
