Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First Year Seminar: Special Topics in Global Health | GLHLTH 89S,SEM Section 03,7292,18,18,0.0,No,2021-06-30 21:44:16.945573
Fundamentals of Global Health | GLHLTH 101,Lecture Section 01,5848,100,100,0.0,No,2021-06-30 21:44:19.420954
History of Chinese Medicine | GLHLTH 142,Lecture Section 01,7010,35,35,0.0,No,2021-06-30 21:44:21.890224
"Climate, Coffee, and Coronavirus: Why Ecology Matters to Human Health | GLHLTH 153",Lecture Section 01,5872,50,50,0.0,No,2021-06-30 21:44:24.328784
"Climate, Coffee, & Coronavirus: Why Ecology Matters to Human Health | GLHLTH 153S",SEM Section 01,5978,18,18,0.0,No,2021-06-30 21:44:26.807619
Effectively Addressing Modern Pandemics of Disease: What Did We Do Wrong to Get So Sick? | GLHLTH 187FS,SEM Section 01,5853,0,18,100.0,No,2021-06-30 21:44:29.227787
Patient and Research Participant Activism and Advocacy | GLHLTH 196FS,SEM Section 01,8121,0,18,100.0,No,2021-06-30 21:44:31.600887
Confronting Global Health Challenges: What Would You Do? | GLHLTH 201FS,SEM Section 01,5854,0,18,100.0,No,2021-06-30 21:44:33.957296
History of Global Health | GLHLTH 203,Lecture Section 01,7012,40,40,0.0,No,2021-06-30 21:44:36.392036
Transnational Feminism | GLHLTH 208S,SEM Section 01,4950,18,18,0.0,No,2021-06-30 21:44:38.743682
Global Health Ethics: Policy Choice as Value Conflict | GLHLTH 210,Lecture Section 01,5813,35,35,0.0,No,2021-06-30 21:44:41.072142
Case Studies in Global Sexual and Reproductive Health | GLHLTH 215,Lecture Section 01,5846,30,30,0.0,No,2021-06-30 21:44:43.426209
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | GLHLTH 235",Lecture Section 01,7023,50,50,0.0,No,2021-06-30 21:44:45.744059
"Race, Genomics, and Society | GLHLTH 258D",Lecture Section 001,7341,100,100,0.0,No,2021-06-30 21:44:48.094904
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 01D,7342,19,19,0.0,Yes,2021-06-30 21:44:50.512267
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 02D,7343,18,18,0.0,Yes,2021-06-30 21:44:52.856992
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 03D,7344,19,19,0.0,Yes,2021-06-30 21:44:55.338418
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 04D,7345,19,19,0.0,Yes,2021-06-30 21:44:57.771860
Entrepreneurial Problem Solving in Global Health | GLHLTH 273S,SEM Section 01,5471,18,18,0.0,No,2021-06-30 21:45:00.128878
Leadership and the Changing Landscape of Health Care | GLHLTH 275S,SEM Section 01,6947,18,18,0.0,No,2021-06-30 21:45:02.497645
Literatures and Films of Pandemic | GLHLTH 278S,SEM Section 01,6390,18,18,0.0,No,2021-06-30 21:45:04.816009
Introduction to Global Health Data Science | GLHLTH 298L,Lecture Section 001,6341,90,90,0.0,No,2021-06-30 21:45:07.188344
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 01L,6342,1,1,0.0,Yes,2021-06-30 21:45:09.504649
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 02L,6343,1,1,0.0,Yes,2021-06-30 21:45:11.863346
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 03L,6344,1,1,0.0,Yes,2021-06-30 21:45:14.218422
Global Narratives of Illness and Disability | GLHLTH 302,Lecture Section 01,5837,30,30,0.0,No,2021-06-30 21:45:16.641530
Oceans in Human and Environmental Health | GLHLTH 309A,Lecture Section 01,9560,15,15,0.0,No,2021-06-30 21:45:19.063500
Medical Anthropology | GLHLTH 321-1,Lecture Section 01,4176,30,30,0.0,No,2021-06-30 21:45:21.411259
Global Displacement: Voix Francophones | GLHLTH 325S,SEM Section 01,5730,15,15,0.0,No,2021-06-30 21:45:23.771695
"Health, Culture, and the Latino Community | GLHLTH 326",Lecture Section 01,5703,15,15,0.0,No,2021-06-30 21:45:26.158053
"Health, Culture, and the Latino Community: Service Learning | GLHLTH 326-1",Lecture Section 01,5762,15,15,0.0,No,2021-06-30 21:45:28.517792
Social Determinants of US Health Disparities | GLHLTH 340,Lecture Section 01,8723,35,35,0.0,No,2021-06-30 21:45:30.875447
Global Health as an Ethical Enterprise | GLHLTH 345,Lecture Section 01,5850,40,40,0.0,No,2021-06-30 21:45:33.224998
Understanding the Causes and Spread of Human Disease: Global Health Epidemiology | GLHLTH 362,Lecture Section 01,5820,30,30,0.0,No,2021-06-30 21:45:35.583329
Fundamentals of Global Mental Health | GLHLTH 363,Lecture Section 01,5841,40,40,0.0,No,2021-06-30 21:45:37.935042
Research Methods in Global Health | GLHLTH 371,Lecture Section 01,5818,49,49,0.0,No,2021-06-30 21:45:40.319719
Special Topics in Global Health Studies | GLHLTH 390S,SEM Section 01,8202,18,18,0.0,No,2021-06-30 21:45:42.741623
Connections in Global Health: Interdisciplinary Team Projects | GLHLTH 395,IND Section 01,5844,20,20,0.0,No,2021-06-30 21:45:45.084769
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 01,5856,20,20,0.0,No,2021-06-30 21:45:47.431938
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 03,5857,20,20,0.0,No,2021-06-30 21:45:49.796498
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 04,5858,20,20,0.0,No,2021-06-30 21:45:52.169049
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 05,5859,20,20,0.0,No,2021-06-30 21:45:54.532997
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 06,5860,20,20,0.0,No,2021-06-30 21:45:56.880745
Bass Connections Global Health Research Team | GLHLTH 395T,TUT Section 07,5861,20,20,0.0,No,2021-06-30 21:45:59.219998
Global Health Capstone | GLHLTH 499,Lecture Section 01,5817,18,18,0.0,No,2021-06-30 21:46:01.562272
