Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,7578,18,18,0.0,No,2021-06-30 21:46:26.252414
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 02,4941,18,18,0.0,No,2021-06-30 21:46:28.640509
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 03,4942,18,18,0.0,No,2021-06-30 21:46:30.971899
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | GSF 188S,SEM Section 01,7017,15,15,0.0,No,2021-06-30 21:46:33.327834
Women and Gender in the Middle East | GSF 189,Lecture Section 01,6595,18,18,0.0,No,2021-06-30 21:46:35.676803
Comparative Approaches to Global Issues | GSF 195,Lecture Section 01,8689,49,49,0.0,No,2021-06-30 21:46:37.995294
LGBTQ/Queer Cinema and Cultural Production | GSF 198,Lecture Section 01,9125,18,18,0.0,No,2021-06-30 21:46:40.347561
Thinking Gender: An Introduction to Feminist Theory | GSF 199S,SEM Section 01,4947,18,18,0.0,No,2021-06-30 21:46:42.697102
"Race, Film, and Religion | GSF 201",Lecture Section 01,7660,45,45,0.0,No,2021-06-30 21:46:45.022143
Introduction to LGBTQ Studies | GSF 202S,SEM Section 01,4937,18,18,0.0,No,2021-06-30 21:46:47.407436
Gender in Dance and Theatre | GSF 212,Lecture Section 01,5302,12,12,0.0,No,2021-06-30 21:46:49.716652
Case Studies in Global Sexual and Reproductive Health | GSF 220,Lecture Section 01,5847,30,30,0.0,No,2021-06-30 21:46:52.043344
Women at Work: Gendered Experience of Corporate Life | GSF 221,Lecture Section 01,4945,18,18,0.0,No,2021-06-30 21:46:54.397745
Women in the Economy | GSF 230,Lecture Section 01,6034,40,40,0.0,No,2021-06-30 21:46:56.764858
"Women in Visual Arts, 1400-1800: Theory and History | GSF 245S",SEM Section 01,9441,11,11,0.0,No,2021-06-30 21:46:59.133018
Introduction to Digital Feminism | GSF 265S,SEM Section 01,4962,18,18,0.0,No,2021-06-30 21:47:01.552142
Selected Topics in Women's Studies | GSF 290S,SEM Section 02,7576,18,18,0.0,No,2021-06-30 21:47:03.983478
Selected Topics in Women's Studies | GSF 290S,SEM Section 03,4939,18,18,0.0,No,2021-06-30 21:47:06.376798
"Decolonization: Histories, Meanings, Struggles | GSF 335S",SEM Section 01,8699,16,16,0.0,No,2021-06-30 21:47:08.761411
Transnational Feminism | GSF 369S,SEM Section 01,4948,18,18,0.0,No,2021-06-30 21:47:11.304173
Reproductive Ethics | GSF 375,Lecture Section 01,4960,18,18,0.0,No,2021-06-30 21:47:13.939976
Politics of Sexuality | GSF 386S,SEM Section 01,4954,18,18,0.0,No,2021-06-30 21:47:16.329571
Special Topics in Women's Studies | GSF 390S,SEM Section 01,7599,18,18,0.0,No,2021-06-30 21:47:18.721220
Special Topics in Women's Studies | GSF 390S,SEM Section 02,4959,18,18,0.0,No,2021-06-30 21:47:21.173991
Indigenous Americas | GSF 405S,SEM Section 01,4197,18,18,0.0,No,2021-06-30 21:47:23.524780
Honors Independent Study | GSF 493,IND Section 01,10139,1,1,0.0,No,2021-06-30 21:47:25.911590
Senior Seminar in Women's Studies | GSF 499S,SEM Section 01,4940,18,18,0.0,No,2021-06-30 21:47:28.254353
