Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | HISTORY 89S,SEM Section 01,6954,18,18,0.0,No,2021-06-30 21:48:59.195616
First-Year Seminar | HISTORY 89S,SEM Section 03,7278,18,18,0.0,No,2021-06-30 21:49:01.563729
Introduction to Global History | HISTORY 101,Lecture Section 01,6953,30,30,0.0,No,2021-06-30 21:49:03.929603
Introduction to Modern African History | HISTORY 102,Lecture Section 01,7029,35,35,0.0,No,2021-06-30 21:49:06.295593
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 01,8686,49,49,0.0,No,2021-06-30 21:49:08.668216
"Old Worlds/New Histories, 500-1500 CE | HISTORY 105",Lecture Section 01,6986,25,25,0.0,No,2021-06-30 21:49:11.043563
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop | HISTORY 108,Lecture Section 01,6894,32,32,0.0,No,2021-06-30 21:49:13.377139
Intro to the History of Modern Warfare | HISTORY 114,Lecture Section 01,6995,35,35,0.0,No,2021-06-30 21:49:15.711983
Early Modern Europe | HISTORY 117,Lecture Section 01,6983,35,35,0.0,No,2021-06-30 21:49:18.099511
Introduction to Contemporary Latin America | HISTORY 121,Lecture Section 01,6958,35,35,0.0,No,2021-06-30 21:49:20.563371
History of the Present | HISTORY 124,Lecture Section 01,7020,100,100,0.0,No,2021-06-30 21:49:22.915558
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 01,6635,12,12,0.0,Yes,2021-06-30 21:49:25.262711
Introduction to Oral History | HISTORY 126S,SEM Section 01,6651,15,15,0.0,No,2021-06-30 21:49:27.676413
Globalization and Corporate Citizenship | HISTORY 127FS,SEM Section 01,7294,0,18,100.0,No,2021-06-30 21:49:30.038396
Introduction to African Studies (DS3 or DS4) | HISTORY 129,Lecture Section 01,7326,60,60,0.0,No,2021-06-30 21:49:32.525864
American Dreams and American Realities | HISTORY 130D,Lecture Section 001,6971,100,100,0.0,No,2021-06-30 21:49:34.878091
American Dreams and American Realities | HISTORY 130D,Discussion Section 01D,6972,25,25,0.0,No,2021-06-30 21:49:37.210620
American Dreams and American Realities | HISTORY 130D,Discussion Section 02D,6973,25,25,0.0,No,2021-06-30 21:49:39.565726
American Dreams and American Realities | HISTORY 130D,Discussion Section 03D,6974,25,25,0.0,No,2021-06-30 21:49:41.939664
American Dreams and American Realities | HISTORY 130D,Discussion Section 04D,6975,25,25,0.0,No,2021-06-30 21:49:44.286927
"Silk Roads and China, Ancient and Medieval Transformations | HISTORY 135",Lecture Section 01,7001,30,30,0.0,No,2021-06-30 21:49:46.613297
From Stalin to Putin: The Art of Dictatorship | HISTORY 138,Lecture Section 01,7033,30,30,0.0,No,2021-06-30 21:49:48.962564
Gateway Seminar: The History of he U.S. South | HISTORY 143S,SEM Section 01,7034,15,15,0.0,No,2021-06-30 21:49:51.313014
Gateway Seminar - Anarchism and its Discontents | HISTORY 166S,SEM Section 01,6993,18,18,0.0,No,2021-06-30 21:49:53.663731
Gateway Seminar: Living Through the Great War | HISTORY 186S,SEM Section 01,7015,15,15,0.0,No,2021-06-30 21:49:55.985655
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | HISTORY 188S,SEM Section 01,7016,15,15,0.0,No,2021-06-30 21:49:58.341128
Topics in Focus Program | HISTORY 190FS,SEM Section 02,5368,0,18,100.0,No,2021-06-30 21:50:00.695860
Topics in Focus Program | HISTORY 190FS,SEM Section 03,6979,2,18,88.88888888888889,No,2021-06-30 21:50:03.174512
Topics in Focus Program | HISTORY 190FS,SEM Section 04,6980,1,18,94.44444444444444,No,2021-06-30 21:50:05.598422
Topics in Focus Program | HISTORY 190FS,SEM Section 05,6981,4,18,77.77777777777779,No,2021-06-30 21:50:07.960358
Topics in Focus Program | HISTORY 190FS,SEM Section 06,6982,4,18,77.77777777777779,No,2021-06-30 21:50:10.329396
Independent Study: Digital India Lab | HISTORY 191L,IND Section 01,10140,5,5,0.0,No,2021-06-30 21:50:12.780933
"Gateway Seminar: Environment, Energy, Climate Change | HISTORY 197S",SEM Section 01,7036,15,15,0.0,No,2021-06-30 21:50:15.138778
History of Global Health | HISTORY 203,Lecture Section 01,7011,40,40,0.0,No,2021-06-30 21:50:17.657923
Islam in Asia | HISTORY 209S,SEM Section 01,6371,18,18,0.0,No,2021-06-30 21:50:20.099153
The Turks: From Ottoman Empire to European Union | HISTORY 212,Lecture Section 01,6569,18,18,0.0,No,2021-06-30 21:50:22.530890
Nigeria: A Modern History | HISTORY 217S,SEM Section 01,7389,18,18,0.0,No,2021-06-30 21:50:25.009033
Indian Civilization | HISTORY 219S,SEM Section 01,6989,18,18,0.0,No,2021-06-30 21:50:27.366892
Ancient and Early Modern Japan | HISTORY 226,Lecture Section 01,6963,35,35,0.0,No,2021-06-30 21:50:29.809945
Chinatowns: A Cultural History | HISTORY 228,Lecture Section 01,6588,21,21,0.0,No,2021-06-30 21:50:32.166146
Chinatowns: A Cultural History | HISTORY 228,Lecture Section 02,6589,21,21,0.0,No,2021-06-30 21:50:34.655934
Roman History | HISTORY 233,Lecture Section 01,5130,40,40,0.0,No,2021-06-30 21:50:36.999579
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | HISTORY 235",Lecture Section 01,7022,50,50,0.0,No,2021-06-30 21:50:39.374729
History of Chinese Medicine | HISTORY 239,Lecture Section 01,7008,35,35,0.0,No,2021-06-30 21:50:41.755691
Cross-Cultural Encounters | HISTORY 243S,SEM Section 01,7670,18,18,0.0,No,2021-06-30 21:50:44.241768
Transnational Feminism | HISTORY 249S,SEM Section 01,4952,18,18,0.0,No,2021-06-30 21:50:46.713270
The Viking Age | HISTORY 256,Lecture Section 01,5441,25,25,0.0,No,2021-06-30 21:50:49.225748
"Religion, Reform, and Violence in Early Modern Europe | HISTORY 257",Lecture Section 01,6961,35,35,0.0,No,2021-06-30 21:50:51.575553
Germany Confronts Nazism and the Holocaust | HISTORY 261,Lecture Section 01,5435,25,25,0.0,No,2021-06-30 21:50:53.941677
The Foundations of Modern Terrorism | HISTORY 279,Lecture Section 01,6955,40,40,0.0,No,2021-06-30 21:50:56.440343
History of Inequality | HISTORY 288,Lecture Section 01,7028,35,35,0.0,No,2021-06-30 21:50:58.826551
"Decolonization: Histories, Meanings, Struggles | HISTORY 289S",SEM Section 01,8698,16,16,0.0,No,2021-06-30 21:51:01.203061
Applied Historical Research | HISTORY 301T,TUT Section 01,7032,15,15,0.0,No,2021-06-30 21:51:03.636368
History of International Financial and Monetary Crises | HISTORY 305,Lecture Section 01,6102,30,30,0.0,No,2021-06-30 21:51:06.019029
History of Economic Thought | HISTORY 307,Lecture Section 01,6013,30,30,0.0,No,2021-06-30 21:51:08.410714
Alexander Hamilton and His World | HISTORY 309,Lecture Section 01,7014,40,40,0.0,No,2021-06-30 21:51:10.754125
"Men, Women, and Sports: Topics in US Sports History | HISTORY 311S",SEM Section 01,7000,18,18,0.0,No,2021-06-30 21:51:13.078166
Statecraft and Strategy | HISTORY 322,Lecture Section 01,8006,40,40,0.0,No,2021-06-30 21:51:15.401181
"Denial, Faith, Reason: Sustainability and Survival | HISTORY 325",Lecture Section 01,7975,20,20,0.0,No,2021-06-30 21:51:17.734943
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | HISTORY 331S,SEM Section 01,6379,18,18,0.0,No,2021-06-30 21:51:20.042948
Africa before Colonialism | HISTORY 341S,SEM Section 01,7387,18,18,0.0,No,2021-06-30 21:51:22.371348
Politics of Sexuality | HISTORY 346S,SEM Section 01,4958,18,18,0.0,No,2021-06-30 21:51:24.769658
The Civil Rights Movement | HISTORY 348,Lecture Section 01,6966,40,40,0.0,No,2021-06-30 21:51:27.095420
American Indian History to 1815 | HISTORY 355,Lecture Section 01,6999,40,40,0.0,No,2021-06-30 21:51:29.423477
History of Capitalism in the United States | HISTORY 363,Lecture Section 01,6992,40,40,0.0,No,2021-06-30 21:51:31.752785
Latinx Social Movements | HISTORY 366S,SEM Section 01,7026,12,12,0.0,No,2021-06-30 21:51:34.092832
Aztecs and Mayans | HISTORY 370,Lecture Section 01,7025,40,40,0.0,No,2021-06-30 21:51:36.439808
Feast and Famine: Food in Global History | HISTORY 371,Lecture Section 01,6997,40,40,0.0,No,2021-06-30 21:51:38.809150
Apartheid South Africa and Struggles for Democracy | HISTORY 386S,SEM Section 01,7379,15,15,0.0,No,2021-06-30 21:51:41.137395
Family Rights/Human Rights | HISTORY 389S,SEM Section 01,7005,18,18,0.0,No,2021-06-30 21:51:43.466280
Topics in History Lecture | HISTORY 390,Lecture Section 01,6957,40,40,0.0,No,2021-06-30 21:51:45.791055
Research Independent Study | HISTORY 393,IND Section 01,1455,5,5,0.0,No,2021-06-30 21:51:48.116036
Research Independent Study | HISTORY 393,IND Section 02,1456,5,5,0.0,No,2021-06-30 21:51:50.508835
Research Independent Study | HISTORY 393,IND Section 03,1457,5,5,0.0,No,2021-06-30 21:51:52.869175
Research Independent Study | HISTORY 393,IND Section 04,1458,5,5,0.0,No,2021-06-30 21:51:55.249260
Research Independent Study | HISTORY 393,IND Section 05,1459,5,5,0.0,No,2021-06-30 21:51:57.614687
Research Independent Study | HISTORY 393,IND Section 06,1460,5,5,0.0,No,2021-06-30 21:51:59.970652
Research Independent Study | HISTORY 393,IND Section 07,1461,5,5,0.0,No,2021-06-30 21:52:02.350354
Research Independent Study | HISTORY 393,IND Section 08,1462,5,5,0.0,No,2021-06-30 21:52:04.739474
Research Independent Study | HISTORY 393,IND Section 09,1463,5,5,0.0,No,2021-06-30 21:52:07.092875
Research Independent Study | HISTORY 393,IND Section 10,1464,5,5,0.0,No,2021-06-30 21:52:09.441588
Research Independent Study | HISTORY 393,IND Section 11,1465,5,5,0.0,No,2021-06-30 21:52:11.817799
Research Independent Study | HISTORY 393,IND Section 12,1466,5,5,0.0,No,2021-06-30 21:52:14.168372
Research Independent Study | HISTORY 393,IND Section 13,1467,5,5,0.0,No,2021-06-30 21:52:16.514410
Research Independent Study | HISTORY 393,IND Section 14,1468,5,5,0.0,No,2021-06-30 21:52:18.848120
Research Independent Study | HISTORY 393,IND Section 15,1469,5,5,0.0,No,2021-06-30 21:52:21.187698
Research Independent Study | HISTORY 393,IND Section 16,1470,5,5,0.0,No,2021-06-30 21:52:23.533080
Research Independent Study | HISTORY 393,IND Section 17,1471,5,5,0.0,No,2021-06-30 21:52:25.886952
Research Independent Study | HISTORY 393,IND Section 18,1472,5,5,0.0,No,2021-06-30 21:52:28.359510
Research Independent Study | HISTORY 393,IND Section 20,1474,5,5,0.0,No,2021-06-30 21:52:30.735322
Soviet and Post-Soviet Economic History | HISTORY 407D,Lecture Section 001,6145,15,15,0.0,No,2021-06-30 21:52:33.107066
Soviet and Post-Soviet Economic History | HISTORY 407D,Discussion Section 01D,6146,15,15,0.0,No,2021-06-30 21:52:35.475682
History of Death | HISTORY 410S,SEM Section 01,7031,18,18,0.0,No,2021-06-30 21:52:37.819509
Historicizing Whiteness | HISTORY 411S,SEM Section 01,7959,18,18,0.0,No,2021-06-30 21:52:40.178715
Ancient Athenian Law | HISTORY 413,Lecture Section 01,5168,38,38,0.0,No,2021-06-30 21:52:42.525626
Geopolitics and Culture: Islamic States from the Ottomans to ISIS | HISTORY 416S,SEM Section 01,6603,18,18,0.0,No,2021-06-30 21:52:44.875367
South African Life Histories | HISTORY 450S,SEM Section 01,7361,15,15,0.0,No,2021-06-30 21:52:47.220644
Capstone Seminar: Leadership in American History | HISTORY 470S,SEM Section 01,6985,15,15,0.0,No,2021-06-30 21:52:49.570844
Capstone Seminar: History of Torture | HISTORY 483S,SEM Section 01,7013,15,15,0.0,No,2021-06-30 21:52:51.953592
Senior Thesis Seminar | HISTORY 495S,SEM Section 01,6968,15,15,0.0,No,2021-06-30 21:52:54.358866
Senior Thesis Seminar | HISTORY 495S,SEM Section 02,8713,15,15,0.0,No,2021-06-30 21:52:56.729653
