Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topics in Innovation & Entrepreneurship | I&E 190,Lecture Section 01,5480,25,25,0.0,No,2021-06-30 21:47:48.613325
Learning to Fail | I&E 252,Lecture Section 01,5467,18,18,0.0,Yes,2021-06-30 21:47:51.151590
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5468,24,24,0.0,Yes,2021-06-30 21:47:53.684805
Social Innovation | I&E 261,Lecture Section 01,5457,12,12,0.0,Yes,2021-06-30 21:47:56.226409
Social Innovation | I&E 261,Lecture Section 02,5458,12,12,0.0,Yes,2021-06-30 21:47:58.703843
Entrepreneurial Problem Solving in Global Health | I&E 263S,SEM Section 01,5470,18,18,0.0,No,2021-06-30 21:48:01.132715
Introduction to Digital Feminism | I&E 265S,SEM Section 01,4967,18,18,0.0,No,2021-06-30 21:48:03.567795
Documentary and Policy: How Documentary Influences Policy | I&E 272S,SEM Section 01,6673,15,15,0.0,No,2021-06-30 21:48:06.130404
Special Topics | I&E 290,Lecture Section 01,5454,30,30,0.0,Yes,2021-06-30 21:48:08.632019
Special Topics | I&E 290,Lecture Section 02,5455,16,16,0.0,No,2021-06-30 21:48:11.084780
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,4174,30,30,0.0,No,2021-06-30 21:48:13.544043
Legal Issues for the Performing Arts | I&E 311S,SEM Section 01,8894,16,16,0.0,No,2021-06-30 21:48:15.953475
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,5477,24,24,0.0,Yes,2021-06-30 21:48:18.381922
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5456,30,30,0.0,No,2021-06-30 21:48:20.799564
The Economics of Entrepreneurship | I&E 375,Lecture Section 01,6105,30,30,0.0,No,2021-06-30 21:48:23.213707
Advanced Special Topics Seminar | I&E 390S,SEM Section 01,10198,18,18,0.0,No,2021-06-30 21:48:25.747497
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 01,5466,1,1,0.0,No,2021-06-30 21:48:28.159597
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 01,5474,1,1,0.0,No,2021-06-30 21:48:30.596543
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5475,30,30,0.0,No,2021-06-30 21:48:33.151533
New Ventures Development | I&E 395,Lecture Section 01,5453,8,8,0.0,No,2021-06-30 21:48:35.558517
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5461,30,30,0.0,No,2021-06-30 21:48:37.929110
