Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | LIT 89S,SEM Section 01,7569,18,18,0.0,No,2021-06-30 21:50:23.536759
First-Year Seminar | LIT 89S,SEM Section 02,8990,15,15,0.0,No,2021-06-30 21:50:25.933281
First-Year Seminar | LIT 89S,SEM Section 03,8195,18,18,0.0,No,2021-06-30 21:50:28.470995
Introduction to African American Studies | LIT 102,Lecture Section 01,7323,30,30,0.0,No,2021-06-30 21:50:31.326887
Games and Culture: Gateway to the Study of Games | LIT 188FS,SEM Section 01,6629,0,18,100.0,No,2021-06-30 21:50:33.761161
Special Topics: Introduction to Literature | LIT 190S,SEM Section 03,7577,18,18,0.0,No,2021-06-30 21:50:36.184757
"Performing Science: Experimentation, Collaboration, and Artistry | LIT 198FS",SEM Section 01,8910,1,18,94.44444444444444,No,2021-06-30 21:50:38.619505
LGBTQ/Queer Cinema and Cultural Production | LIT 199,Lecture Section 01,9123,18,18,0.0,No,2021-06-30 21:50:41.046291
Introduction to Global Cultural Studies | LIT 201,Lecture Section 01,7591,18,18,0.0,No,2021-06-30 21:50:43.501949
Introduction to Performance Studies | LIT 202S,SEM Section 01,8903,16,16,0.0,No,2021-06-30 21:50:46.063997
World of Korean Cinema | LIT 212,Lecture Section 01,6574,14,14,0.0,No,2021-06-30 21:50:48.420825
Italian Cinema | LIT 215,Lecture Section 01,5706,18,18,0.0,No,2021-06-30 21:50:50.759529
Cinematic Authorship | LIT 218,Lecture Section 01,9221,15,15,0.0,No,2021-06-30 21:50:53.114801
Spies Like Us: Screening Cold War Espionage | LIT 225,Lecture Section 01,6384,35,35,0.0,No,2021-06-30 21:50:55.502956
Literatures and Films of Pandemic | LIT 278S,SEM Section 01,6391,18,18,0.0,No,2021-06-30 21:50:57.901970
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative | LIT 279S,SEM Section 01,6681,13,13,0.0,No,2021-06-30 21:51:00.274099
Introduction to US Latino/a Literature | LIT 336,Lecture Section 01,5743,18,18,0.0,No,2021-06-30 21:51:02.627550
Perspectives on the Amazon | LIT 341S,SEM Section 01,5754,18,18,0.0,No,2021-06-30 21:51:05.017485
"African Americans, Mass Incarceration and Citizenship | LIT 343",Lecture Section 01,7373,28,28,0.0,No,2021-06-30 21:51:07.356586
Global Apple: Life and Death and the Digital Revolution | LIT 361S,SEM Section 01,4180,18,18,0.0,No,2021-06-30 21:51:09.711155
Germany Confronts Nazism and the Holocaust | LIT 369,Lecture Section 01,5434,25,25,0.0,No,2021-06-30 21:51:12.073507
Russian Fiction and Film | LIT 370S,SEM Section 01,6368,18,18,0.0,No,2021-06-30 21:51:14.425297
Fictions That Mark the Moment | LIT 382S,SEM Section 01,7375,18,18,0.0,No,2021-06-30 21:51:16.909067
Special Topics in Literature | LIT 390S,SEM Section 01,7565,18,18,0.0,No,2021-06-30 21:51:19.285146
Special Topics in Literature | LIT 390S,SEM Section 02,7566,18,18,0.0,No,2021-06-30 21:51:21.654173
Special Topics in Literature | LIT 390S,SEM Section 03,7567,18,18,0.0,No,2021-06-30 21:51:24.036921
Special Topics in Literature | LIT 390S,SEM Section 04,4936,18,18,0.0,No,2021-06-30 21:51:26.407866
Special Topics in Literary Movements | LIT 390S-2,SEM Section 01,7570,18,18,0.0,No,2021-06-30 21:51:28.760440
Independent Study | LIT 391,IND Section 01,2056,1,1,0.0,No,2021-06-30 21:51:31.117324
Independent Study | LIT 391,IND Section 02,2057,1,1,0.0,No,2021-06-30 21:51:33.474115
Independent Study | LIT 391,IND Section 03,2058,1,1,0.0,No,2021-06-30 21:51:35.816717
Independent Study | LIT 391,IND Section 04,7582,1,1,0.0,No,2021-06-30 21:51:38.167889
Independent Study | LIT 391,IND Section 05,7583,1,1,0.0,No,2021-06-30 21:51:40.519130
Research Independent Study | LIT 393,IND Section 01,2046,1,1,0.0,No,2021-06-30 21:51:42.839050
Research Independent Study | LIT 393,IND Section 02,2047,1,1,0.0,No,2021-06-30 21:51:45.211426
Research Independent Study | LIT 393,IND Section 03,2048,1,1,0.0,No,2021-06-30 21:51:47.550291
Research Independent Study | LIT 393,IND Section 04,2049,1,1,0.0,No,2021-06-30 21:51:49.908839
Research Independent Study | LIT 393,IND Section 05,2050,1,1,0.0,No,2021-06-30 21:51:52.230431
Banlieues and Peripheries in French Contemporary Literature and Cinema | LIT 427S,SEM Section 01,5759,12,12,0.0,No,2021-06-30 21:51:54.587267
Honors Thesis I | LIT 495,IND Section 01,2051,1,1,0.0,No,2021-06-30 21:51:56.912514
Honors Thesis I | LIT 495,IND Section 02,7579,1,1,0.0,No,2021-06-30 21:51:59.242247
Honors Thesis I | LIT 495,IND Section 03,2052,1,1,0.0,No,2021-06-30 21:52:01.577284
