Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PHIL 89S,SEM Section 05,7280,18,18,0.0,No,2021-06-30 21:53:54.161712
Introduction to Philosophy | PHIL 101,Lecture Section 01,4439,35,35,0.0,No,2021-06-30 21:53:56.563144
Introduction to Philosophy | PHIL 103S,SEM Section 01,4440,12,12,0.0,No,2021-06-30 21:53:58.943427
Introduction to Philosophy | PHIL 103S,SEM Section 02,4441,12,12,0.0,No,2021-06-30 21:54:01.296388
Introduction to Philosophy | PHIL 103S,SEM Section 03,4442,12,12,0.0,No,2021-06-30 21:54:03.672118
"Information, Society & Culture: Bass Connections Gateway | PHIL 110",Lecture Section 01,7419,40,40,0.0,No,2021-06-30 21:54:06.010530
Freedom and Moral Obligation | PHIL 124FS,SEM Section 01,4471,1,18,94.44444444444444,No,2021-06-30 21:54:08.363828
Logic | PHIL 150,Lecture Section 01,4443,12,12,0.0,No,2021-06-30 21:54:10.730619
Logic | PHIL 150,Lecture Section 02,4444,12,12,0.0,No,2021-06-30 21:54:13.080168
Logic | PHIL 150,Lecture Section 03,4445,12,12,0.0,No,2021-06-30 21:54:15.449076
History of Ancient Philosophy | PHIL 203,Lecture Section 01,4447,35,35,0.0,No,2021-06-30 21:54:17.957737
The modern canon: listening to neglected voices | PHIL 204,SEM Section 01,4451,18,18,0.0,No,2021-06-30 21:54:20.302311
Philosophy of Mind | PHIL 212,Lecture Section 01,4452,35,35,0.0,No,2021-06-30 21:54:22.652353
Introduction to Ethical Theory | PHIL 217,Lecture Section 01,4455,35,35,0.0,No,2021-06-30 21:54:24.997524
Medical Ethics | PHIL 218,Lecture Section 01,4456,35,35,0.0,No,2021-06-30 21:54:27.340181
Symbolic Logic | PHIL 250,Lecture Section 01,4449,18,18,0.0,No,2021-06-30 21:54:29.693120
Philosophy and Neuroscience | PHIL 252,Lecture Section 01,4466,35,35,0.0,No,2021-06-30 21:54:32.070848
Business Ethics: The Debate Over Corporate Social Responsibility | PHIL 270,Lecture Section 01,4463,15,15,0.0,No,2021-06-30 21:54:34.398589
Independent Study | PHIL 291,IND Section 01,10314,5,5,0.0,No,2021-06-30 21:54:36.784169
Independent Study | PHIL 291,IND Section 02,10315,5,5,0.0,No,2021-06-30 21:54:39.162616
Research Independent Study | PHIL 293,IND Section 01,10316,5,5,0.0,No,2021-06-30 21:54:41.613727
Research Independent Study | PHIL 293,IND Section 02,10317,5,5,0.0,No,2021-06-30 21:54:44.068175
Research Independent Study | PHIL 293,IND Section 03,10318,5,5,0.0,No,2021-06-30 21:54:46.467627
Philosophy of Biology | PHIL 314,Lecture Section 01,4461,40,40,0.0,No,2021-06-30 21:54:48.821141
Neuroethics | PHIL 353,Lecture Section 01,4978,30,30,0.0,No,2021-06-30 21:54:51.182595
"Politics, Philosophy, and Economics Capstone | PHIL 465",Lecture Section 01,6409,18,18,0.0,No,2021-06-30 21:54:53.570806
