Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PHYSEDU 89S,SEM Section 01,9661,15,15,0.0,No,2021-06-30 21:55:10.002776
Fusion Fitness | PHYSEDU 104,ACT Section 01,9665,20,20,0.0,No,2021-06-30 21:55:12.358537
Pilates Mat and Ball | PHYSEDU 105,ACT Section 01,9672,24,24,0.0,No,2021-06-30 21:55:14.725033
Advanced Pilates and Barre | PHYSEDU 106,ACT Section 01,9678,24,24,0.0,No,2021-06-30 21:55:17.072717
Running | PHYSEDU 112,ACT Section 01,9683,20,20,0.0,No,2021-06-30 21:55:19.406090
Weight Training | PHYSEDU 113,ACT Section 01,9650,20,20,0.0,No,2021-06-30 21:55:21.739287
Weight Training | PHYSEDU 113,ACT Section 02,9651,20,20,0.0,No,2021-06-30 21:55:24.057874
Weight Training for Women | PHYSEDU 116,ACT Section 01,9674,20,20,0.0,No,2021-06-30 21:55:26.366373
Weight Training for Women | PHYSEDU 116,ACT Section 02,9675,20,20,0.0,No,2021-06-30 21:55:28.732738
Fusion Fitness for Women | PHYSEDU 117,ACT Section 01,9670,24,24,0.0,No,2021-06-30 21:55:31.065700
Fusion Fitness for Women | PHYSEDU 117,ACT Section 02,9671,24,24,0.0,No,2021-06-30 21:55:33.384781
Basketball | PHYSEDU 122,ACT Section 01,9666,20,20,0.0,No,2021-06-30 21:55:35.728836
Fencing | PHYSEDU 124,ACT Section 01,9662,16,16,0.0,No,2021-06-30 21:55:38.059028
Beginning Golf | PHYSEDU 131,ACT Section 01,9652,16,16,0.0,No,2021-06-30 21:55:40.402010
Beginning Golf | PHYSEDU 131,ACT Section 02,9653,16,16,0.0,No,2021-06-30 21:55:42.738816
Intermediate Golf | PHYSEDU 132,ACT Section 01,9654,16,16,0.0,No,2021-06-30 21:55:45.077404
Intermediate Golf | PHYSEDU 132,ACT Section 02,9655,16,16,0.0,No,2021-06-30 21:55:47.397950
Intermediate Golf | PHYSEDU 132,ACT Section 03,9656,16,16,0.0,No,2021-06-30 21:55:49.765526
Advanced Golf | PHYSEDU 133,ACT Section 01,9657,16,16,0.0,No,2021-06-30 21:55:52.089686
Beginning Tennis | PHYSEDU 143,ACT Section 01,9658,18,18,0.0,No,2021-06-30 21:55:54.476764
Intermediate Tennis | PHYSEDU 144,ACT Section 01,9659,18,18,0.0,No,2021-06-30 21:55:56.794804
Intermediate Tennis | PHYSEDU 144,ACT Section 02,9660,18,18,0.0,No,2021-06-30 21:55:59.185524
Tai Chi | PHYSEDU 165,ACT Section 01,9673,20,20,0.0,No,2021-06-30 21:56:01.526855
Aikido: Japanese Sword and Staff | PHYSEDU 167,ACT Section 01,9676,20,20,0.0,No,2021-06-30 21:56:03.925003
Yoga | PHYSEDU 170,ACT Section 01,9663,24,24,0.0,No,2021-06-30 21:56:06.292324
Intermediate Yoga | PHYSEDU 171,ACT Section 01,9664,24,24,0.0,No,2021-06-30 21:56:08.633586
Yoga for First Years | PHYSEDU 173,ACT Section 01,9684,20,20,0.0,No,2021-06-30 21:56:10.968216
Athletic Yoga | PHYSEDU 174,ACT Section 01,9682,24,24,0.0,No,2021-06-30 21:56:13.341631
Diet and Nutrition | PHYSEDU 203,Lecture Section 01,9667,20,20,0.0,No,2021-06-30 21:56:15.703177
Exercise and Mental Health | PHYSEDU 207,Lecture Section 01,9681,20,20,0.0,No,2021-06-30 21:56:18.035725
Sports Media | PHYSEDU 212,Lecture Section 01,9677,20,20,0.0,No,2021-06-30 21:56:20.394874
Sports Leadership Development | PHYSEDU 225,Lecture Section 01,9679,20,20,0.0,No,2021-06-30 21:56:22.851864
Theory and Practice of Coaching | PHYSEDU 240,Lecture Section 01,9668,20,20,0.0,No,2021-06-30 21:56:25.229123
Psychology of Sport and Performance | PHYSEDU 241,Lecture Section 01,9669,20,20,0.0,No,2021-06-30 21:56:27.557549
