Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PUBPOL 89S,SEM Section 01,6927,18,18,0.0,No,2021-06-30 21:53:05.343983
First-Year Seminar | PUBPOL 89S,SEM Section 04,7281,18,18,0.0,No,2021-06-30 21:53:07.918773
"Information, Society & Culture: Bass Connections Gateway | PUBPOL 110",Lecture Section 01,7421,40,40,0.0,No,2021-06-30 21:53:10.446968
"Human Rights: Back to the Future, looking at roots and current reality of human rights | PUBPOL 115FS",SEM Section 01,4199,5,18,72.22222222222221,No,2021-06-30 21:53:12.866372
History of the Present | PUBPOL 123,Lecture Section 01,7021,100,100,0.0,No,2021-06-30 21:53:15.272416
Introduction to Policy Analysis | PUBPOL 155D,Lecture Section 001,7820,156,156,0.0,No,2021-06-30 21:53:17.654916
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 01D,7821,17,17,0.0,No,2021-06-30 21:53:20.030588
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 02D,7822,17,17,0.0,No,2021-06-30 21:53:22.416932
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 03D,7823,17,17,0.0,No,2021-06-30 21:53:24.809170
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 04D,7824,17,17,0.0,No,2021-06-30 21:53:27.187609
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 05D,7825,17,17,0.0,No,2021-06-30 21:53:29.522597
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 06D,7826,17,17,0.0,No,2021-06-30 21:53:31.863396
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 07D,7827,16,16,0.0,No,2021-06-30 21:53:34.250100
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 08D,7828,16,16,0.0,No,2021-06-30 21:53:36.619852
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 09D,7829,16,16,0.0,No,2021-06-30 21:53:39.017435
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 10D,7830,15,15,0.0,No,2021-06-30 21:53:41.357580
Intro to the History of Modern Warfare | PUBPOL 160,Lecture Section 01,6996,35,35,0.0,No,2021-06-30 21:53:43.724706
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 01,7909,45,45,0.0,No,2021-06-30 21:53:46.105758
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Lecture Section 001,6398,60,60,0.0,No,2021-06-30 21:53:48.441562
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 02D,6399,15,15,0.0,No,2021-06-30 21:53:50.797217
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 03D,6400,15,15,0.0,No,2021-06-30 21:53:53.179880
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 04D,6401,15,15,0.0,No,2021-06-30 21:53:55.534386
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 05D,6402,15,15,0.0,No,2021-06-30 21:53:57.867508
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 01,6637,12,12,0.0,Yes,2021-06-30 21:54:00.216271
Human Rights and World Politics | PUBPOL 181FS,SEM Section 01,7287,0,18,100.0,No,2021-06-30 21:54:02.546144
Drugs and the Law | PUBPOL 185FS,SEM Section 01,4985,0,18,100.0,No,2021-06-30 21:54:04.871330
Ethical Implications of Genetic and Genomic Research | PUBPOL 186FS,SEM Section 01,4683,0,18,100.0,No,2021-06-30 21:54:07.186559
Globalization and Corporate Citizenship | PUBPOL 187FS,SEM Section 01,7295,0,18,100.0,No,2021-06-30 21:54:09.489171
Lessons from evidence based policy making in COVID | PUBPOL 188FS,SEM Section 01,8017,0,18,100.0,No,2021-06-30 21:54:11.819808
Focus Program Introductory Special Topics in Public Policy | PUBPOL 190FS,SEM Section 02,7948,1,18,94.44444444444444,No,2021-06-30 21:54:14.123945
Focus Program Introductory Special Topics in Public Policy | PUBPOL 190FS,SEM Section 03,7282,0,18,100.0,No,2021-06-30 21:54:16.465372
Patient and Research Participant Activism and Advocacy | PUBPOL 196FS,SEM Section 01,8123,0,18,100.0,No,2021-06-30 21:54:18.813165
"Risks, Rewards, Rules, and Tools: Science Law and Policy | PUBPOL 199FS",SEM Section 01,8127,0,18,100.0,No,2021-06-30 21:54:21.220458
Introduction to Engaged Citizenship and Social Change (Gateway Course) | PUBPOL 203,Lecture Section 01,7314,30,30,0.0,No,2021-06-30 21:54:23.549668
Development and Africa | PUBPOL 207,Lecture Section 01,7320,50,50,0.0,No,2021-06-30 21:54:25.879583
Documentary and Policy: How Documentary Influences Policy | PUBPOL 228S,SEM Section 01,6672,15,15,0.0,No,2021-06-30 21:54:28.260177
Child Policy Research | PUBPOL 242S,SEM Section 01,4327,18,18,0.0,No,2021-06-30 21:54:30.600086
"Children, Schools, and Society | PUBPOL 243S",SEM Section 01,6929,18,18,0.0,No,2021-06-30 21:54:32.914943
"Law, Ethics & Responsibility | PUBPOL 250FS",SEM Section 01,4377,0,18,100.0,No,2021-06-30 21:54:35.268525
Amazon.com and the Cybereconomy | PUBPOL 252,Lecture Section 01,4205,30,30,0.0,No,2021-06-30 21:54:37.613179
Social Innovation | PUBPOL 256,Lecture Section 01,5459,12,12,0.0,Yes,2021-06-30 21:54:39.941317
Social Innovation | PUBPOL 256,Lecture Section 02,5460,12,12,0.0,Yes,2021-06-30 21:54:42.422461
Shakespeare & Financial Markets: Why This Time is Never Different | PUBPOL 257S,SEM Section 01,6124,18,18,0.0,No,2021-06-30 21:54:44.732479
Women as Leaders | PUBPOL 259S,SEM Section 01,7855,18,18,0.0,No,2021-06-30 21:54:47.052426
The US Intelligence Enterprise | PUBPOL 269S,SEM Section 01,8009,15,15,0.0,No,2021-06-30 21:54:49.387305
"Lead the Way Durham: Civic Engagement, Social Innovation, and Community Leadership in the Bull City | PUBPOL 270S",SEM Section 01,9755,18,18,0.0,No,2021-06-30 21:54:51.813614
Overlooked Children: Topics of Equity and Access in Gifted Education | PUBPOL 272S,SEM Section 01,6951,18,18,0.0,No,2021-06-30 21:54:54.178548
Marine Policy | PUBPOL 281A,Lecture Section 01,9537,4,4,0.0,No,2021-06-30 21:54:56.570234
"Denial, Faith, Reason: Sustainability and Survival | PUBPOL 284",Lecture Section 01,7976,20,20,0.0,No,2021-06-30 21:54:58.919036
