Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Russian I | RUSSIAN 101,Lecture Section 01,6351,20,20,0.0,No,2021-06-30 21:53:08.033770
Elementary Russian I | RUSSIAN 101,Lecture Section 02,6352,20,20,0.0,No,2021-06-30 21:53:10.497281
Intermediate Russian I | RUSSIAN 203,Lecture Section 01,6353,20,20,0.0,No,2021-06-30 21:53:12.934003
Directing | RUSSIAN 255S,SEM Section 01,8881,12,12,0.0,No,2021-06-30 21:53:15.318872
Literatures and Films of Pandemic | RUSSIAN 278S,SEM Section 01,6388,18,18,0.0,No,2021-06-30 21:53:17.707398
Topics in Russian Studies | RUSSIAN 290S,SEM Section 01,7597,18,18,0.0,No,2021-06-30 21:53:20.082553
Contemporary Russian Composition and Readings | RUSSIAN 301S,SEM Section 01,6354,15,15,0.0,No,2021-06-30 21:53:22.431395
The Devil in Russian Literature | RUSSIAN 314,Lecture Section 01,6369,30,30,0.0,No,2021-06-30 21:53:24.825990
Islam in Asia | RUSSIAN 370S,SEM Section 01,6373,18,18,0.0,No,2021-06-30 21:53:27.195862
Russian Fiction and Film | RUSSIAN 371S,SEM Section 01,6367,18,18,0.0,No,2021-06-30 21:53:29.534187
Advanced Russian | RUSSIAN 401,Lecture Section 01,6358,12,12,0.0,No,2021-06-30 21:53:31.868176
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Lecture Section 001,6147,15,15,0.0,No,2021-06-30 21:53:34.229072
Soviet and Post-Soviet Economic History | RUSSIAN 407D,Discussion Section 01D,6148,15,15,0.0,No,2021-06-30 21:53:36.622625
Research Independent Study | RUSSIAN 493,IND Section 01,6355,1,1,0.0,No,2021-06-30 21:53:39.014441
Research Independent Study | RUSSIAN 493,IND Section 02,6356,1,1,0.0,No,2021-06-30 21:53:41.347183
Research Independent Study | RUSSIAN 493,IND Section 03,6357,1,1,0.0,No,2021-06-30 21:53:43.733384
