Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Drugs and the Law | SCISOC 153FS,SEM Section 01,4986,0,18,100.0,No,2021-06-30 21:54:13.128894
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 01,7910,45,45,0.0,No,2021-06-30 21:54:15.532042
Patient and Research Participant Activism and Advocacy | SCISOC 196FS,SEM Section 01,8119,0,18,100.0,No,2021-06-30 21:54:18.029447
From Siri to Skynet: Our Complex Relationships with Technology | SCISOC 197FS,SEM Section 01,8118,1,18,94.44444444444444,No,2021-06-30 21:54:20.412744
"Performing Science: Experimentation, Collaboration, and Artistry | SCISOC 198FS",SEM Section 01,8909,1,18,94.44444444444444,No,2021-06-30 21:54:22.774115
"Risks, Rewards, Rules, and Tools: Science Law and Policy | SCISOC 199FS",SEM Section 01,8126,0,18,100.0,No,2021-06-30 21:54:25.144843
"Law, Ethics & Responsibility | SCISOC 212FS",SEM Section 01,4378,0,18,100.0,No,2021-06-30 21:54:27.523846
Science and Society | SCISOC 256,Lecture Section 01,8110,12,12,0.0,No,2021-06-30 21:54:29.948644
"Race, Genomics, and Society | SCISOC 258D",Lecture Section 001,7336,100,100,0.0,No,2021-06-30 21:54:32.335918
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 01D,7337,19,19,0.0,Yes,2021-06-30 21:54:34.721837
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 02D,7338,18,18,0.0,Yes,2021-06-30 21:54:37.169892
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 03D,7339,19,19,0.0,Yes,2021-06-30 21:54:39.505096
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 04D,7340,19,19,0.0,Yes,2021-06-30 21:54:41.869113
Topics in Science & Society | SCISOC 290,Lecture Section 02,8200,45,45,0.0,No,2021-06-30 21:54:44.215483
Research Independent Study in Science & Society | SCISOC 293,IND Section 01,1646,10,10,0.0,No,2021-06-30 21:54:46.567339
Research Independent Study in Science & Society | SCISOC 293,IND Section 02,1647,1,1,0.0,No,2021-06-30 21:54:48.925488
Research Independent Study in Science & Society | SCISOC 293,IND Section 03,1648,1,1,0.0,No,2021-06-30 21:54:51.360132
Research Independent Study in Science & Society | SCISOC 293,IND Section 04,1649,1,1,0.0,No,2021-06-30 21:54:53.713933
Research Independent Study in Science & Society | SCISOC 293,IND Section 05,1650,1,1,0.0,No,2021-06-30 21:54:56.200530
Research Independent Study in Science & Society | SCISOC 293,IND Section 06,1651,1,1,0.0,No,2021-06-30 21:54:58.549871
Research Independent Study in Science & Society | SCISOC 293,IND Section 07,1652,1,1,0.0,No,2021-06-30 21:55:00.921339
Research Independent Study in Science & Society | SCISOC 293,IND Section 08,1653,1,1,0.0,No,2021-06-30 21:55:03.265000
Research Independent Study in Science & Society | SCISOC 293,IND Section 09,1654,1,1,0.0,No,2021-06-30 21:55:05.592663
Research Independent Study in Science & Society | SCISOC 293,IND Section 10,1655,12,12,0.0,No,2021-06-30 21:55:07.962660
Research Independent Study in Science & Society | SCISOC 293,IND Section 11,8111,10,10,0.0,No,2021-06-30 21:55:10.295065
Research Independent Study in Science & Society | SCISOC 293,IND Section 12,8112,10,10,0.0,No,2021-06-30 21:55:12.725197
Research Independent Study in Science & Society | SCISOC 294,IND Section 01,1656,1,1,0.0,No,2021-06-30 21:55:15.087882
Research Independent Study in Science & Society | SCISOC 294,IND Section 02,1657,1,1,0.0,No,2021-06-30 21:55:17.543120
Research Independent Study in Science & Society | SCISOC 294,IND Section 03,1658,1,1,0.0,No,2021-06-30 21:55:19.894413
Research Independent Study in Science & Society | SCISOC 294,IND Section 04,1659,1,1,0.0,No,2021-06-30 21:55:22.228944
Research Independent Study in Science & Society | SCISOC 294,IND Section 05,1660,1,1,0.0,No,2021-06-30 21:55:24.563010
Research Independent Study in Science & Society | SCISOC 294,IND Section 06,1661,1,1,0.0,No,2021-06-30 21:55:26.893098
Research Independent Study in Science & Society | SCISOC 294,IND Section 07,1662,1,1,0.0,No,2021-06-30 21:55:29.244708
Research Independent Study in Science & Society | SCISOC 294,IND Section 08,1663,1,1,0.0,No,2021-06-30 21:55:31.559456
Research Independent Study in Science & Society | SCISOC 294,IND Section 09,1664,1,1,0.0,No,2021-06-30 21:55:33.978122
Research Independent Study in Science & Society | SCISOC 294,IND Section 10,1665,1,1,0.0,No,2021-06-30 21:55:36.307033
Research Independent Study in Science & Society | SCISOC 294,IND Section 11,8113,10,10,0.0,No,2021-06-30 21:55:38.632321
Research Independent Study in Science & Society | SCISOC 294-1,IND Section 01,8114,10,10,0.0,No,2021-06-30 21:55:40.953614
Global Narratives of Illness and Disability | SCISOC 302,Lecture Section 01,9484,30,30,0.0,No,2021-06-30 21:55:43.266852
Feast and Famine: Food in Global History | SCISOC 371,Lecture Section 01,6998,40,40,0.0,No,2021-06-30 21:55:45.596735
Genetic Engineering and Biotechnology | SCISOC 417S,SEM Section 01,5912,15,15,0.0,No,2021-06-30 21:55:48.079195
