Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
American Musicals | THEATRST 125S,SEM Section 01,8869,16,16,0.0,No,2021-06-30 21:53:28.039532
Acting | THEATRST 145S,SEM Section 01,8873,16,16,0.0,Yes,2021-06-30 21:53:30.444781
Acting | THEATRST 145S,SEM Section 02,8874,16,16,0.0,Yes,2021-06-30 21:53:32.839708
Acting | THEATRST 145S,SEM Section 03,8875,16,16,0.0,Yes,2021-06-30 21:53:35.205370
Acting | THEATRST 145S,SEM Section 04,8876,16,16,0.0,Yes,2021-06-30 21:53:37.565798
Acting | THEATRST 145S,SEM Section 05,8877,16,16,0.0,Yes,2021-06-30 21:53:39.937362
Reading Theater | THEATRST 187S,SEM Section 01,8907,16,16,0.0,No,2021-06-30 21:53:42.296843
"Performing Science: Experimentation, Collaboration, and Artistry | THEATRST 198FS",SEM Section 01,8912,1,18,94.44444444444444,No,2021-06-30 21:53:44.674670
Introduction to Performance Studies | THEATRST 202S,SEM Section 01,8902,16,16,0.0,No,2021-06-30 21:53:47.059819
Musical Theater Workshop: Performance | THEATRST 211,WRK Section 01,8884,16,16,0.0,No,2021-06-30 21:53:49.536355
Drama of Ancient Rome | THEATRST 227,Lecture Section 01,5132,30,30,0.0,No,2021-06-30 21:53:51.985690
Gender in Dance and Theatre | THEATRST 236,Lecture Section 01,5303,12,12,0.0,No,2021-06-30 21:53:54.383884
"Alexander Technique for Musicians, Dancers, and Actors | THEATRST 247",MUS Section 01,6902,12,12,0.0,No,2021-06-30 21:53:56.810395
The Art of Public Speaking: The Natural Voice | THEATRST 248S,SEM Section 01,8879,16,16,0.0,No,2021-06-30 21:53:59.222759
Directing | THEATRST 255S,SEM Section 01,8880,12,12,0.0,No,2021-06-30 21:54:01.588228
Costume Design | THEATRST 261S,SEM Section 01,8883,16,16,0.0,No,2021-06-30 21:54:04.004944
Acting For the Camera | THEATRST 275S,SEM Section 01,8887,16,16,0.0,No,2021-06-30 21:54:06.356325
Dramatic Writing | THEATRST 280S,SEM Section 01,8871,16,16,0.0,No,2021-06-30 21:54:08.727784
Ready for Prime Time: Writing the Dramatic TV Episode | THEATRST 285S,SEM Section 01,8898,16,16,0.0,No,2021-06-30 21:54:11.117253
Legal Issues for the Performing Arts | THEATRST 311S,SEM Section 01,8890,16,16,0.0,No,2021-06-30 21:54:13.564407
Shakespeare through 1600 | THEATRST 336,Lecture Section 01,7246,25,25,0.0,No,2021-06-30 21:54:15.940985
The Black Parades: African Diaspora Parade Culture and Radical Resistance | THEATRST 341S,SEM Section 01,5317,15,15,0.0,No,2021-06-30 21:54:18.317760
Advanced Acting: Contemporary Texts | THEATRST 345S,SEM Section 01,8878,16,16,0.0,No,2021-06-30 21:54:20.711720
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 01,8896,16,16,0.0,No,2021-06-30 21:54:23.096926
Mainstage Acting (Top) | THEATRST 350-1,Lecture Section 02,8897,16,16,0.0,No,2021-06-30 21:54:25.451666
History of Acting | THEATRST 402S,SEM Section 01,8908,16,16,0.0,No,2021-06-30 21:54:27.811153
