Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTHIST 89S,SEM Section 01,8939,15,15,0.0,No,2021-07-01 11:12:53.107459
First-Year Seminar | ARTHIST 89S,SEM Section 02,5127,18,18,0.0,No,2021-07-01 11:12:55.632692
The Tokyo Idea: Visualizing a Global City | ARTHIST 219,Lecture Section 01,9218,12,12,0.0,No,2021-07-01 11:12:58.211259
Medieval Castles of Europe | ARTHIST 227,Lecture Section 01,9179,14,14,0.0,No,2021-07-01 11:13:00.692762
Jerusalem | ARTHIST 230S,SEM Section 01,9226,15,15,0.0,No,2021-07-01 11:13:03.128800
History of Art Markets | ARTHIST 231,Lecture Section 01,8940,35,35,0.0,No,2021-07-01 11:13:05.603751
History of Art Markets | ARTHIST 231,Lecture Section 02,8941,35,35,0.0,No,2021-07-01 11:13:08.148253
Science Fiction Film | ARTHIST 238,Lecture Section 01,7255,20,20,0.0,No,2021-07-01 11:13:10.673323
"Women in Visual Arts, 1400-1800: Theory and History | ARTHIST 245S",SEM Section 01,9440,11,11,0.0,No,2021-07-01 11:13:13.138712
Italian Baroque Art | ARTHIST 256,Lecture Section 01,9140,12,12,0.0,No,2021-07-01 11:13:15.633417
Modern Architecture | ARTHIST 285D,Lecture Section 001,9013,15,15,0.0,No,2021-07-01 11:13:18.116374
Modern Architecture | ARTHIST 285D,Discussion Section 01D,9014,15,15,0.0,No,2021-07-01 11:13:20.582965
Independent Study | ARTHIST 291,IND Section 01,8995,3,3,0.0,No,2021-07-01 11:13:23.009045
Independent Study | ARTHIST 291,IND Section 02,8996,3,3,0.0,No,2021-07-01 11:13:25.424140
Independent Study | ARTHIST 292,IND Section 01,9005,3,3,0.0,No,2021-07-01 11:13:27.893742
Independent Study | ARTHIST 292,IND Section 02,9006,3,3,0.0,No,2021-07-01 11:13:30.375104
Research Independent Study | ARTHIST 293,IND Section 01,8993,3,3,0.0,No,2021-07-01 11:13:32.775437
Research Independent Study | ARTHIST 293,IND Section 02,8994,3,3,0.0,No,2021-07-01 11:13:35.214010
Research Independent Study | ARTHIST 294,IND Section 01,9003,3,3,0.0,No,2021-07-01 11:13:37.570088
Research Independent Study | ARTHIST 294,IND Section 02,9004,3,3,0.0,No,2021-07-01 11:13:39.934906
Museum Practicum I | ARTHIST 310,FLD Section 01,8973,10,10,0.0,No,2021-07-01 11:13:42.327774
Museum Practicum II | ARTHIST 311,FLD Section 01,9083,10,10,0.0,No,2021-07-01 11:13:44.752208
Mapping History with Geographic Information Systems | ARTHIST 315,Lecture Section 01,7424,10,10,0.0,No,2021-07-01 11:13:47.130854
African Art: From Royal Court to Contemporary Marketplace | ARTHIST 345,Lecture Section 01,9169,18,18,0.0,No,2021-07-01 11:13:49.501142
The Black Atlantic | ARTHIST 383,Lecture Section 01,8947,18,18,0.0,No,2021-07-01 11:13:51.950191
Special Topics in Art History | ARTHIST 390S,SEM Section 01,9017,10,10,0.0,No,2021-07-01 11:13:54.316108
Special Topics in Art History | ARTHIST 390S,SEM Section 02,4944,18,18,0.0,No,2021-07-01 11:13:56.749105
Independent Study | ARTHIST 391,IND Section 01,9152,3,3,0.0,No,2021-07-01 11:13:59.114300
Independent Study | ARTHIST 391,IND Section 02,9153,3,3,0.0,No,2021-07-01 11:14:01.563669
Independent Study | ARTHIST 391,IND Section 03,9154,3,3,0.0,No,2021-07-01 11:14:04.149584
Independent Study | ARTHIST 392,IND Section 01,9155,3,3,0.0,No,2021-07-01 11:14:06.907138
Independent Study | ARTHIST 392,IND Section 02,9156,3,3,0.0,No,2021-07-01 11:14:09.639861
Independent Study | ARTHIST 392,IND Section 03,9157,3,3,0.0,No,2021-07-01 11:14:12.165854
Research Independent Study | ARTHIST 393,IND Section 01,9159,3,3,0.0,No,2021-07-01 11:14:14.614851
Research Independent Study | ARTHIST 393,IND Section 02,9160,3,3,0.0,No,2021-07-01 11:14:16.999394
Research Independent Study | ARTHIST 393,IND Section 03,9161,3,3,0.0,No,2021-07-01 11:14:19.469767
Research Independent Study | ARTHIST 394,IND Section 01,9162,3,3,0.0,No,2021-07-01 11:14:21.900069
Research Independent Study | ARTHIST 394,IND Section 02,9163,3,3,0.0,No,2021-07-01 11:14:24.378517
Research Independent Study | ARTHIST 394,IND Section 03,9164,3,3,0.0,No,2021-07-01 11:14:26.822190
Curatorial Practicum: Exhibition Development and Design | ARTHIST 455S,SEM Section 01,9121,5,5,0.0,No,2021-07-01 11:14:29.216619
Independent Study | ARTHIST 491,IND Section 01,9000,3,3,0.0,No,2021-07-01 11:14:31.627281
Independent Study | ARTHIST 491,IND Section 02,9001,3,3,0.0,No,2021-07-01 11:14:34.034697
Independent Study | ARTHIST 491,IND Section 03,9002,3,3,0.0,No,2021-07-01 11:14:36.433960
Independent Study | ARTHIST 492,IND Section 01,9010,3,3,0.0,No,2021-07-01 11:14:39.030812
Independent Study | ARTHIST 492,IND Section 02,9011,3,3,0.0,No,2021-07-01 11:14:41.422544
Independent Study | ARTHIST 492,IND Section 03,9012,3,3,0.0,No,2021-07-01 11:14:43.819930
Research Independent Study | ARTHIST 493,IND Section 01,8997,3,3,0.0,No,2021-07-01 11:14:46.221360
Research Independent Study | ARTHIST 493,IND Section 02,8998,3,3,0.0,No,2021-07-01 11:14:48.650389
Research Independent Study | ARTHIST 493,IND Section 03,8999,3,3,0.0,No,2021-07-01 11:14:51.064392
Research Independent Study | ARTHIST 494,IND Section 01,9007,3,3,0.0,No,2021-07-01 11:14:53.436623
Research Independent Study | ARTHIST 494,IND Section 02,9008,3,3,0.0,No,2021-07-01 11:14:55.885116
Research Independent Study | ARTHIST 494,IND Section 03,9009,3,3,0.0,No,2021-07-01 11:14:58.238820
