Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Biomaterials | BME 221L,Lecture Section 001,6267,32,32,0.0,No,2021-07-01 11:12:52.019255
Biomaterials | BME 221L,Laboratory Section 01L,6268,16,16,0.0,No,2021-07-01 11:12:54.467378
Biomaterials | BME 221L,Laboratory Section 02L,6269,16,16,0.0,No,2021-07-01 11:12:56.872430
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 001,6216,45,45,0.0,No,2021-07-01 11:12:59.342689
Quantitative Physiology with Biostatistical Applications | BME 244L,Lecture Section 002,6217,45,45,0.0,No,2021-07-01 11:13:01.790005
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 01L,6218,20,20,0.0,No,2021-07-01 11:13:04.225345
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 02L,6219,20,20,0.0,No,2021-07-01 11:13:06.687818
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 03L,6220,20,20,0.0,No,2021-07-01 11:13:09.138453
Quantitative Physiology with Biostatistical Applications | BME 244L9,Laboratory Section 04L,6221,20,20,0.0,No,2021-07-01 11:13:11.650479
Modeling Cellular and Molecular Systems | BME 260L,Lecture Section 001,6201,36,36,0.0,No,2021-07-01 11:13:14.282702
Modeling Cellular and Molecular Systems | BME 260L,Laboratory Section 01L,6202,36,36,0.0,No,2021-07-01 11:13:16.792602
Signals and Systems | BME 271D,Lecture Section 001,6157,50,50,0.0,No,2021-07-01 11:13:19.212678
Signals and Systems | BME 271D,Discussion Section 01D,6158,25,25,0.0,No,2021-07-01 11:13:21.665628
Signals and Systems | BME 271D,Discussion Section 02D,6159,25,25,0.0,No,2021-07-01 11:13:24.235852
Intermediate Topics with Lab (GE) | BME 290L,Lecture Section 001,6245,10,10,0.0,No,2021-07-01 11:13:26.676171
Intermediate Topics with Lab (GE) | BME 290L,Laboratory Section 01L,6246,10,10,0.0,No,2021-07-01 11:13:29.086250
Bioelectricity (AC or GE) | BME 301L,Lecture Section 001,6170,20,20,0.0,No,2021-07-01 11:13:31.476247
Bioelectricity (AC or GE) | BME 301L,Laboratory Section 01L,6171,20,20,0.0,No,2021-07-01 11:13:33.919050
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Lecture Section 001,6181,15,15,0.0,No,2021-07-01 11:13:36.306415
Modern Diagnostic Imaging Systems (AC or GE) | BME 303L,Laboratory Section 01L,6182,15,15,0.0,No,2021-07-01 11:13:38.680289
"Transport Phenomena in Biological Systems (AC or GE, BB) | BME 307",Lecture Section 01,6175,25,25,0.0,No,2021-07-01 11:13:41.029974
Introduction to Medical Instrumentation | BME 354L,Lecture Section 001,6203,24,24,0.0,No,2021-07-01 11:13:43.368818
Introduction to Medical Instrumentation | BME 354L,Laboratory Section 01L,6204,24,24,0.0,No,2021-07-01 11:13:45.752240
Projects in Biomedical Engineering (GE) | BME 394,IND Section 01,6196,1,1,0.0,No,2021-07-01 11:13:48.077128
Projects in Biomedical Engineering (GE) | BME 394,IND Section 02,6197,1,1,0.0,No,2021-07-01 11:13:50.404356
Projects in Biomedical Engineering (GE) | BME 394,IND Section 03,6198,1,1,0.0,No,2021-07-01 11:13:52.727009
Projects in Biomedical Engineering (GE) | BME 394,IND Section 04,6199,1,1,0.0,No,2021-07-01 11:13:55.093953
Projects in Biomedical Engineering (GE) | BME 394,IND Section 05,6200,1,1,0.0,No,2021-07-01 11:13:57.405617
Biomechanics and Vehicle Safety Engineering (DR) | BME 432L,Lecture Section 001,6222,15,15,0.0,No,2021-07-01 11:13:59.738919
Biomechanics and Vehicle Safety Engineering (DR) | BME 432L,Laboratory Section 01L,6223,15,15,0.0,No,2021-07-01 11:14:02.213435
Medical Device Design I | BME 473L,Lecture Section 001,6263,16,16,0.0,No,2021-07-01 11:14:04.848756
Medical Device Design I | BME 473L,Laboratory Section 01L,6264,16,16,0.0,No,2021-07-01 11:14:08.008716
Medical Device Design II | BME 474L,Lecture Section 001,6265,24,24,0.0,No,2021-07-01 11:14:10.529629
Medical Device Design II | BME 474L,Laboratory Section 01L,6266,24,24,0.0,No,2021-07-01 11:14:13.141343
Projects in Biomedical Engineering (GE) | BME 493,IND Section 01,6160,1,1,0.0,No,2021-07-01 11:14:15.713369
