Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 01,1478,18,18,0.0,No,2021-07-01 17:34:42.784485
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 02,1482,18,18,0.0,No,2021-07-01 17:34:45.414632
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 03,1483,18,18,0.0,No,2021-07-01 17:34:47.946400
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 04,1484,18,18,0.0,No,2021-07-01 17:34:50.379852
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 05,1485,18,18,0.0,No,2021-07-01 17:34:52.900354
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 06,1486,18,18,0.0,No,2021-07-01 17:34:55.367051
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 07,5319,18,18,0.0,No,2021-07-01 17:34:57.772717
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 08,1487,18,18,0.0,No,2021-07-01 17:35:00.238059
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 09,1488,18,18,0.0,No,2021-07-01 17:35:02.684873
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 10,1489,18,18,0.0,No,2021-07-01 17:35:05.078648
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 11,1490,18,18,0.0,No,2021-07-01 17:35:07.476672
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 12,1600,18,18,0.0,No,2021-07-01 17:35:09.849312
Bass Connections in Brain and Society: Interdisciplinary Team Projects | BRAINSOC 395,IND Section 13,5318,18,18,0.0,No,2021-07-01 17:35:12.192918
