Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Independent Study in Civil and Environmental Engineering | CEE 291,IND Section 01,7216,1,1,0.0,No,2021-07-01 17:39:20.304543
Independent Study in Civil and Environmental Engineering | CEE 291,IND Section 02,7217,1,1,0.0,No,2021-07-01 17:39:22.724878
Research Independent Study in Civil and Environmental Engineering | CEE 293,IND Section 01,7209,1,1,0.0,No,2021-07-01 17:39:25.236136
Research Independent Study in Civil and Environmental Engineering | CEE 293,IND Section 02,7210,1,1,0.0,No,2021-07-01 17:39:27.637769
Fluid Mechanics | CEE 301L,Lecture Section 001,7170,10,10,0.0,No,2021-07-01 17:39:30.168603
Fluid Mechanics | CEE 301L,Laboratory Section 01L,7171,5,5,0.0,No,2021-07-01 17:39:32.651453
Fluid Mechanics | CEE 301L,Laboratory Section 02L,7172,5,5,0.0,No,2021-07-01 17:39:35.111011
Architectural Engineering I | CEE 311,Lecture Section 01,7181,20,20,0.0,No,2021-07-01 17:39:37.541917
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 01,7211,1,1,0.0,No,2021-07-01 17:39:40.025089
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 02,7212,1,1,0.0,No,2021-07-01 17:39:42.692216
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 03,7213,1,1,0.0,No,2021-07-01 17:39:45.252181
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 04,7214,1,1,0.0,No,2021-07-01 17:39:47.669271
Research Independent Study in Civil and Environmental Engineering | CEE 393,IND Section 05,7215,1,1,0.0,No,2021-07-01 17:39:50.083445
Matrix Structural Analysis | CEE 421L,Lecture Section 001,7175,20,20,0.0,No,2021-07-01 17:39:52.417900
Matrix Structural Analysis | CEE 421L,Laboratory Section 01L,7176,20,20,0.0,No,2021-07-01 17:39:54.840078
Metallic Structures | CEE 423L,Lecture Section 001,7177,15,15,0.0,No,2021-07-01 17:39:57.179893
Metallic Structures | CEE 423L,Laboratory Section 01L,7178,5,5,0.0,No,2021-07-01 17:39:59.554879
Metallic Structures | CEE 423L,Laboratory Section 02L,7179,5,5,0.0,No,2021-07-01 17:40:01.894798
Metallic Structures | CEE 423L,Laboratory Section 03L,7180,5,5,0.0,No,2021-07-01 17:40:04.228502
Environmental Aquatic Chemistry | CEE 461L,Lecture Section 001,7167,20,20,0.0,No,2021-07-01 17:40:06.618958
Environmental Aquatic Chemistry | CEE 461L,Laboratory Section 01L,7168,10,10,0.0,No,2021-07-01 17:40:09.010454
Environmental Aquatic Chemistry | CEE 461L,Laboratory Section 02L,7169,10,10,0.0,No,2021-07-01 17:40:11.340238
Water Resources Engineering | CEE 463L,Lecture Section 001,7173,15,15,0.0,No,2021-07-01 17:40:13.706665
Water Resources Engineering | CEE 463L,Laboratory Section 01L,7174,15,15,0.0,No,2021-07-01 17:40:16.087821
Independent Study in Civil and Environmental Engineering | CEE 491,IND Section 01,7182,1,1,0.0,No,2021-07-01 17:40:18.514244
Independent Study in Civil and Environmental Engineering | CEE 491,IND Section 02,7183,1,1,0.0,No,2021-07-01 17:40:20.903370
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 01,7194,1,1,0.0,No,2021-07-01 17:40:23.389348
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 02,7195,1,1,0.0,No,2021-07-01 17:40:25.768955
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 03,7196,1,1,0.0,No,2021-07-01 17:40:28.177201
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 04,7197,1,1,0.0,No,2021-07-01 17:40:30.689297
Research Independent Study in Civil and Environmental Engineering | CEE 493,IND Section 05,7198,1,1,0.0,No,2021-07-01 17:40:33.104516
