Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | CELLBIO 493,IND Section 01,4266,1,1,0.0,No,2021-07-01 17:40:52.030509
Research Independent Study | CELLBIO 493,IND Section 02,4267,1,1,0.0,No,2021-07-01 17:40:54.384974
Research Independent Study | CELLBIO 493,IND Section 03,4268,1,1,0.0,No,2021-07-01 17:40:56.819296
Research Independent Study | CELLBIO 493,IND Section 04,4269,1,1,0.0,No,2021-07-01 17:40:59.160781
Research Independent Study | CELLBIO 493,IND Section 05,4270,1,1,0.0,No,2021-07-01 17:41:01.505971
Research Independent Study | CELLBIO 493,IND Section 06,4271,1,1,0.0,No,2021-07-01 17:41:03.845909
Research Independent Study | CELLBIO 493,IND Section 07,4272,1,1,0.0,No,2021-07-01 17:41:06.198799
Research Independent Study | CELLBIO 493,IND Section 08,4273,1,1,0.0,No,2021-07-01 17:41:08.549321
Research Independent Study | CELLBIO 493,IND Section 09,4274,1,1,0.0,No,2021-07-01 17:41:10.922308
Research Independent Study | CELLBIO 493,IND Section 10,4275,1,1,0.0,No,2021-07-01 17:41:13.278513
Research Independent Study | CELLBIO 493,IND Section 11,4276,1,1,0.0,No,2021-07-01 17:41:15.615554
Research Independent Study | CELLBIO 493,IND Section 12,4277,1,1,0.0,No,2021-07-01 17:41:17.984016
Research Independent Study | CELLBIO 493,IND Section 13,4278,1,1,0.0,No,2021-07-01 17:41:20.507418
Research Independent Study | CELLBIO 493,IND Section 14,4279,1,1,0.0,No,2021-07-01 17:41:23.090788
Research Independent Study | CELLBIO 493,IND Section 15,4280,1,1,0.0,No,2021-07-01 17:41:25.806890
Research Independent Study | CELLBIO 493,IND Section 16,4281,1,1,0.0,No,2021-07-01 17:41:28.210895
Research Independent Study | CELLBIO 493,IND Section 17,4282,1,1,0.0,No,2021-07-01 17:41:30.592303
Research Independent Study | CELLBIO 493,IND Section 18,4283,1,1,0.0,No,2021-07-01 17:41:33.041701
Research Independent Study | CELLBIO 493,IND Section 19,4284,1,1,0.0,No,2021-07-01 17:41:35.445421
Research Independent Study | CELLBIO 493,IND Section 20,4285,1,1,0.0,No,2021-07-01 17:41:37.871385
Research Independent Study | CELLBIO 493,IND Section 21,4286,1,1,0.0,No,2021-07-01 17:41:40.382318
Research Independent Study | CELLBIO 493,IND Section 22,4287,1,1,0.0,No,2021-07-01 17:41:42.743700
Research Independent Study | CELLBIO 493,IND Section 23,4288,1,1,0.0,No,2021-07-01 17:41:45.124725
Research Independent Study | CELLBIO 493,IND Section 24,4289,1,1,0.0,No,2021-07-01 17:41:47.530209
Research Independent Study | CELLBIO 493,IND Section 25,4290,1,1,0.0,No,2021-07-01 17:41:49.883281
Research Independent Study | CELLBIO 493,IND Section 26,4291,1,1,0.0,No,2021-07-01 17:41:52.286122
Research Independent Study | CELLBIO 493,IND Section 27,4292,1,1,0.0,No,2021-07-01 17:41:54.631073
