Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"History of Computing, Cryptography, and Robotic Devices | COMPSCI 93",Lecture Section 001,5278,45,45,0.0,No,2021-07-01 17:36:17.300036
"History of Computing, Cryptography, and Robotic Devices | COMPSCI 93",Discussion Section 01D,9714,45,45,0.0,No,2021-07-01 17:36:19.795212
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,5169,40,40,0.0,No,2021-07-01 17:36:22.759225
Programming and Problem Solving | COMPSCI 94FS,Lecture Section 01,5275,1,18,94.44444444444444,No,2021-07-01 17:36:25.401584
Introduction to Computer Science | COMPSCI 101L,Lecture Section 001,5223,225,225,0.0,No,2021-07-01 17:36:27.786441
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 01L,5224,24,24,0.0,No,2021-07-01 17:36:30.327199
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 02L,5225,26,26,0.0,No,2021-07-01 17:36:32.771448
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 03L,5226,24,24,0.0,No,2021-07-01 17:36:35.172543
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 04L,5227,24,24,0.0,No,2021-07-01 17:36:37.616545
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 05L,5228,26,26,0.0,No,2021-07-01 17:36:39.970229
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 06L,5229,26,26,0.0,No,2021-07-01 17:36:42.377877
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 07L,5230,24,24,0.0,No,2021-07-01 17:36:44.822922
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 08L,5231,24,24,0.0,No,2021-07-01 17:36:47.201367
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 09L,5232,26,26,0.0,No,2021-07-01 17:36:49.583225
"Information, Society & Culture: Bass Connections Gateway | COMPSCI 110",Lecture Section 01,7420,40,40,0.0,No,2021-07-01 17:36:51.953391
Introduction to Digital Feminism | COMPSCI 112S,SEM Section 01,4966,18,18,0.0,No,2021-07-01 17:36:54.368782
Foundations of Data Science | COMPSCI 116,Lecture Section 01,5272,40,40,0.0,No,2021-07-01 17:36:56.787344
Data Structures and Algorithms | COMPSCI 201,Lecture Section 001,5170,325,325,0.0,No,2021-07-01 17:36:59.203487
Data Structures and Algorithms | COMPSCI 201,Lecture Section 002,5171,225,225,0.0,No,2021-07-01 17:37:01.671250
Data Structures and Algorithms | COMPSCI 201,Discussion Section 01D,5172,25,25,0.0,No,2021-07-01 17:37:04.117244
Data Structures and Algorithms | COMPSCI 201,Discussion Section 02D,5173,26,26,0.0,No,2021-07-01 17:37:06.503913
Data Structures and Algorithms | COMPSCI 201,Discussion Section 03D,5174,26,26,0.0,No,2021-07-01 17:37:08.942689
Data Structures and Algorithms | COMPSCI 201,Discussion Section 04D,5175,26,26,0.0,No,2021-07-01 17:37:11.566000
Data Structures and Algorithms | COMPSCI 201,Discussion Section 05D,5176,24,24,0.0,No,2021-07-01 17:37:13.960421
Data Structures and Algorithms | COMPSCI 201,Discussion Section 06D,5177,26,26,0.0,No,2021-07-01 17:37:16.351731
Data Structures and Algorithms | COMPSCI 201,Discussion Section 07D,5178,24,24,0.0,No,2021-07-01 17:37:18.736843
Data Structures and Algorithms | COMPSCI 201,Discussion Section 08D,5179,26,26,0.0,No,2021-07-01 17:37:21.112753
Data Structures and Algorithms | COMPSCI 201,Discussion Section 09D,5180,26,26,0.0,No,2021-07-01 17:37:23.516064
