Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Dance | DANCE 101,Lecture Section 01,5297,12,12,0.0,No,2021-07-01 11:16:37.152002
Elementary Modern Dance | DANCE 110,STU Section 01,5289,10,10,0.0,No,2021-07-01 11:16:39.630790
"Alexander Technique for Musicians, Dancers, and Actors | DANCE 116",MUS Section 01,6901,12,12,0.0,No,2021-07-01 11:16:42.098034
Beginning Ballet | DANCE 120,STU Section 01,5306,10,10,0.0,No,2021-07-01 11:16:44.559651
Intermediate Ballet | DANCE 122,STU Section 01,5293,10,10,0.0,No,2021-07-01 11:16:46.986892
African Dance Technique I | DANCE 130,STU Section 01,5296,10,10,0.0,No,2021-07-01 11:16:49.440143
Capoeira: Brazilian Dance/Martial Art | DANCE 131,STU Section 01,5300,6,6,0.0,No,2021-07-01 11:16:51.844350
Jazz Dance I | DANCE 140,STU Section 01,5292,20,20,0.0,No,2021-07-01 11:16:54.247468
Hip Hop I | DANCE 142,STU Section 01,5305,6,6,0.0,No,2021-07-01 11:16:56.580225
Dance Improvisation | DANCE 152,STU Section 01,5307,6,6,0.0,No,2021-07-01 11:16:58.933974
Intermediate Modern Dance | DANCE 210,STU Section 01,5290,10,10,0.0,No,2021-07-01 11:17:01.267954
Musical Theater Workshop: Performance | DANCE 211,WRK Section 01,8886,16,16,0.0,No,2021-07-01 11:17:03.630654
Jazz Dance II | DANCE 240,STU Section 01,5294,20,20,0.0,No,2021-07-01 11:17:05.941555
Individual Dance Program: Special Topics | DANCE 280,TUT Section 01,10069,5,5,0.0,No,2021-07-01 11:17:08.343058
Individual Dance Program: Special Topics | DANCE 280,TUT Section 02,10070,5,5,0.0,No,2021-07-01 11:17:10.722669
Individual Dance Program: Special Topics | DANCE 280,TUT Section 03,10071,5,5,0.0,No,2021-07-01 11:17:13.115746
Individual Dance Program: Special Topics | DANCE 280,TUT Section 04,10072,5,5,0.0,No,2021-07-01 11:17:15.473356
Individual Dance Program: Special Topics | DANCE 280,TUT Section 05,10073,5,5,0.0,No,2021-07-01 11:17:17.841869
Individual Dance Program: Special Topics | DANCE 280,TUT Section 06,10074,5,5,0.0,No,2021-07-01 11:17:20.242235
Individual Dance Program: Special Topics | DANCE 280,TUT Section 07,10075,5,5,0.0,No,2021-07-01 11:17:22.617504
Individual Dance Program: Special Topics | DANCE 280,TUT Section 08,10076,5,5,0.0,No,2021-07-01 11:17:25.031565
Individual Dance Program: Special Topics | DANCE 280,TUT Section 09,10077,5,5,0.0,No,2021-07-01 11:17:27.439456
Individual Dance Program: Special Topics | DANCE 280,TUT Section 10,10078,5,5,0.0,No,2021-07-01 11:17:29.846988
Advanced Modern Dance | DANCE 310,STU Section 01,5291,15,15,0.0,No,2021-07-01 11:17:32.191182
Advanced Ballet | DANCE 320,STU Section 01,5295,15,15,0.0,No,2021-07-01 11:17:34.533910
The Black Parades: African Diaspora Parade Culture and Radical Resistance | DANCE 325S,SEM Section 01,5315,15,15,0.0,No,2021-07-01 11:17:36.908866
,Lecture Section 01,5301,12,12,0.0,No,2021-07-01 11:17:39.112238
,SEM Section 01,8893,16,16,0.0,No,2021-07-01 11:17:41.413678
,STU Section 01,5299,10,10,0.0,No,2021-07-01 11:17:43.671126
Introduction to Dance | DANCE 101,Lecture Section 01,5297,12,12,0.0,No,2021-07-01 17:36:09.250662
Elementary Modern Dance | DANCE 110,STU Section 01,5289,10,10,0.0,No,2021-07-01 17:36:11.661259
"Alexander Technique for Musicians, Dancers, and Actors | DANCE 116",MUS Section 01,6901,12,12,0.0,No,2021-07-01 17:36:14.006173
Beginning Ballet | DANCE 120,STU Section 01,5306,10,10,0.0,No,2021-07-01 17:36:16.433379
Intermediate Ballet | DANCE 122,STU Section 01,5293,10,10,0.0,No,2021-07-01 17:36:18.818753
African Dance Technique I | DANCE 130,STU Section 01,5296,10,10,0.0,No,2021-07-01 17:36:21.340741
Capoeira: Brazilian Dance/Martial Art | DANCE 131,STU Section 01,5300,6,6,0.0,No,2021-07-01 17:36:23.958678
Jazz Dance I | DANCE 140,STU Section 01,5292,20,20,0.0,No,2021-07-01 17:36:26.430559
Hip Hop I | DANCE 142,STU Section 01,5305,6,6,0.0,No,2021-07-01 17:36:28.870470
Dance Improvisation | DANCE 152,STU Section 01,5307,6,6,0.0,No,2021-07-01 17:36:31.408571
Intermediate Modern Dance | DANCE 210,STU Section 01,5290,10,10,0.0,No,2021-07-01 17:36:34.108631
Musical Theater Workshop: Performance | DANCE 211,WRK Section 01,8886,16,16,0.0,No,2021-07-01 17:36:36.614655
Jazz Dance II | DANCE 240,STU Section 01,5294,20,20,0.0,No,2021-07-01 17:36:39.034244
Individual Dance Program: Special Topics | DANCE 280,TUT Section 01,10069,5,5,0.0,No,2021-07-01 17:36:41.564869
Individual Dance Program: Special Topics | DANCE 280,TUT Section 02,10070,5,5,0.0,No,2021-07-01 17:36:44.010788
Individual Dance Program: Special Topics | DANCE 280,TUT Section 03,10071,5,5,0.0,No,2021-07-01 17:36:46.447016
Individual Dance Program: Special Topics | DANCE 280,TUT Section 04,10072,5,5,0.0,No,2021-07-01 17:36:48.893745
Individual Dance Program: Special Topics | DANCE 280,TUT Section 05,10073,5,5,0.0,No,2021-07-01 17:36:51.384040
Individual Dance Program: Special Topics | DANCE 280,TUT Section 06,10074,5,5,0.0,No,2021-07-01 17:36:53.864807
Individual Dance Program: Special Topics | DANCE 280,TUT Section 07,10075,5,5,0.0,No,2021-07-01 17:36:56.354034
Individual Dance Program: Special Topics | DANCE 280,TUT Section 08,10076,5,5,0.0,No,2021-07-01 17:36:58.743727
Individual Dance Program: Special Topics | DANCE 280,TUT Section 09,10077,5,5,0.0,No,2021-07-01 17:37:01.131573
Individual Dance Program: Special Topics | DANCE 280,TUT Section 10,10078,5,5,0.0,No,2021-07-01 17:37:03.562611
Advanced Modern Dance | DANCE 310,STU Section 01,5291,15,15,0.0,No,2021-07-01 17:37:05.902250
Advanced Ballet | DANCE 320,STU Section 01,5295,15,15,0.0,No,2021-07-01 17:37:08.215540
The Black Parades: African Diaspora Parade Culture and Radical Resistance | DANCE 325S,SEM Section 01,5315,15,15,0.0,No,2021-07-01 17:37:10.593578
