Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | EDUC 89S,SEM Section 01,6916,18,18,0.0,No,2021-07-01 11:12:52.943980
First-Year Seminar | EDUC 89S,SEM Section 02,8704,15,15,0.0,No,2021-07-01 11:12:55.411293
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 01,6917,30,30,0.0,No,2021-07-01 11:12:57.992137
Social and Philosophical Foundations of Education | EDUC 101,Lecture Section 02,6918,30,30,0.0,No,2021-07-01 11:13:00.365157
Pursuit of Equality: Rethinking Schools - Lens of Social Justice | EDUC 111FS,SEM Section 01,6942,2,18,88.88888888888889,No,2021-07-01 11:13:02.705970
Critical Race Theory in Education | EDUC 118FS,SEM Section 01,6952,1,18,94.44444444444444,No,2021-07-01 11:13:05.082820
Introduction to Engaged Citizenship and Social Change (Gateway Course) | EDUC 201,Lecture Section 01,7313,30,30,0.0,No,2021-07-01 11:13:07.494115
"Digital Documentary Photography: Education, Childhood, and Growth | EDUC 209FS",SEM Section 01,6685,1,18,94.44444444444444,No,2021-07-01 11:13:09.927180
"Digital Documentary Photography: Education, Childhood, and Growth | EDUC 209S",SEM Section 01,6664,15,15,0.0,No,2021-07-01 11:13:12.376913
Educational Psychology | EDUC 240,Lecture Section 01,6920,30,30,0.0,No,2021-07-01 11:13:14.911424
Educational Psychology | EDUC 240,Lecture Section 02,6921,30,30,0.0,No,2021-07-01 11:13:17.442126
"Children, Schools, and Society | EDUC 243S",SEM Section 01,6928,18,18,0.0,No,2021-07-01 11:13:19.855590
Children's Self Expression: Literacy Through Photography | EDUC 244S,SEM Section 01,6640,15,15,0.0,No,2021-07-01 11:13:22.271773
"Literacy, Writing, Tutoring | EDUC 255S",SEM Section 01,4672,15,15,0.0,No,2021-07-01 11:13:24.735098
Overlooked Children: Topics of Equity and Access in Gifted Education | EDUC 272S,SEM Section 01,6950,18,18,0.0,No,2021-07-01 11:13:27.142571
Leadership and the Changing Landscape of Health Care | EDUC 275S,SEM Section 01,6946,18,18,0.0,No,2021-07-01 11:13:29.534747
"Learning Outcomes Assessment: Understanding and Using Evidence to Guide Teaching, Learning, & Policy | EDUC 289S",SEM Section 01,6948,12,12,0.0,No,2021-07-01 11:13:32.001374
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 01,6930,18,18,0.0,No,2021-07-01 11:13:34.488665
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 02,6931,10,10,0.0,No,2021-07-01 11:13:36.831433
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 03,6932,10,10,0.0,No,2021-07-01 11:13:39.204484
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 04,6933,10,10,0.0,No,2021-07-01 11:13:41.565290
Freshman-Sophomore Tutorials (TOP) | EDUC 290T,TUT Section 05,6934,10,10,0.0,No,2021-07-01 11:13:43.925225
Asians in American Higher Education: Trends and Issues | EDUC 345S,SEM Section 01,6944,18,18,0.0,No,2021-07-01 11:13:46.311204
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 01,1976,10,10,0.0,No,2021-07-01 11:13:48.664856
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 02,1977,10,10,0.0,No,2021-07-01 11:13:51.027321
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 03,1978,10,10,0.0,No,2021-07-01 11:13:53.383729
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 04,1979,10,10,0.0,No,2021-07-01 11:13:55.732225
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 05,1980,10,10,0.0,No,2021-07-01 11:13:58.073323
Independent Study | EDUC 391,IND Section 01,1968,3,3,0.0,No,2021-07-01 11:14:00.463197
Independent Study | EDUC 391,IND Section 02,1969,3,3,0.0,No,2021-07-01 11:14:02.893496
Independent Study | EDUC 391,IND Section 03,1970,3,3,0.0,No,2021-07-01 11:14:05.621306
Independent Study | EDUC 391,IND Section 04,1971,3,3,0.0,No,2021-07-01 11:14:08.522605
Independent Study | EDUC 391,IND Section 05,1972,3,3,0.0,No,2021-07-01 11:14:11.016259
Independent Study | EDUC 391,IND Section 06,1973,3,3,0.0,No,2021-07-01 11:14:13.552870
Independent Study | EDUC 391,IND Section 07,1974,3,3,0.0,No,2021-07-01 11:14:16.132610
Independent Study | EDUC 391,IND Section 08,1975,3,3,0.0,No,2021-07-01 11:14:18.798554
Research Independent Study | EDUC 393,IND Section 01,1759,3,3,0.0,No,2021-07-01 11:14:21.299474
Research Independent Study | EDUC 393,IND Section 02,1760,3,3,0.0,No,2021-07-01 11:14:23.727711
Research Independent Study | EDUC 393,IND Section 03,1761,3,3,0.0,No,2021-07-01 11:14:26.133681
Research Independent Study | EDUC 393,IND Section 04,1762,3,3,0.0,No,2021-07-01 11:14:28.501332
Research Independent Study | EDUC 393,IND Section 05,1763,3,3,0.0,No,2021-07-01 11:14:30.839503
Research Independent Study | EDUC 393,IND Section 06,1764,3,3,0.0,No,2021-07-01 11:14:33.213978
Research Independent Study | EDUC 393,IND Section 07,1765,3,3,0.0,No,2021-07-01 11:14:35.682660
Research Independent Study | EDUC 393,IND Section 08,1766,3,3,0.0,No,2021-07-01 11:14:38.096329
Teaching Practices in Elementary Mathematics and Science | EDUC 407S,SEM Section 01,6935,18,18,0.0,No,2021-07-01 11:14:40.450018
Teaching Practices in Elementary Language Arts and Social Studies | EDUC 408S,SEM Section 01,6919,18,18,0.0,No,2021-07-01 11:14:42.781095
Elementary Education: Practicum | EDUC 420,PRA Section 01,9644,18,18,0.0,No,2021-07-01 11:14:45.103242
"What's Next: Women, Leadership, Purpose | EDUC 430S",SEM Section 01,6924,18,18,0.0,No,2021-07-01 11:14:47.439041
Teaching Practices in Secondary Education | EDUC 495,Lecture Section 01,6939,18,18,0.0,No,2021-07-01 11:14:49.866166
Secondary Education: Practicum | EDUC 498,PRA Section 01,9645,18,18,0.0,No,2021-07-01 11:14:52.210277
