Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 01,7600,18,18,0.0,No,2021-07-01 11:13:14.971190
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 02,7297,18,18,0.0,No,2021-07-01 11:13:17.556332
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 03,7298,18,18,0.0,No,2021-07-01 11:13:20.070281
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 04,7299,18,18,0.0,No,2021-07-01 11:13:22.552503
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 05,7300,18,18,0.0,No,2021-07-01 11:13:25.061355
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 06,6949,18,18,0.0,No,2021-07-01 11:13:27.521991
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 07,4877,15,15,0.0,No,2021-07-01 11:13:29.923195
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 08,8196,18,18,0.0,No,2021-07-01 11:13:32.408140
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 09,8205,14,14,0.0,No,2021-07-01 11:13:34.806559
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 10,8706,15,15,0.0,No,2021-07-01 11:13:37.205335
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 11,10068,12,12,0.0,No,2021-07-01 11:13:39.650043
Special Topic: First-Year Seminar in Ethics | ETHICS 89S,SEM Section 12,10341,18,18,0.0,No,2021-07-01 11:13:42.041699
The Challenges of Living an Ethical Life | ETHICS 101,Lecture Section 01,7306,40,40,0.0,No,2021-07-01 11:13:44.489324
Human Rights and World Politics | ETHICS 129FS,SEM Section 01,7284,0,18,100.0,No,2021-07-01 11:13:46.881450
Globalization and Corporate Citizenship | ETHICS 160FS,SEM Section 01,7293,0,18,100.0,No,2021-07-01 11:13:49.320597
Liberty and Equality: Ancient and Modern Perspectives | ETHICS 170FS,SEM Section 01,5149,0,18,100.0,No,2021-07-01 11:13:51.700204
"What Now? The Duke Guide to Happiness, Purpose, and Well-Being | ETHICS 189",WRK Section 01,7308,180,180,0.0,No,2021-07-01 11:13:54.035233
"What Now? The Duke Guide to Happiness, Purpose, and Well-Being | ETHICS 189",WRK Section 02,9860,180,180,0.0,No,2021-07-01 11:13:56.375990
Special Topics in Ethics (Focus Program) | ETHICS 190FS,SEM Section 01,7288,0,18,100.0,No,2021-07-01 11:13:58.707216
"Refugees, Rights, and Resettlement | ETHICS 199FS",SEM Section 01,8785,0,18,100.0,No,2021-07-01 11:14:01.107539
Introduction to Engaged Citizenship and Social Change (Gateway Course) | ETHICS 201,Lecture Section 01,7317,30,30,0.0,No,2021-07-01 11:14:03.573531
Resettling Refugees in Durham | ETHICS 215,WRK Section 01,7301,16,16,0.0,No,2021-07-01 11:14:06.174673
Resettling Refugees in Durham | ETHICS 215,WRK Section 02,7302,18,18,0.0,No,2021-07-01 11:14:08.880347
Resettling Refugees in Durham | ETHICS 215,WRK Section 03,7303,18,18,0.0,No,2021-07-01 11:14:11.403234
Resettling Refugees in Durham | ETHICS 215,WRK Section 04,7304,18,18,0.0,No,2021-07-01 11:14:14.018021
Resettling Refugees in Durham | ETHICS 215,WRK Section 05,7305,20,20,0.0,No,2021-07-01 11:14:16.542461
Christian Ethics and Modern Society | ETHICS 220,Lecture Section 01,7309,60,60,0.0,No,2021-07-01 11:14:19.069749
News as a Moral Battleground | ETHICS 259,Lecture Section 01,5781,25,25,0.0,No,2021-07-01 11:14:21.602921
Neuroethics | ETHICS 269,Lecture Section 01,4979,30,30,0.0,No,2021-07-01 11:14:24.079143
Business Ethics: The Debate Over Corporate Social Responsibility | ETHICS 270,Lecture Section 01,4464,15,15,0.0,No,2021-07-01 11:14:26.650269
