Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Evolutionary Anthropology | EVANTH 101,Lecture Section 01,4250,50,50,0.0,No,2021-07-01 11:15:05.748440
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,4251,84,84,0.0,No,2021-07-01 11:15:08.242673
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 01D,4252,14,14,0.0,No,2021-07-01 11:15:10.689640
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 02D,4253,14,14,0.0,No,2021-07-01 11:15:13.079033
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 03D,4254,14,14,0.0,No,2021-07-01 11:15:15.525461
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 04D,4255,14,14,0.0,No,2021-07-01 11:15:17.962701
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 05D,4256,14,14,0.0,No,2021-07-01 11:15:20.322723
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 06D,4257,14,14,0.0,No,2021-07-01 11:15:22.717804
"Evolution, Society, and Health in Comparative Perspective | EVANTH 212FS",SEM Section 01,4258,2,18,88.88888888888889,No,2021-07-01 11:15:25.059147
Primate Anatomy | EVANTH 235L,Lecture Section 001,4212,28,28,0.0,No,2021-07-01 11:15:27.448384
Primate Anatomy | EVANTH 235L,Laboratory Section 01L,4213,14,14,0.0,Yes,2021-07-01 11:15:29.842052
Primate Anatomy | EVANTH 235L,Laboratory Section 02L,4214,14,14,0.0,Yes,2021-07-01 11:15:32.360018
Primate Ecology | EVANTH 253,Lecture Section 01,4210,20,20,0.0,No,2021-07-01 11:15:34.791857
Human Evolutionary Genetics | EVANTH 318,Lecture Section 01,4260,20,20,0.0,No,2021-07-01 11:15:37.161757
Human Osteology | EVANTH 334L,Lecture Section 001,4207,28,28,0.0,No,2021-07-01 11:15:39.627641
Human Osteology | EVANTH 334L,Laboratory Section 01L,4208,14,14,0.0,Yes,2021-07-01 11:15:42.091356
Human Osteology | EVANTH 334L,Laboratory Section 02L,4209,14,14,0.0,Yes,2021-07-01 11:15:44.521727
Primate Field Biology | EVANTH 344L,Laboratory Section 01L,4211,10,10,0.0,Yes,2021-07-01 11:15:46.937301
Primate Conservation | EVANTH 359S,SEM Section 01,4215,16,16,0.0,No,2021-07-01 11:15:49.435029
Independent Study | EVANTH 391,IND Section 01,4244,1,1,0.0,No,2021-07-01 11:15:51.875918
Independent Study | EVANTH 391,IND Section 02,4245,1,1,0.0,No,2021-07-01 11:15:54.278069
Independent Study | EVANTH 391,IND Section 03,4246,1,1,0.0,No,2021-07-01 11:15:56.631732
Independent Study | EVANTH 391,IND Section 04,4247,1,1,0.0,No,2021-07-01 11:15:58.997514
Independent Study | EVANTH 391,IND Section 05,4248,1,1,0.0,No,2021-07-01 11:16:01.376656
Research Independent Study | EVANTH 393,IND Section 01,4216,1,1,0.0,No,2021-07-01 11:16:03.832134
Research Independent Study | EVANTH 393,IND Section 02,4217,1,1,0.0,No,2021-07-01 11:16:06.264256
Research Independent Study | EVANTH 393,IND Section 03,4218,1,1,0.0,No,2021-07-01 11:16:08.773947
Research Independent Study | EVANTH 393,IND Section 04,4219,1,1,0.0,No,2021-07-01 11:16:11.273314
Research Independent Study | EVANTH 393,IND Section 05,4220,1,1,0.0,No,2021-07-01 11:16:13.756481
Research Independent Study | EVANTH 393,IND Section 06,4221,1,1,0.0,No,2021-07-01 11:16:16.305669
Research Independent Study | EVANTH 393,IND Section 07,4222,1,1,0.0,No,2021-07-01 11:16:18.688463
Research Independent Study | EVANTH 393,IND Section 08,4223,1,1,0.0,No,2021-07-01 11:16:21.054140
Research Independent Study | EVANTH 393,IND Section 09,4224,1,1,0.0,No,2021-07-01 11:16:23.390617
Research Independent Study | EVANTH 393,IND Section 10,4225,1,1,0.0,No,2021-07-01 11:16:25.874997
Research Independent Study | EVANTH 393,IND Section 11,4226,1,1,0.0,No,2021-07-01 11:16:28.548762
Research Independent Study | EVANTH 393,IND Section 12,4227,1,1,0.0,No,2021-07-01 11:16:31.143363
Research Independent Study | EVANTH 393,IND Section 13,4228,1,1,0.0,No,2021-07-01 11:16:33.485725
Research Independent Study | EVANTH 393,IND Section 14,4229,1,1,0.0,No,2021-07-01 11:16:35.821593
Research Independent Study | EVANTH 393,IND Section 15,4230,1,1,0.0,No,2021-07-01 11:16:38.189394
Advanced Research in Evolutionary Anthropology | EVANTH 495S,SEM Section 01,4249,14,14,0.0,No,2021-07-01 11:16:40.537032
Introduction to Evolutionary Anthropology | EVANTH 101,Lecture Section 01,4250,50,50,0.0,No,2021-07-01 17:36:11.043370
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,4251,84,84,0.0,No,2021-07-01 17:36:13.416511
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 01D,4252,14,14,0.0,No,2021-07-01 17:36:15.850863
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 02D,4253,14,14,0.0,No,2021-07-01 17:36:18.399387
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 03D,4254,14,14,0.0,No,2021-07-01 17:36:20.852323
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 04D,4255,14,14,0.0,No,2021-07-01 17:36:23.702864
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 05D,4256,14,14,0.0,No,2021-07-01 17:36:26.174795
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 06D,4257,14,14,0.0,No,2021-07-01 17:36:28.724005
"Evolution, Society, and Health in Comparative Perspective | EVANTH 212FS",SEM Section 01,4258,0,18,100.0,No,2021-07-01 17:36:31.238262
