Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | GERMAN 89S,SEM Section 01,5423,18,18,0.0,No,2021-07-01 11:15:23.028842
First-Year German I | GERMAN 101,Lecture Section 01,5417,18,18,0.0,No,2021-07-01 11:15:25.452741
First-Year German I | GERMAN 101,Lecture Section 02,5418,18,18,0.0,No,2021-07-01 11:15:27.922631
First-Year German I | GERMAN 101,Lecture Section 03,5419,18,18,0.0,No,2021-07-01 11:15:30.363514
First-Year German II | GERMAN 102,Lecture Section 01,5420,18,18,0.0,No,2021-07-01 11:15:32.810649
First-Year German II | GERMAN 102,Lecture Section 02,5421,18,18,0.0,No,2021-07-01 11:15:35.213333
First-Year German II | GERMAN 102,Lecture Section 03,5422,18,18,0.0,No,2021-07-01 11:15:37.581952
Intermediate German I | GERMAN 203,Lecture Section 01,5424,15,15,0.0,No,2021-07-01 11:15:39.990148
Intermediate German I | GERMAN 203,Lecture Section 02,5425,15,15,0.0,No,2021-07-01 11:15:42.398309
Intermediate German I | GERMAN 203,Lecture Section 03,5426,15,15,0.0,No,2021-07-01 11:15:44.817705
Intermediate German II | GERMAN 204,Lecture Section 01,5427,15,15,0.0,No,2021-07-01 11:15:47.315938
Intermediate German II | GERMAN 204,Lecture Section 02,5428,15,15,0.0,No,2021-07-01 11:15:49.859443
Intermediate Conversation Practice | GERMAN 210,Lecture Section 01,5438,10,10,0.0,No,2021-07-01 11:15:52.454399
The Viking Age | GERMAN 261,Lecture Section 01,5440,25,25,0.0,No,2021-07-01 11:15:54.955812
The Legend of King Arthur in Literature and Film | GERMAN 275,Lecture Section 01,5447,25,25,0.0,No,2021-07-01 11:15:57.369039
Advanced German I: Culture and Society | GERMAN 305S,SEM Section 01,5429,18,18,0.0,No,2021-07-01 11:15:59.731899
Advanced Conversation Practice | GERMAN 310,Lecture Section 01,5437,10,10,0.0,No,2021-07-01 11:16:02.164035
Contemporary Culture through the German Media Landscape | GERMAN 340S,SEM Section 01,5439,18,18,0.0,No,2021-07-01 11:16:04.548888
Germany Confronts Nazism and the Holocaust | GERMAN 387,Lecture Section 01,5432,25,25,0.0,No,2021-07-01 11:16:07.016149
German Literature and Culture | GERMAN 430S,SEM Section 01,5430,10,10,0.0,No,2021-07-01 11:16:09.474792
First-Year Seminar | GERMAN 89S,SEM Section 01,5423,18,18,0.0,No,2021-07-01 17:35:22.650875
First-Year German I | GERMAN 101,Lecture Section 01,5417,18,18,0.0,No,2021-07-01 17:35:25.270086
First-Year German I | GERMAN 101,Lecture Section 02,5418,18,18,0.0,No,2021-07-01 17:35:27.803221
First-Year German I | GERMAN 101,Lecture Section 03,5419,18,18,0.0,No,2021-07-01 17:35:30.278337
First-Year German II | GERMAN 102,Lecture Section 01,5420,18,18,0.0,No,2021-07-01 17:35:32.662517
First-Year German II | GERMAN 102,Lecture Section 02,5421,18,18,0.0,No,2021-07-01 17:35:35.036818
First-Year German II | GERMAN 102,Lecture Section 03,5422,18,18,0.0,No,2021-07-01 17:35:37.385625
Intermediate German I | GERMAN 203,Lecture Section 01,5424,15,15,0.0,No,2021-07-01 17:35:39.738095
Intermediate German I | GERMAN 203,Lecture Section 02,5425,15,15,0.0,No,2021-07-01 17:35:42.120076
Intermediate German I | GERMAN 203,Lecture Section 03,5426,15,15,0.0,No,2021-07-01 17:35:44.518743
Intermediate German II | GERMAN 204,Lecture Section 01,5427,15,15,0.0,No,2021-07-01 17:35:46.862463
Intermediate German II | GERMAN 204,Lecture Section 02,5428,15,15,0.0,No,2021-07-01 17:35:49.200120
Intermediate Conversation Practice | GERMAN 210,Lecture Section 01,5438,10,10,0.0,No,2021-07-01 17:35:51.654477
The Viking Age | GERMAN 261,Lecture Section 01,5440,25,25,0.0,No,2021-07-01 17:35:54.379887
The Legend of King Arthur in Literature and Film | GERMAN 275,Lecture Section 01,5447,25,25,0.0,No,2021-07-01 17:35:56.945098
Advanced German I: Culture and Society | GERMAN 305S,SEM Section 01,5429,18,18,0.0,No,2021-07-01 17:35:59.302924
Advanced Conversation Practice | GERMAN 310,Lecture Section 01,5437,10,10,0.0,No,2021-07-01 17:36:01.691603
Contemporary Culture through the German Media Landscape | GERMAN 340S,SEM Section 01,5439,18,18,0.0,No,2021-07-01 17:36:04.134001
Germany Confronts Nazism and the Holocaust | GERMAN 387,Lecture Section 01,5432,25,25,0.0,No,2021-07-01 17:36:06.533972
German Literature and Culture | GERMAN 430S,SEM Section 01,5430,10,10,0.0,No,2021-07-01 17:36:08.967521
