Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First Year Seminar: Special Topics in Global Health | GLHLTH 89S,SEM Section 03,7292,18,18,0.0,No,2021-07-01 11:16:28.739232
Fundamentals of Global Health | GLHLTH 101,Lecture Section 01,5848,100,100,0.0,No,2021-07-01 11:16:31.431806
History of Chinese Medicine | GLHLTH 142,Lecture Section 01,7010,35,35,0.0,No,2021-07-01 11:16:33.995766
"Climate, Coffee, and Coronavirus: Why Ecology Matters to Human Health | GLHLTH 153",Lecture Section 01,5872,50,50,0.0,No,2021-07-01 11:16:36.529133
"Climate, Coffee, & Coronavirus: Why Ecology Matters to Human Health | GLHLTH 153S",SEM Section 01,5978,18,18,0.0,No,2021-07-01 11:16:38.945006
Effectively Addressing Modern Pandemics of Disease: What Did We Do Wrong to Get So Sick? | GLHLTH 187FS,SEM Section 01,5853,0,18,100.0,No,2021-07-01 11:16:41.335447
Patient and Research Participant Activism and Advocacy | GLHLTH 196FS,SEM Section 01,8121,0,18,100.0,No,2021-07-01 11:16:43.771874
Confronting Global Health Challenges: What Would You Do? | GLHLTH 201FS,SEM Section 01,5854,0,18,100.0,No,2021-07-01 11:16:46.118574
History of Global Health | GLHLTH 203,Lecture Section 01,7012,40,40,0.0,No,2021-07-01 11:16:48.496067
Transnational Feminism | GLHLTH 208S,SEM Section 01,4950,18,18,0.0,No,2021-07-01 11:16:50.864533
Global Health Ethics: Policy Choice as Value Conflict | GLHLTH 210,Lecture Section 01,5813,35,35,0.0,No,2021-07-01 11:16:53.223563
Case Studies in Global Sexual and Reproductive Health | GLHLTH 215,Lecture Section 01,5846,30,30,0.0,No,2021-07-01 11:16:55.587164
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | GLHLTH 235",Lecture Section 01,7023,50,50,0.0,No,2021-07-01 11:16:57.953210
"Race, Genomics, and Society | GLHLTH 258D",Lecture Section 001,7341,100,100,0.0,No,2021-07-01 11:17:00.380087
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 01D,7342,19,19,0.0,Yes,2021-07-01 11:17:02.777459
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 02D,7343,18,18,0.0,Yes,2021-07-01 11:17:05.195189
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 03D,7344,19,19,0.0,Yes,2021-07-01 11:17:07.822639
"Race, Genomics, and Society | GLHLTH 258D",Discussion Section 04D,7345,19,19,0.0,Yes,2021-07-01 11:17:10.226527
Entrepreneurial Problem Solving in Global Health | GLHLTH 273S,SEM Section 01,5471,18,18,0.0,No,2021-07-01 11:17:12.596006
Leadership and the Changing Landscape of Health Care | GLHLTH 275S,SEM Section 01,6947,18,18,0.0,No,2021-07-01 11:17:14.987093
Literatures and Films of Pandemic | GLHLTH 278S,SEM Section 01,6390,18,18,0.0,No,2021-07-01 11:17:17.356660
Introduction to Global Health Data Science | GLHLTH 298L,Lecture Section 001,6341,90,90,0.0,No,2021-07-01 11:17:19.742185
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 01L,6342,1,1,0.0,Yes,2021-07-01 11:17:22.106387
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 02L,6343,1,1,0.0,Yes,2021-07-01 11:17:24.483985
Introduction to Global Health Data Science | GLHLTH 298L,Laboratory Section 03L,6344,1,1,0.0,Yes,2021-07-01 11:17:26.851664
