Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,7578,18,18,0.0,No,2021-07-01 11:15:55.160982
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 02,4941,18,18,0.0,No,2021-07-01 11:15:57.628435
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 03,4942,18,18,0.0,No,2021-07-01 11:16:00.083387
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | GSF 188S,SEM Section 01,7017,15,15,0.0,No,2021-07-01 11:16:02.551759
Women and Gender in the Middle East | GSF 189,Lecture Section 01,6595,18,18,0.0,No,2021-07-01 11:16:04.998033
Comparative Approaches to Global Issues | GSF 195,Lecture Section 01,8689,49,49,0.0,No,2021-07-01 11:16:07.604773
LGBTQ/Queer Cinema and Cultural Production | GSF 198,Lecture Section 01,9125,18,18,0.0,No,2021-07-01 11:16:10.380519
Thinking Gender: An Introduction to Feminist Theory | GSF 199S,SEM Section 01,4947,18,18,0.0,No,2021-07-01 11:16:12.833435
"Race, Film, and Religion | GSF 201",Lecture Section 01,7660,45,45,0.0,No,2021-07-01 11:16:15.279844
Introduction to LGBTQ Studies | GSF 202S,SEM Section 01,4937,18,18,0.0,No,2021-07-01 11:16:17.718136
Gender in Dance and Theatre | GSF 212,Lecture Section 01,5302,12,12,0.0,No,2021-07-01 11:16:20.098427
Case Studies in Global Sexual and Reproductive Health | GSF 220,Lecture Section 01,5847,30,30,0.0,No,2021-07-01 11:16:22.469136
Women at Work: Gendered Experience of Corporate Life | GSF 221,Lecture Section 01,4945,18,18,0.0,No,2021-07-01 11:16:25.015885
Women in the Economy | GSF 230,Lecture Section 01,6034,40,40,0.0,No,2021-07-01 11:16:27.757658
"Women in Visual Arts, 1400-1800: Theory and History | GSF 245S",SEM Section 01,9441,11,11,0.0,No,2021-07-01 11:16:30.361882
Introduction to Digital Feminism | GSF 265S,SEM Section 01,4962,18,18,0.0,No,2021-07-01 11:16:32.710021
Selected Topics in Women's Studies | GSF 290S,SEM Section 02,7576,18,18,0.0,No,2021-07-01 11:16:35.135361
Selected Topics in Women's Studies | GSF 290S,SEM Section 03,4939,18,18,0.0,No,2021-07-01 11:16:37.572107
"Decolonization: Histories, Meanings, Struggles | GSF 335S",SEM Section 01,8699,16,16,0.0,No,2021-07-01 11:16:39.971842
Transnational Feminism | GSF 369S,SEM Section 01,4948,18,18,0.0,No,2021-07-01 11:16:42.419472
Reproductive Ethics | GSF 375,Lecture Section 01,4960,18,18,0.0,No,2021-07-01 11:16:44.845085
Politics of Sexuality | GSF 386S,SEM Section 01,4954,18,18,0.0,No,2021-07-01 11:16:47.251668
Special Topics in Women's Studies | GSF 390S,SEM Section 01,7599,18,18,0.0,No,2021-07-01 11:16:49.793497
Special Topics in Women's Studies | GSF 390S,SEM Section 02,4959,18,18,0.0,No,2021-07-01 11:16:52.299056
Indigenous Americas | GSF 405S,SEM Section 01,4197,18,18,0.0,No,2021-07-01 11:16:54.683739
Honors Independent Study | GSF 493,IND Section 01,10139,1,1,0.0,No,2021-07-01 11:16:57.135434
Senior Seminar in Women's Studies | GSF 499S,SEM Section 01,4940,18,18,0.0,No,2021-07-01 11:16:59.522331
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,7578,18,18,0.0,No,2021-07-01 17:37:47.234456
