Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | HISTORY 89S,SEM Section 01,6954,18,18,0.0,No,2021-07-01 17:40:16.631837
First-Year Seminar | HISTORY 89S,SEM Section 03,7278,18,18,0.0,No,2021-07-01 17:40:19.082949
Introduction to Global History | HISTORY 101,Lecture Section 01,6953,30,30,0.0,No,2021-07-01 17:40:21.537931
Introduction to Modern African History | HISTORY 102,Lecture Section 01,7029,35,35,0.0,No,2021-07-01 17:40:24.107898
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 01,8686,49,49,0.0,No,2021-07-01 17:40:26.542504
"Old Worlds/New Histories, 500-1500 CE | HISTORY 105",Lecture Section 01,6986,25,25,0.0,No,2021-07-01 17:40:28.971464
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop | HISTORY 108,Lecture Section 01,6894,32,32,0.0,No,2021-07-01 17:40:31.384652
Intro to the History of Modern Warfare | HISTORY 114,Lecture Section 01,6995,35,35,0.0,No,2021-07-01 17:40:33.809232
Early Modern Europe | HISTORY 117,Lecture Section 01,6983,35,35,0.0,No,2021-07-01 17:40:36.266244
Introduction to Contemporary Latin America | HISTORY 121,Lecture Section 01,6958,35,35,0.0,No,2021-07-01 17:40:38.610318
History of the Present | HISTORY 124,Lecture Section 01,7020,100,100,0.0,No,2021-07-01 17:40:40.975444
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 01,6635,12,12,0.0,Yes,2021-07-01 17:40:43.330894
Introduction to Oral History | HISTORY 126S,SEM Section 01,6651,15,15,0.0,No,2021-07-01 17:40:45.725901
Globalization and Corporate Citizenship | HISTORY 127FS,SEM Section 01,7294,0,18,100.0,No,2021-07-01 17:40:48.095715
Introduction to African Studies (DS3 or DS4) | HISTORY 129,Lecture Section 01,7326,60,60,0.0,No,2021-07-01 17:40:50.455386
American Dreams and American Realities | HISTORY 130D,Lecture Section 001,6971,100,100,0.0,No,2021-07-01 17:40:52.770325
American Dreams and American Realities | HISTORY 130D,Discussion Section 01D,6972,25,25,0.0,No,2021-07-01 17:40:55.091724
American Dreams and American Realities | HISTORY 130D,Discussion Section 02D,6973,25,25,0.0,No,2021-07-01 17:40:57.424052
American Dreams and American Realities | HISTORY 130D,Discussion Section 03D,6974,25,25,0.0,No,2021-07-01 17:40:59.783535
American Dreams and American Realities | HISTORY 130D,Discussion Section 04D,6975,25,25,0.0,No,2021-07-01 17:41:02.151475
"Silk Roads and China, Ancient and Medieval Transformations | HISTORY 135",Lecture Section 01,7001,30,30,0.0,No,2021-07-01 17:41:04.476916
From Stalin to Putin: The Art of Dictatorship | HISTORY 138,Lecture Section 01,7033,30,30,0.0,No,2021-07-01 17:41:06.810501
Gateway Seminar: The History of he U.S. South | HISTORY 143S,SEM Section 01,7034,15,15,0.0,No,2021-07-01 17:41:09.154308
Gateway Seminar - Anarchism and its Discontents | HISTORY 166S,SEM Section 01,6993,18,18,0.0,No,2021-07-01 17:41:11.478647
Gateway Seminar: Living Through the Great War | HISTORY 186S,SEM Section 01,7015,15,15,0.0,No,2021-07-01 17:41:13.799491
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | HISTORY 188S,SEM Section 01,7016,15,15,0.0,No,2021-07-01 17:41:16.132030
Topics in Focus Program | HISTORY 190FS,SEM Section 02,5368,0,18,100.0,No,2021-07-01 17:41:18.507316
Topics in Focus Program | HISTORY 190FS,SEM Section 03,6979,2,18,88.88888888888889,No,2021-07-01 17:41:21.031831
Topics in Focus Program | HISTORY 190FS,SEM Section 04,6980,1,18,94.44444444444444,No,2021-07-01 17:41:23.532536
Topics in Focus Program | HISTORY 190FS,SEM Section 05,6981,4,18,77.77777777777779,No,2021-07-01 17:41:25.961488
Topics in Focus Program | HISTORY 190FS,SEM Section 06,6982,4,18,77.77777777777779,No,2021-07-01 17:41:28.448867
Independent Study: Digital India Lab | HISTORY 191L,IND Section 01,10140,5,5,0.0,No,2021-07-01 17:41:30.902661
"Gateway Seminar: Environment, Energy, Climate Change | HISTORY 197S",SEM Section 01,7036,15,15,0.0,No,2021-07-01 17:41:33.304170
History of Global Health | HISTORY 203,Lecture Section 01,7011,40,40,0.0,No,2021-07-01 17:41:35.702073
Islam in Asia | HISTORY 209S,SEM Section 01,6371,18,18,0.0,No,2021-07-01 17:41:38.144312
The Turks: From Ottoman Empire to European Union | HISTORY 212,Lecture Section 01,6569,18,18,0.0,No,2021-07-01 17:41:40.551052
Nigeria: A Modern History | HISTORY 217S,SEM Section 01,7389,18,18,0.0,No,2021-07-01 17:41:42.988245
Indian Civilization | HISTORY 219S,SEM Section 01,6989,18,18,0.0,No,2021-07-01 17:41:45.385177
Ancient and Early Modern Japan | HISTORY 226,Lecture Section 01,6963,35,35,0.0,No,2021-07-01 17:41:47.770008
Chinatowns: A Cultural History | HISTORY 228,Lecture Section 01,6588,21,21,0.0,No,2021-07-01 17:41:50.178140
Chinatowns: A Cultural History | HISTORY 228,Lecture Section 02,6589,21,21,0.0,No,2021-07-01 17:41:52.520303
Roman History | HISTORY 233,Lecture Section 01,5130,40,40,0.0,No,2021-07-01 17:41:54.868124
"Drugs, Chemicals, and Health: Histories of Substances in Economies, Environments, and Bodies | HISTORY 235",Lecture Section 01,7022,50,50,0.0,No,2021-07-01 17:41:57.216680
History of Chinese Medicine | HISTORY 239,Lecture Section 01,7008,35,35,0.0,No,2021-07-01 17:41:59.569836
Cross-Cultural Encounters | HISTORY 243S,SEM Section 01,7670,18,18,0.0,No,2021-07-01 17:42:01.940547
Transnational Feminism | HISTORY 249S,SEM Section 01,4952,18,18,0.0,No,2021-07-01 17:42:04.280504
The Viking Age | HISTORY 256,Lecture Section 01,5441,25,25,0.0,No,2021-07-01 17:42:06.839324
"Religion, Reform, and Violence in Early Modern Europe | HISTORY 257",Lecture Section 01,6961,35,35,0.0,No,2021-07-01 17:42:09.185643
Germany Confronts Nazism and the Holocaust | HISTORY 261,Lecture Section 01,5435,25,25,0.0,No,2021-07-01 17:42:11.503338
The Foundations of Modern Terrorism | HISTORY 279,Lecture Section 01,6955,40,40,0.0,No,2021-07-01 17:42:13.837850
History of Inequality | HISTORY 288,Lecture Section 01,7028,35,35,0.0,No,2021-07-01 17:42:16.206369
"Decolonization: Histories, Meanings, Struggles | HISTORY 289S",SEM Section 01,8698,16,16,0.0,No,2021-07-01 17:42:18.575289
Applied Historical Research | HISTORY 301T,TUT Section 01,7032,15,15,0.0,No,2021-07-01 17:42:21.001909
History of International Financial and Monetary Crises | HISTORY 305,Lecture Section 01,6102,30,30,0.0,No,2021-07-01 17:42:23.353340
History of Economic Thought | HISTORY 307,Lecture Section 01,6013,30,30,0.0,No,2021-07-01 17:42:25.680846
Alexander Hamilton and His World | HISTORY 309,Lecture Section 01,7014,40,40,0.0,No,2021-07-01 17:42:28.031576
"Men, Women, and Sports: Topics in US Sports History | HISTORY 311S",SEM Section 01,7000,18,18,0.0,No,2021-07-01 17:42:30.387740
Statecraft and Strategy | HISTORY 322,Lecture Section 01,8006,40,40,0.0,No,2021-07-01 17:42:32.827588
"Denial, Faith, Reason: Sustainability and Survival | HISTORY 325",Lecture Section 01,7975,20,20,0.0,No,2021-07-01 17:42:35.235539
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | HISTORY 331S,SEM Section 01,6379,18,18,0.0,No,2021-07-01 17:42:37.576957
Africa before Colonialism | HISTORY 341S,SEM Section 01,7387,18,18,0.0,No,2021-07-01 17:42:39.985505
Politics of Sexuality | HISTORY 346S,SEM Section 01,4958,18,18,0.0,No,2021-07-01 17:42:42.444364
The Civil Rights Movement | HISTORY 348,Lecture Section 01,6966,40,40,0.0,No,2021-07-01 17:42:44.879520
American Indian History to 1815 | HISTORY 355,Lecture Section 01,6999,40,40,0.0,No,2021-07-01 17:42:47.384273
History of Capitalism in the United States | HISTORY 363,Lecture Section 01,6992,40,40,0.0,No,2021-07-01 17:42:49.852855
Latinx Social Movements | HISTORY 366S,SEM Section 01,7026,12,12,0.0,No,2021-07-01 17:42:52.254040
Aztecs and Mayans | HISTORY 370,Lecture Section 01,7025,40,40,0.0,No,2021-07-01 17:42:54.612699
Feast and Famine: Food in Global History | HISTORY 371,Lecture Section 01,6997,40,40,0.0,No,2021-07-01 17:42:56.954427
Apartheid South Africa and Struggles for Democracy | HISTORY 386S,SEM Section 01,7379,15,15,0.0,No,2021-07-01 17:42:59.265366
Family Rights/Human Rights | HISTORY 389S,SEM Section 01,7005,18,18,0.0,No,2021-07-01 17:43:01.577623
Topics in History Lecture | HISTORY 390,Lecture Section 01,6957,40,40,0.0,No,2021-07-01 17:43:03.933060
Research Independent Study | HISTORY 393,IND Section 01,1455,5,5,0.0,No,2021-07-01 17:43:06.245324
Research Independent Study | HISTORY 393,IND Section 02,1456,5,5,0.0,No,2021-07-01 17:43:08.547942
Research Independent Study | HISTORY 393,IND Section 03,1457,5,5,0.0,No,2021-07-01 17:43:10.863670
Research Independent Study | HISTORY 393,IND Section 04,1458,5,5,0.0,No,2021-07-01 17:43:13.207401
Research Independent Study | HISTORY 393,IND Section 05,1459,5,5,0.0,No,2021-07-01 17:43:15.660923
Research Independent Study | HISTORY 393,IND Section 06,1460,5,5,0.0,No,2021-07-01 17:43:18.069013
Research Independent Study | HISTORY 393,IND Section 07,1461,5,5,0.0,No,2021-07-01 17:43:20.447155
Research Independent Study | HISTORY 393,IND Section 08,1462,5,5,0.0,No,2021-07-01 17:43:22.793645
Research Independent Study | HISTORY 393,IND Section 09,1463,5,5,0.0,No,2021-07-01 17:43:25.163215
Research Independent Study | HISTORY 393,IND Section 10,1464,5,5,0.0,No,2021-07-01 17:43:27.794500
Research Independent Study | HISTORY 393,IND Section 11,1465,5,5,0.0,No,2021-07-01 17:43:30.278644
Research Independent Study | HISTORY 393,IND Section 12,1466,5,5,0.0,No,2021-07-01 17:43:32.816256
Research Independent Study | HISTORY 393,IND Section 13,1467,5,5,0.0,No,2021-07-01 17:43:35.228535
Research Independent Study | HISTORY 393,IND Section 14,1468,5,5,0.0,No,2021-07-01 17:43:37.698108
Research Independent Study | HISTORY 393,IND Section 15,1469,5,5,0.0,No,2021-07-01 17:43:40.130694
Research Independent Study | HISTORY 393,IND Section 16,1470,5,5,0.0,No,2021-07-01 17:43:42.560117
Research Independent Study | HISTORY 393,IND Section 17,1471,5,5,0.0,No,2021-07-01 17:43:44.969131
Research Independent Study | HISTORY 393,IND Section 18,1472,5,5,0.0,No,2021-07-01 17:43:47.349593
Research Independent Study | HISTORY 393,IND Section 20,1474,5,5,0.0,No,2021-07-01 17:43:49.727996
Soviet and Post-Soviet Economic History | HISTORY 407D,Lecture Section 001,6145,15,15,0.0,No,2021-07-01 17:43:52.166702
Soviet and Post-Soviet Economic History | HISTORY 407D,Discussion Section 01D,6146,15,15,0.0,No,2021-07-01 17:43:54.551646
History of Death | HISTORY 410S,SEM Section 01,7031,18,18,0.0,No,2021-07-01 17:43:56.984958
Historicizing Whiteness | HISTORY 411S,SEM Section 01,7959,18,18,0.0,No,2021-07-01 17:43:59.361181
Ancient Athenian Law | HISTORY 413,Lecture Section 01,5168,38,38,0.0,No,2021-07-01 17:44:01.704770
