Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
House Course | HOUSECS 59,SEM Section 01,10199,18,18,0.0,No,2021-07-01 11:18:11.851489
House Course | HOUSECS 59,SEM Section 03,10201,18,18,0.0,No,2021-07-01 11:18:14.272777
House Course | HOUSECS 59,SEM Section 04,10202,18,18,0.0,No,2021-07-01 11:18:16.702294
House Course | HOUSECS 59,SEM Section 05,10203,18,18,0.0,No,2021-07-01 11:18:19.175135
House Course | HOUSECS 59,SEM Section 06,10204,18,18,0.0,No,2021-07-01 11:18:21.579095
House Course | HOUSECS 59,SEM Section 09,10207,17,17,0.0,No,2021-07-01 11:18:23.977681
House Course | HOUSECS 59,SEM Section 10,10208,18,18,0.0,No,2021-07-01 11:18:26.425161
House Course | HOUSECS 59,SEM Section 11,10209,18,18,0.0,No,2021-07-01 11:18:28.977033
House Course | HOUSECS 59,SEM Section 12,10210,18,18,0.0,No,2021-07-01 11:18:31.410039
House Course | HOUSECS 59,SEM Section 13,10211,18,18,0.0,No,2021-07-01 11:18:33.871528
House Course | HOUSECS 59,SEM Section 14,10212,10,10,0.0,No,2021-07-01 11:18:36.268559
House Course | HOUSECS 59,SEM Section 15,10213,18,18,0.0,No,2021-07-01 11:18:38.635864
House Course | HOUSECS 59,SEM Section 17,10215,18,18,0.0,No,2021-07-01 11:18:41.120527
House Course | HOUSECS 59,SEM Section 19,10217,18,18,0.0,No,2021-07-01 11:18:43.589767
House Course | HOUSECS 59,SEM Section 20,10218,18,18,0.0,No,2021-07-01 11:18:45.977520
House Course | HOUSECS 59,SEM Section 21,10219,18,18,0.0,No,2021-07-01 11:18:48.431499
House Course | HOUSECS 59,SEM Section 24,10222,18,18,0.0,No,2021-07-01 11:18:50.919465
House Course | HOUSECS 59,SEM Section 25,10223,18,18,0.0,No,2021-07-01 11:18:53.382548
House Course | HOUSECS 59,SEM Section 29,10379,18,18,0.0,No,2021-07-01 11:18:55.904683
House Course | HOUSECS 59,SEM Section 30,10378,18,18,0.0,No,2021-07-01 11:18:58.448706
House Course | HOUSECS 59,SEM Section 01,10199,18,18,0.0,No,2021-07-01 17:38:01.047919
House Course | HOUSECS 59,SEM Section 03,10201,18,18,0.0,No,2021-07-01 17:38:03.444570
House Course | HOUSECS 59,SEM Section 04,10202,18,18,0.0,No,2021-07-01 17:38:05.909766
House Course | HOUSECS 59,SEM Section 05,10203,18,18,0.0,No,2021-07-01 17:38:08.283270
House Course | HOUSECS 59,SEM Section 06,10204,18,18,0.0,No,2021-07-01 17:38:10.653705
House Course | HOUSECS 59,SEM Section 09,10207,17,17,0.0,No,2021-07-01 17:38:13.037551
House Course | HOUSECS 59,SEM Section 10,10208,18,18,0.0,No,2021-07-01 17:38:15.424825
House Course | HOUSECS 59,SEM Section 11,10209,18,18,0.0,No,2021-07-01 17:38:17.856673
House Course | HOUSECS 59,SEM Section 12,10210,18,18,0.0,No,2021-07-01 17:38:20.290513
House Course | HOUSECS 59,SEM Section 13,10211,18,18,0.0,No,2021-07-01 17:38:22.763335
House Course | HOUSECS 59,SEM Section 14,10212,10,10,0.0,No,2021-07-01 17:38:25.190549
House Course | HOUSECS 59,SEM Section 15,10213,18,18,0.0,No,2021-07-01 17:38:27.584567
House Course | HOUSECS 59,SEM Section 17,10215,18,18,0.0,No,2021-07-01 17:38:29.975345
House Course | HOUSECS 59,SEM Section 19,10217,18,18,0.0,No,2021-07-01 17:38:32.513249
House Course | HOUSECS 59,SEM Section 20,10218,18,18,0.0,No,2021-07-01 17:38:34.901042
House Course | HOUSECS 59,SEM Section 21,10219,18,18,0.0,No,2021-07-01 17:38:37.332467
House Course | HOUSECS 59,SEM Section 24,10222,18,18,0.0,No,2021-07-01 17:38:39.795703
House Course | HOUSECS 59,SEM Section 25,10223,18,18,0.0,No,2021-07-01 17:38:42.208422
House Course | HOUSECS 59,SEM Section 27,10225,18,18,0.0,No,2021-07-01 17:38:44.635628
House Course | HOUSECS 59,SEM Section 29,10379,18,18,0.0,No,2021-07-01 17:38:47.276137
House Course | HOUSECS 59,SEM Section 30,10378,18,18,0.0,No,2021-07-01 17:38:49.846489
