Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topics in Innovation & Entrepreneurship | I&E 190,Lecture Section 01,5480,25,25,0.0,No,2021-07-01 11:19:28.256271
Learning to Fail | I&E 252,Lecture Section 01,5467,18,18,0.0,Yes,2021-07-01 11:19:30.747673
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5468,24,24,0.0,Yes,2021-07-01 11:19:33.157807
Social Innovation | I&E 261,Lecture Section 01,5457,12,12,0.0,Yes,2021-07-01 11:19:35.541329
Social Innovation | I&E 261,Lecture Section 02,5458,12,12,0.0,Yes,2021-07-01 11:19:37.981244
Entrepreneurial Problem Solving in Global Health | I&E 263S,SEM Section 01,5470,18,18,0.0,No,2021-07-01 11:19:40.410333
Introduction to Digital Feminism | I&E 265S,SEM Section 01,4967,18,18,0.0,No,2021-07-01 11:19:42.765902
Documentary and Policy: How Documentary Influences Policy | I&E 272S,SEM Section 01,6673,15,15,0.0,No,2021-07-01 11:19:45.125468
Special Topics | I&E 290,Lecture Section 01,5454,30,30,0.0,Yes,2021-07-01 11:19:47.478700
Special Topics | I&E 290,Lecture Section 02,5455,16,16,0.0,No,2021-07-01 11:19:49.809740
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,4174,30,30,0.0,No,2021-07-01 11:19:52.129812
Legal Issues for the Performing Arts | I&E 311S,SEM Section 01,8894,16,16,0.0,No,2021-07-01 11:19:54.471648
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,5477,24,24,0.0,Yes,2021-07-01 11:19:56.793708
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5456,30,30,0.0,No,2021-07-01 11:19:59.189713
The Economics of Entrepreneurship | I&E 375,Lecture Section 01,6105,30,30,0.0,No,2021-07-01 11:20:01.529941
Advanced Special Topics Seminar | I&E 390S,SEM Section 01,10198,18,18,0.0,No,2021-07-01 11:20:03.957784
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 01,5466,1,1,0.0,No,2021-07-01 11:20:06.298342
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 01,5474,1,1,0.0,No,2021-07-01 11:20:08.732321
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5475,30,30,0.0,No,2021-07-01 11:20:11.067588
New Ventures Development | I&E 395,Lecture Section 01,5453,8,8,0.0,No,2021-07-01 11:20:13.416419
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5461,30,30,0.0,No,2021-07-01 11:20:15.794575
Special Topics in Innovation & Entrepreneurship | I&E 190,Lecture Section 01,5480,25,25,0.0,No,2021-07-01 17:39:17.656884
Learning to Fail | I&E 252,Lecture Section 01,5467,18,18,0.0,Yes,2021-07-01 17:39:20.070493
Social Marketing: From Literary Celebrities to Instagram Influencers | I&E 253,Lecture Section 01,5468,24,24,0.0,Yes,2021-07-01 17:39:22.444157
Social Innovation | I&E 261,Lecture Section 01,5457,12,12,0.0,Yes,2021-07-01 17:39:24.805118
Social Innovation | I&E 261,Lecture Section 02,5458,12,12,0.0,Yes,2021-07-01 17:39:27.129097
Entrepreneurial Problem Solving in Global Health | I&E 263S,SEM Section 01,5470,18,18,0.0,No,2021-07-01 17:39:29.509174
Introduction to Digital Feminism | I&E 265S,SEM Section 01,4967,18,18,0.0,No,2021-07-01 17:39:32.009288
Documentary and Policy: How Documentary Influences Policy | I&E 272S,SEM Section 01,6673,15,15,0.0,No,2021-07-01 17:39:34.378266
Special Topics | I&E 290,Lecture Section 01,5454,30,30,0.0,Yes,2021-07-01 17:39:36.790145
Special Topics | I&E 290,Lecture Section 02,5455,16,16,0.0,No,2021-07-01 17:39:39.110561
Fieldwork Methods: Cultural Analysis and Interpretation | I&E 302,Lecture Section 01,4174,30,30,0.0,No,2021-07-01 17:39:41.454389
Legal Issues for the Performing Arts | I&E 311S,SEM Section 01,8894,16,16,0.0,No,2021-07-01 17:39:43.769973
Customer Empathy & Brand Experience Design | I&E 350,Lecture Section 01,5477,24,24,0.0,Yes,2021-07-01 17:39:46.117687
Strategies for Innovation and Entrepreneurship | I&E 352,Lecture Section 01,5456,30,30,0.0,No,2021-07-01 17:39:48.468480
The Economics of Entrepreneurship | I&E 375,Lecture Section 01,6105,30,30,0.0,No,2021-07-01 17:39:50.877524
Advanced Special Topics Seminar | I&E 390S,SEM Section 01,10198,18,18,0.0,No,2021-07-01 17:39:53.394427
Independent Study in Innovation and Entrepreneurship | I&E 391,IND Section 01,5466,1,1,0.0,No,2021-07-01 17:39:55.809293
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 01,5474,1,1,0.0,No,2021-07-01 17:39:58.256095
Research Independent Study in Innovation and Entrepreneurship | I&E 393,IND Section 02,5475,30,30,0.0,No,2021-07-01 17:40:00.712646
New Ventures Development | I&E 395,Lecture Section 01,5453,8,8,0.0,No,2021-07-01 17:40:03.272135
Innovation and Entrepreneurship Capstone: Ideas into Action | I&E 499,Lecture Section 01,5461,30,30,0.0,No,2021-07-01 17:40:05.665357
