Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Japanese | JPN 101,Lecture Section 001,6540,25,25,0.0,No,2021-07-01 11:18:31.748375
Elementary Japanese | JPN 101,Lecture Section 002,6541,25,25,0.0,No,2021-07-01 11:18:34.230335
Elementary Japanese | JPN 101,Discussion Section 01D,6542,25,25,0.0,No,2021-07-01 11:18:36.697976
Elementary Japanese | JPN 101,Discussion Section 02D,6543,25,25,0.0,No,2021-07-01 11:18:39.082682
Intermediate Japanese | JPN 203,Lecture Section 001,6544,15,15,0.0,No,2021-07-01 11:18:41.520738
Intermediate Japanese | JPN 203,Lecture Section 002,6545,15,15,0.0,No,2021-07-01 11:18:44.165623
Intermediate Japanese | JPN 203,Discussion Section 01D,6546,15,15,0.0,No,2021-07-01 11:18:46.604612
Intermediate Japanese | JPN 203,Discussion Section 02D,6547,15,15,0.0,No,2021-07-01 11:18:49.006692
Advanced Japanese | JPN 305,Lecture Section 01,6548,8,8,0.0,No,2021-07-01 11:18:51.449761
Advanced Japanese | JPN 305,Lecture Section 02,6549,8,8,0.0,No,2021-07-01 11:18:54.035697
Independent Study | JPN 391,IND Section 01,2104,4,4,0.0,No,2021-07-01 11:18:56.480920
Independent Study | JPN 391,IND Section 02,2105,4,4,0.0,No,2021-07-01 11:18:59.040320
Independent Study | JPN 391,IND Section 03,6550,3,3,0.0,No,2021-07-01 11:19:01.565629
Elementary Japanese | JPN 101,Lecture Section 001,6540,25,25,0.0,No,2021-07-01 17:40:41.222644
Elementary Japanese | JPN 101,Lecture Section 002,6541,25,25,0.0,No,2021-07-01 17:40:43.616200
Elementary Japanese | JPN 101,Discussion Section 01D,6542,25,25,0.0,No,2021-07-01 17:40:46.018887
Elementary Japanese | JPN 101,Discussion Section 02D,6543,25,25,0.0,No,2021-07-01 17:40:48.420144
Intermediate Japanese | JPN 203,Lecture Section 001,6544,15,15,0.0,No,2021-07-01 17:40:50.805727
Intermediate Japanese | JPN 203,Lecture Section 002,6545,15,15,0.0,No,2021-07-01 17:40:53.197429
Intermediate Japanese | JPN 203,Discussion Section 01D,6546,15,15,0.0,No,2021-07-01 17:40:55.573985
Intermediate Japanese | JPN 203,Discussion Section 02D,6547,15,15,0.0,No,2021-07-01 17:40:57.921329
Advanced Japanese | JPN 305,Lecture Section 01,6548,8,8,0.0,No,2021-07-01 17:41:00.263797
Advanced Japanese | JPN 305,Lecture Section 02,6549,8,8,0.0,No,2021-07-01 17:41:02.591698
Independent Study | JPN 391,IND Section 01,2104,4,4,0.0,No,2021-07-01 17:41:04.982955
Independent Study | JPN 391,IND Section 02,2105,4,4,0.0,No,2021-07-01 17:41:07.323998
Independent Study | JPN 391,IND Section 03,6550,3,3,0.0,No,2021-07-01 17:41:09.642859
