Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Korean | KOREAN 101,Lecture Section 001,6551,18,18,0.0,No,2021-07-01 11:19:32.525239
Elementary Korean | KOREAN 101,Lecture Section 002,6552,18,18,0.0,No,2021-07-01 11:19:34.902828
Elementary Korean | KOREAN 101,Discussion Section 01D,6553,18,18,0.0,No,2021-07-01 11:19:37.274259
Elementary Korean | KOREAN 101,Discussion Section 02D,6554,18,18,0.0,No,2021-07-01 11:19:39.607629
Intermediate Korean | KOREAN 203,Lecture Section 001,6555,18,18,0.0,No,2021-07-01 11:19:41.961621
Intermediate Korean | KOREAN 203,Lecture Section 002,6556,18,18,0.0,No,2021-07-01 11:19:44.299212
Intermediate Korean | KOREAN 203,Discussion Section 01D,6557,18,18,0.0,No,2021-07-01 11:19:46.643359
Intermediate Korean | KOREAN 203,Discussion Section 02D,6558,18,18,0.0,No,2021-07-01 11:19:48.985518
Advanced Korean | KOREAN 305,Lecture Section 01,6559,18,18,0.0,No,2021-07-01 11:19:51.307769
Independent Study | KOREAN 391,IND Section 01,2108,4,4,0.0,No,2021-07-01 11:19:53.639514
Independent Study | KOREAN 391,IND Section 02,2109,4,4,0.0,No,2021-07-01 11:19:55.995858
Korean Politics and Society: Academic Reading and Writing | KOREAN 455S,SEM Section 01,6597,12,12,0.0,No,2021-07-01 11:19:58.322053
Elementary Korean | KOREAN 101,Lecture Section 001,6551,18,18,0.0,No,2021-07-01 17:41:40.074630
Elementary Korean | KOREAN 101,Lecture Section 002,6552,18,18,0.0,No,2021-07-01 17:41:42.431902
Elementary Korean | KOREAN 101,Discussion Section 01D,6553,18,18,0.0,No,2021-07-01 17:41:44.786265
Elementary Korean | KOREAN 101,Discussion Section 02D,6554,18,18,0.0,No,2021-07-01 17:41:47.221192
Intermediate Korean | KOREAN 203,Lecture Section 001,6555,18,18,0.0,No,2021-07-01 17:41:49.633580
Intermediate Korean | KOREAN 203,Lecture Section 002,6556,18,18,0.0,No,2021-07-01 17:41:51.963609
Intermediate Korean | KOREAN 203,Discussion Section 01D,6557,18,18,0.0,No,2021-07-01 17:41:54.298884
Intermediate Korean | KOREAN 203,Discussion Section 02D,6558,18,18,0.0,No,2021-07-01 17:41:56.653078
Advanced Korean | KOREAN 305,Lecture Section 01,6559,18,18,0.0,No,2021-07-01 17:41:58.969356
Independent Study | KOREAN 391,IND Section 01,2108,4,4,0.0,No,2021-07-01 17:42:01.312562
Independent Study | KOREAN 391,IND Section 02,2109,4,4,0.0,No,2021-07-01 17:42:03.625678
Korean Politics and Society: Academic Reading and Writing | KOREAN 455S,SEM Section 01,6597,12,12,0.0,No,2021-07-01 17:42:05.951382
