Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"Health, Culture, and the Latino Community | LSGS 306",Lecture Section 01,5702,15,15,0.0,No,2021-07-01 11:22:16.817388
"Health, Culture, and the Latino Community: Service Learning | LSGS 306-1",Lecture Section 01,5761,15,15,0.0,No,2021-07-01 11:22:19.270239
"Latinx Voices in Duke, Durham, and Beyond | LSGS 308S",SEM Section 01,5711,12,12,0.0,No,2021-07-01 11:22:21.753229
Introduction to US Latino/a Literature | LSGS 336,Lecture Section 01,5742,18,18,0.0,No,2021-07-01 11:22:24.218822
Latinx Music Cultures | LSGS 337,Lecture Section 01,6915,25,25,0.0,No,2021-07-01 11:22:26.718108
Latinx Social Movements | LSGS 366S,SEM Section 01,7027,12,12,0.0,No,2021-07-01 11:22:29.137352
Special Topics in Latino/a Studies in the Global South | LSGS 390S,SEM Section 02,7601,18,18,0.0,No,2021-07-01 11:22:31.551481
"Health, Culture, and the Latino Community | LSGS 306",Lecture Section 01,5702,15,15,0.0,No,2021-07-01 17:44:15.126894
"Health, Culture, and the Latino Community: Service Learning | LSGS 306-1",Lecture Section 01,5761,15,15,0.0,No,2021-07-01 17:44:17.513120
"Latinx Voices in Duke, Durham, and Beyond | LSGS 308S",SEM Section 01,5711,12,12,0.0,No,2021-07-01 17:44:19.888743
Introduction to US Latino/a Literature | LSGS 336,Lecture Section 01,5742,18,18,0.0,No,2021-07-01 17:44:22.260411
Latinx Music Cultures | LSGS 337,Lecture Section 01,6915,25,25,0.0,No,2021-07-01 17:44:24.605870
Latinx Social Movements | LSGS 366S,SEM Section 01,7027,12,12,0.0,No,2021-07-01 17:44:27.076546
Special Topics in Latino/a Studies in the Global South | LSGS 390S,SEM Section 02,7601,18,18,0.0,No,2021-07-01 17:44:29.476186
