Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Structure and Properties of Solids | ME 221L,Lecture Section 001,5530,60,60,0.0,No,2021-07-01 17:49:28.795485
Structure and Properties of Solids | ME 221L,Laboratory Section 01L,5531,15,15,0.0,No,2021-07-01 17:49:31.414667
Structure and Properties of Solids | ME 221L,Laboratory Section 02L,5532,15,15,0.0,No,2021-07-01 17:49:33.996042
Structure and Properties of Solids | ME 221L,Laboratory Section 03L,5533,15,15,0.0,No,2021-07-01 17:49:36.612803
Structure and Properties of Solids | ME 221L,Laboratory Section 04L,5534,15,15,0.0,No,2021-07-01 17:49:39.052621
Mechanical Engineering Analysis for Design | ME 321L,Lecture Section 001,5539,30,30,0.0,No,2021-07-01 17:49:41.450043
Mechanical Engineering Analysis for Design | ME 321L,REC Section 01R,5540,30,30,0.0,No,2021-07-01 17:49:43.890146
Thermodynamics | ME 331L,Lecture Section 001,5483,60,60,0.0,No,2021-07-01 17:49:46.280893
Thermodynamics | ME 331L,Laboratory Section 01L,5484,60,60,0.0,No,2021-07-01 17:49:48.615300
Fluid Mechanics | ME 336L,Lecture Section 001,5495,30,30,0.0,No,2021-07-01 17:49:51.024597
Fluid Mechanics | ME 336L,Laboratory Section 01L,5496,30,30,0.0,No,2021-07-01 17:49:53.391685
Control of Dynamic Systems | ME 344L,Lecture Section 001,5485,60,60,0.0,No,2021-07-01 17:49:55.725954
Control of Dynamic Systems | ME 344L,Laboratory Section 01L,5486,15,15,0.0,No,2021-07-01 17:49:58.079242
Control of Dynamic Systems | ME 344L,Laboratory Section 02L,5487,15,15,0.0,No,2021-07-01 17:50:00.396509
Control of Dynamic Systems | ME 344L,Laboratory Section 03L,5488,15,15,0.0,No,2021-07-01 17:50:02.764511
Control of Dynamic Systems | ME 344L,Laboratory Section 04L,5489,15,15,0.0,No,2021-07-01 17:50:05.129499
Mechanical Design | ME 421L,Lecture Section 001,5497,90,90,0.0,No,2021-07-01 17:50:07.477673
Mechanical Design | ME 421L,Laboratory Section 01L,5498,90,90,0.0,No,2021-07-01 17:50:09.791660
Ocean Engineering | ME 426,Lecture Section 01,7144,45,45,0.0,No,2021-07-01 17:50:12.111508
Heat and Mass Transfer | ME 431L,Lecture Section 001,5499,90,90,0.0,No,2021-07-01 17:50:14.436010
Heat and Mass Transfer | ME 431L,Laboratory Section 01L,5500,18,18,0.0,No,2021-07-01 17:50:16.808179
Heat and Mass Transfer | ME 431L,Laboratory Section 02L,5501,18,18,0.0,No,2021-07-01 17:50:19.148132
Heat and Mass Transfer | ME 431L,Laboratory Section 03L,5502,18,18,0.0,No,2021-07-01 17:50:21.510412
Heat and Mass Transfer | ME 431L,Laboratory Section 04L,5503,18,18,0.0,No,2021-07-01 17:50:23.834609
Heat and Mass Transfer | ME 431L,Laboratory Section 05L,5504,18,18,0.0,No,2021-07-01 17:50:26.184455
Energy Engineering and the Environment | ME 461,Lecture Section 01,5538,30,30,0.0,No,2021-07-01 17:50:28.505393
Aerospace Structures | ME 473,Lecture Section 01,5542,20,20,0.0,No,2021-07-01 17:50:30.894603
Special Topics in Mechanical Engineering | ME 490,Lecture Section 01,5505,15,15,0.0,No,2021-07-01 17:50:33.342915
Special Topics in Mechanical Engineering | ME 490,Lecture Section 02,5506,15,15,0.0,No,2021-07-01 17:50:35.712438
Special Topics in Mechanical Engineering | ME 490,Lecture Section 04,5508,15,15,0.0,No,2021-07-01 17:50:38.078818
Special Topics in Mechanical Engineering | ME 490,Lecture Section 06,5509,15,15,0.0,No,2021-07-01 17:50:40.411881
Special Topics in Mechanical Engineering | ME 490,Lecture Section 07,5510,16,16,0.0,No,2021-07-01 17:50:42.716678
Special Topics in Mechanical Engineering | ME 490,Lecture Section 08,5511,20,20,0.0,No,2021-07-01 17:50:45.032395
