Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Ethical Implications of Genetic and Genomic Research | MGM 120FS,SEM Section 01,4684,0,18,100.0,No,2021-07-01 11:19:38.247099
Genetics and Epigenetics: The Codes that Control Our Genomes | MGM 222FS,SEM Section 01,4682,0,18,100.0,No,2021-07-01 11:19:40.722384
Research Independent Study I | MGM 293,IND Section 01,1002,2,2,0.0,No,2021-07-01 11:19:43.099930
Research Independent Study I | MGM 293,IND Section 02,1003,2,2,0.0,No,2021-07-01 11:19:45.488395
Research Independent Study I | MGM 293,IND Section 03,1004,2,2,0.0,No,2021-07-01 11:19:47.964052
Research Independent Study I | MGM 293,IND Section 04,1005,2,2,0.0,No,2021-07-01 11:19:50.313737
Research Independent Study I | MGM 293,IND Section 05,1006,2,2,0.0,No,2021-07-01 11:19:52.695605
Research Independent Study I | MGM 293,IND Section 06,1007,3,3,0.0,No,2021-07-01 11:19:55.071507
Research Independent Study I | MGM 293,IND Section 07,1008,2,2,0.0,No,2021-07-01 11:19:57.429142
Research Independent Study I | MGM 293,IND Section 08,1009,2,2,0.0,No,2021-07-01 11:19:59.785849
Research Independent Study I | MGM 293,IND Section 09,1010,2,2,0.0,No,2021-07-01 11:20:02.145848
Research Independent Study I | MGM 293,IND Section 10,1011,2,2,0.0,No,2021-07-01 11:20:04.478305
Research Independent Study I | MGM 293,IND Section 11,1012,2,2,0.0,No,2021-07-01 11:20:06.861070
Research Independent Study I | MGM 293,IND Section 12,1013,2,2,0.0,No,2021-07-01 11:20:09.192469
Research Independent Study I | MGM 293,IND Section 13,1014,2,2,0.0,No,2021-07-01 11:20:11.550378
Research Independent Study I | MGM 293,IND Section 14,1015,2,2,0.0,No,2021-07-01 11:20:14.035545
Research Independent Study I | MGM 293,IND Section 15,1016,2,2,0.0,No,2021-07-01 11:20:16.447845
Research Independent Study I | MGM 293,IND Section 16,1017,2,2,0.0,No,2021-07-01 11:20:18.867567
Research Independent Study I | MGM 293,IND Section 17,1018,2,2,0.0,No,2021-07-01 11:20:21.239642
Research Independent Study I | MGM 293,IND Section 18,1019,2,2,0.0,No,2021-07-01 11:20:23.561511
Research Independent Study I | MGM 293,IND Section 19,1020,2,2,0.0,No,2021-07-01 11:20:25.891988
Research Independent Study I | MGM 293,IND Section 20,1021,2,2,0.0,No,2021-07-01 11:20:28.226096
Research Independent Study I | MGM 293,IND Section 21,1022,2,2,0.0,No,2021-07-01 11:20:30.740321
Research Independent Study I | MGM 293,IND Section 22,1023,2,2,0.0,No,2021-07-01 11:20:33.157425
Research Independent Study I | MGM 293,IND Section 23,1024,2,2,0.0,No,2021-07-01 11:20:35.537092
Research Independent Study I | MGM 293,IND Section 24,1025,2,2,0.0,No,2021-07-01 11:20:37.887923
Research Independent Study I | MGM 293,IND Section 25,1026,2,2,0.0,No,2021-07-01 11:20:40.221827
Research Independent Study I | MGM 293,IND Section 26,1027,2,2,0.0,No,2021-07-01 11:20:42.571711
Research Independent Study I | MGM 293,IND Section 27,1028,2,2,0.0,No,2021-07-01 11:20:44.991916
Research Independent Study I | MGM 293,IND Section 28,1029,2,2,0.0,No,2021-07-01 11:20:47.373772
Research Independent Study I | MGM 293,IND Section 29,1030,2,2,0.0,No,2021-07-01 11:20:49.797686
Research Independent Study I | MGM 293,IND Section 30,1031,2,2,0.0,No,2021-07-01 11:20:52.176123
Research Independent Study I | MGM 293,IND Section 31,1032,2,2,0.0,No,2021-07-01 11:20:54.573376
Current Technologies in Genomics and Precision Medicine | MGM 325,Lecture Section 01,5955,24,24,0.0,No,2021-07-01 11:20:57.010162
Ethical Implications of Genetic and Genomic Research | MGM 120FS,SEM Section 01,4684,0,18,100.0,No,2021-07-01 17:42:47.862954
Genetics and Epigenetics: The Codes that Control Our Genomes | MGM 222FS,SEM Section 01,4682,0,18,100.0,No,2021-07-01 17:42:50.324404
Research Independent Study I | MGM 293,IND Section 01,1002,2,2,0.0,No,2021-07-01 17:42:52.759494
Research Independent Study I | MGM 293,IND Section 02,1003,2,2,0.0,No,2021-07-01 17:42:55.175458
Research Independent Study I | MGM 293,IND Section 03,1004,2,2,0.0,No,2021-07-01 17:42:57.601607
Research Independent Study I | MGM 293,IND Section 04,1005,2,2,0.0,No,2021-07-01 17:43:00.094786
Research Independent Study I | MGM 293,IND Section 05,1006,2,2,0.0,No,2021-07-01 17:43:02.486718
Research Independent Study I | MGM 293,IND Section 06,1007,3,3,0.0,No,2021-07-01 17:43:04.836281
Research Independent Study I | MGM 293,IND Section 07,1008,2,2,0.0,No,2021-07-01 17:43:07.193941
Research Independent Study I | MGM 293,IND Section 08,1009,2,2,0.0,No,2021-07-01 17:43:09.584405
Research Independent Study I | MGM 293,IND Section 09,1010,2,2,0.0,No,2021-07-01 17:43:11.925448
Research Independent Study I | MGM 293,IND Section 10,1011,2,2,0.0,No,2021-07-01 17:43:14.268002
Research Independent Study I | MGM 293,IND Section 11,1012,2,2,0.0,No,2021-07-01 17:43:16.616710
Research Independent Study I | MGM 293,IND Section 12,1013,2,2,0.0,No,2021-07-01 17:43:18.993161
Research Independent Study I | MGM 293,IND Section 13,1014,2,2,0.0,No,2021-07-01 17:43:21.374105
Research Independent Study I | MGM 293,IND Section 14,1015,2,2,0.0,No,2021-07-01 17:43:23.784497
Research Independent Study I | MGM 293,IND Section 15,1016,2,2,0.0,No,2021-07-01 17:43:26.479254
Research Independent Study I | MGM 293,IND Section 16,1017,2,2,0.0,No,2021-07-01 17:43:29.041168
Research Independent Study I | MGM 293,IND Section 17,1018,2,2,0.0,No,2021-07-01 17:43:31.505155
Research Independent Study I | MGM 293,IND Section 18,1019,2,2,0.0,No,2021-07-01 17:43:34.230272
Research Independent Study I | MGM 293,IND Section 19,1020,2,2,0.0,No,2021-07-01 17:43:36.675018
Research Independent Study I | MGM 293,IND Section 20,1021,2,2,0.0,No,2021-07-01 17:43:39.044464
Research Independent Study I | MGM 293,IND Section 21,1022,2,2,0.0,No,2021-07-01 17:43:41.566539
Research Independent Study I | MGM 293,IND Section 22,1023,2,2,0.0,No,2021-07-01 17:43:44.069479
Research Independent Study I | MGM 293,IND Section 23,1024,2,2,0.0,No,2021-07-01 17:43:46.560700
Research Independent Study I | MGM 293,IND Section 24,1025,2,2,0.0,No,2021-07-01 17:43:49.111185
Research Independent Study I | MGM 293,IND Section 25,1026,2,2,0.0,No,2021-07-01 17:43:51.562973
Research Independent Study I | MGM 293,IND Section 26,1027,2,2,0.0,No,2021-07-01 17:43:54.039186
Research Independent Study I | MGM 293,IND Section 27,1028,2,2,0.0,No,2021-07-01 17:43:56.469699
Research Independent Study I | MGM 293,IND Section 28,1029,2,2,0.0,No,2021-07-01 17:43:58.795316
Research Independent Study I | MGM 293,IND Section 29,1030,2,2,0.0,No,2021-07-01 17:44:01.121664
Research Independent Study I | MGM 293,IND Section 30,1031,2,2,0.0,No,2021-07-01 17:44:03.436369
Research Independent Study I | MGM 293,IND Section 31,1032,2,2,0.0,No,2021-07-01 17:44:05.833631
Current Technologies in Genomics and Precision Medicine | MGM 325,Lecture Section 01,5955,24,24,0.0,No,2021-07-01 17:44:08.189032
