Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Freedom and the Market | MMS 195FS,SEM Section 01,8789,1,18,94.44444444444444,No,2021-07-01 11:21:47.203631
Organizational Leadership & Management | MMS 197,Lecture Section 01,4421,34,34,0.0,Yes,2021-07-01 11:21:49.637629
Managerial Effectiveness | MMS 210,Lecture Section 01,4409,24,24,0.0,No,2021-07-01 11:21:52.069811
"Marketing Across Borders, Cultures and Demographics | MMS 272",Lecture Section 01,4415,33,33,0.0,Yes,2021-07-01 11:21:54.450318
Voices in Marketing: Advertising in Spanish | MMS 273T-1,TUT Section 01,4418,8,8,0.0,No,2021-07-01 11:21:56.942065
Voices in Marketing: Advertising in French | MMS 273T-2,TUT Section 01,4420,8,8,0.0,No,2021-07-01 11:21:59.321191
Voices in Marketing: Advertising in Chinese | MMS 273T-3,TUT Section 01,4422,8,8,0.0,No,2021-07-01 11:22:01.813969
Strategic Financial Management | MMS 365,Lecture Section 01,4413,30,30,0.0,No,2021-07-01 11:22:04.334863
Managerial Finance | MMS 370,Lecture Section 01,4414,40,40,0.0,No,2021-07-01 11:22:06.865060
Entrepreneurial Marketing | MMS 380,Lecture Section 01,4416,24,24,0.0,No,2021-07-01 11:22:09.281872
New Ventures Development | MMS 395,Lecture Section 01,5452,8,8,0.0,No,2021-07-01 11:22:11.667992
Markets and Management Capstone | MMS 450,Lecture Section 01,4410,24,24,0.0,No,2021-07-01 11:22:14.076909
Markets and Management Capstone | MMS 450,Lecture Section 02,4411,24,24,0.0,No,2021-07-01 11:22:16.509799
Markets and Management Capstone | MMS 450,Lecture Section 03,4412,24,24,0.0,No,2021-07-01 11:22:18.886660
Freedom and the Market | MMS 195FS,SEM Section 01,8789,1,18,94.44444444444444,No,2021-07-01 17:44:58.479654
Organizational Leadership & Management | MMS 197,Lecture Section 01,4421,34,34,0.0,Yes,2021-07-01 17:45:00.861249
Managerial Effectiveness | MMS 210,Lecture Section 01,4409,24,24,0.0,No,2021-07-01 17:45:03.249070
"Marketing Across Borders, Cultures and Demographics | MMS 272",Lecture Section 01,4415,33,33,0.0,Yes,2021-07-01 17:45:05.675939
Voices in Marketing: Advertising in Spanish | MMS 273T-1,TUT Section 01,4418,8,8,0.0,No,2021-07-01 17:45:08.109427
Voices in Marketing: Advertising in French | MMS 273T-2,TUT Section 01,4420,8,8,0.0,No,2021-07-01 17:45:10.823433
Voices in Marketing: Advertising in Chinese | MMS 273T-3,TUT Section 01,4422,8,8,0.0,No,2021-07-01 17:45:13.437245
Strategic Financial Management | MMS 365,Lecture Section 01,4413,30,30,0.0,No,2021-07-01 17:45:16.023658
Managerial Finance | MMS 370,Lecture Section 01,4414,40,40,0.0,No,2021-07-01 17:45:18.497319
Entrepreneurial Marketing | MMS 380,Lecture Section 01,4416,24,24,0.0,No,2021-07-01 17:45:20.851745
New Ventures Development | MMS 395,Lecture Section 01,5452,8,8,0.0,No,2021-07-01 17:45:23.689440
Markets and Management Capstone | MMS 450,Lecture Section 01,4410,24,24,0.0,No,2021-07-01 17:45:26.736969
Markets and Management Capstone | MMS 450,Lecture Section 02,4411,24,24,0.0,No,2021-07-01 17:45:29.546349
Markets and Management Capstone | MMS 450,Lecture Section 03,4412,24,24,0.0,No,2021-07-01 17:45:32.782935
