Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Introduction to Naval Science | NAVALSCI 101,Lecture Section 01,6483,10,10,0.0,No,2021-07-01 11:19:44.691421
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,6491,10,10,0.0,No,2021-07-01 11:19:47.056457
Evolution of Warfare | NAVALSCI 213S,SEM Section 01,8679,10,10,0.0,No,2021-07-01 11:19:49.429060
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,6490,10,10,0.0,No,2021-07-01 11:19:51.773732
Naval Ship Systems | NAVALSCI 331,Lecture Section 01,6484,10,10,0.0,No,2021-07-01 11:19:54.119349
Navigation | NAVALSCI 353,Lecture Section 001,6485,7,7,0.0,No,2021-07-01 11:19:56.445287
Navigation Laboratory | NAVALSCI 353L,Laboratory Section 01L,6486,7,7,0.0,No,2021-07-01 11:19:58.825855
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,6489,10,10,0.0,No,2021-07-01 11:20:01.149571
Leadership and Ethics | NAVALSCI 423S,SEM Section 01,6487,10,10,0.0,No,2021-07-01 11:20:03.525159
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,6488,10,10,0.0,No,2021-07-01 11:20:05.857482
Introduction to Naval Science | NAVALSCI 101,Lecture Section 01,6483,10,10,0.0,No,2021-07-01 17:42:47.252341
First Year Naval Leadership Laboratory | NAVALSCI 189L,Laboratory Section 01L,6491,10,10,0.0,No,2021-07-01 17:42:49.759620
Evolution of Warfare | NAVALSCI 213S,SEM Section 01,8679,10,10,0.0,No,2021-07-01 17:42:52.203379
Second Year Leadership Laboratory | NAVALSCI 289L,Laboratory Section 01L,6490,10,10,0.0,No,2021-07-01 17:42:54.568345
Naval Ship Systems | NAVALSCI 331,Lecture Section 01,6484,10,10,0.0,No,2021-07-01 17:42:56.930264
Navigation | NAVALSCI 353,Lecture Section 001,6485,7,7,0.0,No,2021-07-01 17:42:59.276722
Navigation Laboratory | NAVALSCI 353L,Laboratory Section 01L,6486,7,7,0.0,No,2021-07-01 17:43:01.599463
Third Year Naval Leadership Laboratory | NAVALSCI 389L,Laboratory Section 01L,6489,10,10,0.0,No,2021-07-01 17:43:03.941376
Leadership and Ethics | NAVALSCI 423S,SEM Section 01,6487,10,10,0.0,No,2021-07-01 17:43:06.254726
Fourth Year Naval Leadership Laboratory | NAVALSCI 489L,Laboratory Section 01L,6488,10,10,0.0,No,2021-07-01 17:43:08.570895
