Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"The Googlization of Knowledge: Information, Ethics, and Technology | PJMS 112",Lecture Section 01,7448,18,18,0.0,No,2021-07-01 11:20:38.932037
Introduction to Audio Documentary | PJMS 135S,SEM Section 01,6657,13,13,0.0,No,2021-07-01 11:20:41.301630
Video Journalism | PJMS 365S,SEM Section 01,5772,12,12,0.0,No,2021-07-01 11:20:43.672346
Magazine Journalism | PJMS 366S,SEM Section 01,5776,12,12,0.0,No,2021-07-01 11:20:46.008629
News Writing and Reporting | PJMS 367S,SEM Section 01,5778,12,12,0.0,No,2021-07-01 11:20:48.360448
News as a Moral Battleground | PJMS 371,Lecture Section 01,5780,25,25,0.0,No,2021-07-01 11:20:50.761117
Journalism in the Age of Data | PJMS 375,Lecture Section 01,5790,20,20,0.0,No,2021-07-01 11:20:53.104350
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 70,5788,12,12,0.0,No,2021-07-01 11:20:55.457174
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 80,5789,15,15,0.0,No,2021-07-01 11:20:57.823338
Independent Study | PJMS 391,IND Section 01,1447,1,1,0.0,No,2021-07-01 11:21:00.350761
Independent Study | PJMS 391,IND Section 02,1448,1,1,0.0,No,2021-07-01 11:21:02.836837
Independent Study | PJMS 391,IND Section 03,1449,1,1,0.0,No,2021-07-01 11:21:05.195449
Independent Study | PJMS 391,IND Section 04,1450,1,1,0.0,No,2021-07-01 11:21:07.521810
Independent Study | PJMS 391,IND Section 05,1451,1,1,0.0,No,2021-07-01 11:21:09.937633
Independent Study | PJMS 391,IND Section 06,1452,1,1,0.0,No,2021-07-01 11:21:12.384432
Independent Study | PJMS 391,IND Section 07,1453,1,1,0.0,No,2021-07-01 11:21:14.722890
Independent Study | PJMS 391,IND Section 08,1454,1,1,0.0,No,2021-07-01 11:21:17.062936
Advanced Reporting | PJMS 397S,SEM Section 01,5792,8,8,0.0,No,2021-07-01 11:21:19.428100
Policy Journalism and Media Studies Capstone Course | PJMS 410,Lecture Section 01,5786,15,15,0.0,No,2021-07-01 11:21:21.835346
"The Googlization of Knowledge: Information, Ethics, and Technology | PJMS 112",Lecture Section 01,7448,18,18,0.0,No,2021-07-01 17:44:14.467883
Introduction to Audio Documentary | PJMS 135S,SEM Section 01,6657,13,13,0.0,No,2021-07-01 17:44:16.954232
Video Journalism | PJMS 365S,SEM Section 01,5772,12,12,0.0,No,2021-07-01 17:44:19.426924
Magazine Journalism | PJMS 366S,SEM Section 01,5776,12,12,0.0,No,2021-07-01 17:44:21.801941
News Writing and Reporting | PJMS 367S,SEM Section 01,5778,12,12,0.0,No,2021-07-01 17:44:24.162364
News as a Moral Battleground | PJMS 371,Lecture Section 01,5780,25,25,0.0,No,2021-07-01 17:44:26.512487
Journalism in the Age of Data | PJMS 375,Lecture Section 01,5790,20,20,0.0,No,2021-07-01 17:44:28.909221
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 70,5788,12,12,0.0,No,2021-07-01 17:44:31.288192
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 80,5789,15,15,0.0,No,2021-07-01 17:44:33.649511
Independent Study | PJMS 391,IND Section 01,1447,1,1,0.0,No,2021-07-01 17:44:36.033506
Independent Study | PJMS 391,IND Section 02,1448,1,1,0.0,No,2021-07-01 17:44:38.454762
Independent Study | PJMS 391,IND Section 03,1449,1,1,0.0,No,2021-07-01 17:44:40.843345
Independent Study | PJMS 391,IND Section 04,1450,1,1,0.0,No,2021-07-01 17:44:43.211115
Independent Study | PJMS 391,IND Section 05,1451,1,1,0.0,No,2021-07-01 17:44:45.598160
Independent Study | PJMS 391,IND Section 06,1452,1,1,0.0,No,2021-07-01 17:44:48.158962
Independent Study | PJMS 391,IND Section 07,1453,1,1,0.0,No,2021-07-01 17:44:50.539167
Independent Study | PJMS 391,IND Section 08,1454,1,1,0.0,No,2021-07-01 17:44:52.908927
Advanced Reporting | PJMS 397S,SEM Section 01,5792,8,8,0.0,No,2021-07-01 17:44:55.273281
Policy Journalism and Media Studies Capstone Course | PJMS 410,Lecture Section 01,5786,15,15,0.0,No,2021-07-01 17:44:57.688297
