Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | PUBPOL 89S,SEM Section 01,6927,18,18,0.0,No,2021-07-01 17:44:47.667249
First-Year Seminar | PUBPOL 89S,SEM Section 04,7281,18,18,0.0,No,2021-07-01 17:44:50.225937
"Information, Society & Culture: Bass Connections Gateway | PUBPOL 110",Lecture Section 01,7421,40,40,0.0,No,2021-07-01 17:44:52.682212
"Human Rights: Back to the Future, looking at roots and current reality of human rights | PUBPOL 115FS",SEM Section 01,4199,5,18,72.22222222222221,No,2021-07-01 17:44:55.076816
History of the Present | PUBPOL 123,Lecture Section 01,7021,100,100,0.0,No,2021-07-01 17:44:57.539499
Introduction to Policy Analysis | PUBPOL 155D,Lecture Section 001,7820,156,156,0.0,No,2021-07-01 17:44:59.893803
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 01D,7821,17,17,0.0,No,2021-07-01 17:45:02.272313
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 02D,7822,17,17,0.0,No,2021-07-01 17:45:04.611550
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 03D,7823,17,17,0.0,No,2021-07-01 17:45:06.957606
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 04D,7824,17,17,0.0,No,2021-07-01 17:45:09.408334
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 05D,7825,17,17,0.0,No,2021-07-01 17:45:12.001205
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 06D,7826,17,17,0.0,No,2021-07-01 17:45:14.403462
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 07D,7827,16,16,0.0,No,2021-07-01 17:45:16.873628
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 08D,7828,16,16,0.0,No,2021-07-01 17:45:19.383603
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 09D,7829,16,16,0.0,No,2021-07-01 17:45:21.838480
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 10D,7830,15,15,0.0,No,2021-07-01 17:45:24.543241
Intro to the History of Modern Warfare | PUBPOL 160,Lecture Section 01,6996,35,35,0.0,No,2021-07-01 17:45:27.646484
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 01,7909,45,45,0.0,No,2021-07-01 17:45:30.659157
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Lecture Section 001,6398,60,60,0.0,No,2021-07-01 17:45:33.868466
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 02D,6399,15,15,0.0,No,2021-07-01 17:45:36.762016
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 03D,6400,15,15,0.0,No,2021-07-01 17:45:39.209764
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 04D,6401,15,15,0.0,No,2021-07-01 17:45:41.873871
"Introduction to Security, Peace and Conflict | PUBPOL 166D",Discussion Section 05D,6402,15,15,0.0,No,2021-07-01 17:45:44.291196
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 01,6637,12,12,0.0,Yes,2021-07-01 17:45:46.908223
Human Rights and World Politics | PUBPOL 181FS,SEM Section 01,7287,0,18,100.0,No,2021-07-01 17:45:49.446337
Drugs and the Law | PUBPOL 185FS,SEM Section 01,4985,0,18,100.0,No,2021-07-01 17:45:51.825128
Ethical Implications of Genetic and Genomic Research | PUBPOL 186FS,SEM Section 01,4683,0,18,100.0,No,2021-07-01 17:45:54.176733
Globalization and Corporate Citizenship | PUBPOL 187FS,SEM Section 01,7295,0,18,100.0,No,2021-07-01 17:45:56.532751
Lessons from evidence based policy making in COVID | PUBPOL 188FS,SEM Section 01,8017,0,18,100.0,No,2021-07-01 17:45:58.944307
Focus Program Introductory Special Topics in Public Policy | PUBPOL 190FS,SEM Section 02,7948,1,18,94.44444444444444,No,2021-07-01 17:46:01.453456
Focus Program Introductory Special Topics in Public Policy | PUBPOL 190FS,SEM Section 03,7282,0,18,100.0,No,2021-07-01 17:46:04.046079
Patient and Research Participant Activism and Advocacy | PUBPOL 196FS,SEM Section 01,8123,0,18,100.0,No,2021-07-01 17:46:06.552617
"Risks, Rewards, Rules, and Tools: Science Law and Policy | PUBPOL 199FS",SEM Section 01,8127,0,18,100.0,No,2021-07-01 17:46:08.986878
Introduction to Engaged Citizenship and Social Change (Gateway Course) | PUBPOL 203,Lecture Section 01,7314,30,30,0.0,No,2021-07-01 17:46:11.427194
Development and Africa | PUBPOL 207,Lecture Section 01,7320,50,50,0.0,No,2021-07-01 17:46:13.859544
Documentary and Policy: How Documentary Influences Policy | PUBPOL 228S,SEM Section 01,6672,15,15,0.0,No,2021-07-01 17:46:16.273528
Child Policy Research | PUBPOL 242S,SEM Section 01,4327,18,18,0.0,No,2021-07-01 17:46:18.642396
"Children, Schools, and Society | PUBPOL 243S",SEM Section 01,6929,18,18,0.0,No,2021-07-01 17:46:20.979631
"Law, Ethics & Responsibility | PUBPOL 250FS",SEM Section 01,4377,0,18,100.0,No,2021-07-01 17:46:23.336460
Amazon.com and the Cybereconomy | PUBPOL 252,Lecture Section 01,4205,30,30,0.0,No,2021-07-01 17:46:25.709054
Social Innovation | PUBPOL 256,Lecture Section 01,5459,12,12,0.0,Yes,2021-07-01 17:46:28.085105
Social Innovation | PUBPOL 256,Lecture Section 02,5460,12,12,0.0,Yes,2021-07-01 17:46:30.446305
Shakespeare & Financial Markets: Why This Time is Never Different | PUBPOL 257S,SEM Section 01,6124,18,18,0.0,No,2021-07-01 17:46:32.872073
Women as Leaders | PUBPOL 259S,SEM Section 01,7855,18,18,0.0,No,2021-07-01 17:46:35.373506
The US Intelligence Enterprise | PUBPOL 269S,SEM Section 01,8009,15,15,0.0,No,2021-07-01 17:46:38.053791
"Lead the Way Durham: Civic Engagement, Social Innovation, and Community Leadership in the Bull City | PUBPOL 270S",SEM Section 01,9755,18,18,0.0,No,2021-07-01 17:46:40.483486
Overlooked Children: Topics of Equity and Access in Gifted Education | PUBPOL 272S,SEM Section 01,6951,18,18,0.0,No,2021-07-01 17:46:42.971231
Marine Policy | PUBPOL 281A,Lecture Section 01,9537,4,4,0.0,No,2021-07-01 17:46:45.444656
"Denial, Faith, Reason: Sustainability and Survival | PUBPOL 284",Lecture Section 01,7976,20,20,0.0,No,2021-07-01 17:46:47.876775
Comparative Urban Politics and Policymaking | PUBPOL 285S,SEM Section 01,6459,18,18,0.0,No,2021-07-01 17:46:50.305605
International Trade | PUBPOL 288,Lecture Section 01,6016,20,20,0.0,No,2021-07-01 17:46:52.751617
