Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Drugs and the Law | SCISOC 153FS,SEM Section 01,4986,0,18,100.0,No,2021-07-01 11:22:16.853735
Introduction to the United States Health Care System | SCISOC 165,Lecture Section 01,7910,45,45,0.0,No,2021-07-01 11:22:19.269925
Patient and Research Participant Activism and Advocacy | SCISOC 196FS,SEM Section 01,8119,0,18,100.0,No,2021-07-01 11:22:21.765485
From Siri to Skynet: Our Complex Relationships with Technology | SCISOC 197FS,SEM Section 01,8118,1,18,94.44444444444444,No,2021-07-01 11:22:24.245493
"Performing Science: Experimentation, Collaboration, and Artistry | SCISOC 198FS",SEM Section 01,8909,1,18,94.44444444444444,No,2021-07-01 11:22:26.741445
"Risks, Rewards, Rules, and Tools: Science Law and Policy | SCISOC 199FS",SEM Section 01,8126,0,18,100.0,No,2021-07-01 11:22:29.101672
"Law, Ethics & Responsibility | SCISOC 212FS",SEM Section 01,4378,0,18,100.0,No,2021-07-01 11:22:31.520395
Science and Society | SCISOC 256,Lecture Section 01,8110,12,12,0.0,No,2021-07-01 11:22:33.891387
"Race, Genomics, and Society | SCISOC 258D",Lecture Section 001,7336,100,100,0.0,No,2021-07-01 11:22:36.235275
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 01D,7337,19,19,0.0,Yes,2021-07-01 11:22:38.614781
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 02D,7338,18,18,0.0,Yes,2021-07-01 11:22:40.940735
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 03D,7339,19,19,0.0,Yes,2021-07-01 11:22:43.278862
"Race, Genomics, and Society | SCISOC 258D",Discussion Section 04D,7340,19,19,0.0,Yes,2021-07-01 11:22:45.618040
Topics in Science & Society | SCISOC 290,Lecture Section 02,8200,45,45,0.0,No,2021-07-01 11:22:47.965889
Research Independent Study in Science & Society | SCISOC 293,IND Section 01,1646,10,10,0.0,No,2021-07-01 11:22:50.338291
Research Independent Study in Science & Society | SCISOC 293,IND Section 02,1647,1,1,0.0,No,2021-07-01 11:22:52.729767
Research Independent Study in Science & Society | SCISOC 293,IND Section 03,1648,1,1,0.0,No,2021-07-01 11:22:55.126404
Research Independent Study in Science & Society | SCISOC 293,IND Section 04,1649,1,1,0.0,No,2021-07-01 11:22:57.475286
Research Independent Study in Science & Society | SCISOC 293,IND Section 05,1650,1,1,0.0,No,2021-07-01 11:22:59.811927
Research Independent Study in Science & Society | SCISOC 293,IND Section 06,1651,1,1,0.0,No,2021-07-01 11:23:02.176874
Research Independent Study in Science & Society | SCISOC 293,IND Section 07,1652,1,1,0.0,No,2021-07-01 11:23:04.559007
Research Independent Study in Science & Society | SCISOC 293,IND Section 08,1653,1,1,0.0,No,2021-07-01 11:23:06.909685
Research Independent Study in Science & Society | SCISOC 293,IND Section 09,1654,1,1,0.0,No,2021-07-01 11:23:09.327829
Research Independent Study in Science & Society | SCISOC 293,IND Section 10,1655,12,12,0.0,No,2021-07-01 11:23:11.704871
Research Independent Study in Science & Society | SCISOC 293,IND Section 11,8111,10,10,0.0,No,2021-07-01 11:23:14.038990
Research Independent Study in Science & Society | SCISOC 293,IND Section 12,8112,10,10,0.0,No,2021-07-01 11:23:16.394381
Research Independent Study in Science & Society | SCISOC 294,IND Section 01,1656,1,1,0.0,No,2021-07-01 11:23:18.721013
