Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Spies Like Us: Screening Cold War Espionage | SES 270,Lecture Section 01,6383,35,35,0.0,No,2021-07-01 11:24:05.167312
The Turks: From Ottoman Empire to European Union | SES 287,Lecture Section 01,6571,18,18,0.0,No,2021-07-01 11:24:07.578397
Special Topics in Slavic and Eurasian Studies | SES 290S,SEM Section 01,7596,18,18,0.0,No,2021-07-01 11:24:09.996774
Islam in Asia | SES 370S,SEM Section 01,6370,18,18,0.0,No,2021-07-01 11:24:12.365534
Language and Society | SES 385,Lecture Section 01,7261,25,25,0.0,No,2021-07-01 11:24:14.767207
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | SES 388S,SEM Section 01,6378,18,18,0.0,No,2021-07-01 11:24:17.176827
Spies Like Us: Screening Cold War Espionage | SES 270,Lecture Section 01,6383,35,35,0.0,No,2021-07-01 17:47:41.699782
The Turks: From Ottoman Empire to European Union | SES 287,Lecture Section 01,6571,18,18,0.0,No,2021-07-01 17:47:44.135128
Special Topics in Slavic and Eurasian Studies | SES 290S,SEM Section 01,7596,18,18,0.0,No,2021-07-01 17:47:46.529994
Islam in Asia | SES 370S,SEM Section 01,6370,18,18,0.0,No,2021-07-01 17:47:48.900951
Language and Society | SES 385,Lecture Section 01,7261,25,25,0.0,No,2021-07-01 17:47:51.248541
Illiberal Nondemocracies: Focus on Eastern Europe and Asia | SES 388S,SEM Section 01,6378,18,18,0.0,No,2021-07-01 17:47:53.600795
