Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Data Analysis and Statistical Inference | STA 101L,Lecture Section 001,6279,90,90,0.0,No,2021-07-01 11:26:53.393151
Data Analysis and Statistical Inference | STA 101L,Lecture Section 002,6280,90,90,0.0,No,2021-07-01 11:26:55.828176
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 01L,6281,30,30,0.0,No,2021-07-01 11:26:58.196518
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 02L,6282,30,30,0.0,No,2021-07-01 11:27:00.561954
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 03L,6283,30,30,0.0,No,2021-07-01 11:27:02.881477
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 04L,6284,30,30,0.0,No,2021-07-01 11:27:05.269508
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 05L,6285,30,30,0.0,No,2021-07-01 11:27:07.588036
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 06L,6286,30,30,0.0,No,2021-07-01 11:27:09.915055
Focus Program - Introductory Special Topics in Statistics | STA 110FS,SEM Section 01,6295,0,18,100.0,No,2021-07-01 11:27:12.229003
Introduction to Global Health Data Science | STA 198L,Lecture Section 001,6337,90,90,0.0,No,2021-07-01 11:27:14.575332
Introduction to Global Health Data Science | STA 198L,Laboratory Section 01L,6338,1,1,0.0,Yes,2021-07-01 11:27:16.897560
Introduction to Global Health Data Science | STA 198L,Laboratory Section 02L,6339,1,1,0.0,Yes,2021-07-01 11:27:19.226446
Introduction to Global Health Data Science | STA 198L,Laboratory Section 03L,6340,1,1,0.0,Yes,2021-07-01 11:27:21.530088
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 001,6312,90,90,0.0,No,2021-07-01 11:27:23.856530
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 002,6313,90,90,0.0,No,2021-07-01 11:27:26.176668
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 003,6314,90,90,0.0,No,2021-07-01 11:27:28.514965
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 01L,6315,30,30,0.0,Yes,2021-07-01 11:27:30.847438
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 02L,6316,30,30,0.0,Yes,2021-07-01 11:27:33.166024
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 03L,6317,30,30,0.0,Yes,2021-07-01 11:27:35.490678
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 04L,6318,30,30,0.0,Yes,2021-07-01 11:27:37.820609
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 05L,6319,30,30,0.0,Yes,2021-07-01 11:27:40.144955
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 06L,6320,30,30,0.0,Yes,2021-07-01 11:27:42.475930
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 07L,6321,30,30,0.0,Yes,2021-07-01 11:27:44.861631
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 08L,6322,30,30,0.0,Yes,2021-07-01 11:27:47.180434
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 09L,6323,30,30,0.0,Yes,2021-07-01 11:27:49.496529
Regression Analysis | STA 210L,Lecture Section 001,6287,90,90,0.0,No,2021-07-01 11:27:51.807727
Regression Analysis | STA 210L,Laboratory Section 01L,6288,30,30,0.0,Yes,2021-07-01 11:27:54.128793
Regression Analysis | STA 210L,Laboratory Section 02L,6289,30,30,0.0,Yes,2021-07-01 11:27:56.462342
Regression Analysis | STA 210L,Laboratory Section 03L,6290,30,30,0.0,Yes,2021-07-01 11:27:58.772489
The Mathematics of Regression | STA 211,Lecture Section 01,6345,90,90,0.0,No,2021-07-01 11:28:01.093007
Probability | STA 230,Lecture Section 01,4754,30,30,0.0,No,2021-07-01 11:28:03.409154
Probability | STA 230,Lecture Section 02,4755,30,30,0.0,No,2021-07-01 11:28:05.778242
Probability | STA 230,Lecture Section 03,4756,30,30,0.0,No,2021-07-01 11:28:08.126566
Probability | STA 230,Lecture Section 04,4757,30,30,0.0,No,2021-07-01 11:28:10.470506
Probability | STA 230,Lecture Section 05,4758,30,30,0.0,No,2021-07-01 11:28:12.854696
Advanced Introduction to Probability | STA 231,Lecture Section 01,4840,25,25,0.0,No,2021-07-01 11:28:15.176158
"Probability for Statistical Inference, Modeling, and Data Analysis | STA 240L",Lecture Section 001,6327,40,40,0.0,No,2021-07-01 11:28:17.490761
"Probability for Statistical Inference, Modeling, and Data Analysis | STA 240L",Laboratory Section 01L,6328,40,40,0.0,No,2021-07-01 11:28:19.860399
Advanced Data Visualization | STA 313L,Lecture Section 001,6347,30,30,0.0,No,2021-07-01 11:28:22.171567
Advanced Data Visualization | STA 313L,Laboratory Section 01L,6348,30,30,0.0,No,2021-07-01 11:28:24.504525
Machine Learning and Data Mining | STA 325L,Lecture Section 001,6309,45,45,0.0,No,2021-07-01 11:28:26.816745
Machine Learning and Data Mining | STA 325L,Laboratory Section 01L,6310,23,23,0.0,No,2021-07-01 11:28:29.128379
Machine Learning and Data Mining | STA 325L,Laboratory Section 02L,6311,22,22,0.0,No,2021-07-01 11:28:31.438124
Bayesian Inference and Modern Statistical Methods | STA 360L,Lecture Section 001,6292,60,60,0.0,No,2021-07-01 11:28:33.825115
Bayesian Inference and Modern Statistical Methods | STA 360L,Laboratory Section 01L,6293,30,30,0.0,No,2021-07-01 11:28:36.153295
Bayesian Inference and Modern Statistical Methods | STA 360L,Laboratory Section 02L,6294,30,30,0.0,No,2021-07-01 11:28:38.491801
Theory and Methods of Statistical Learning and Inference | STA 432,Lecture Section 01,6333,60,60,0.0,No,2021-07-01 11:28:40.820462
Case Studies in the Practice of Statistics | STA 440L,Lecture Section 001,6304,30,30,0.0,No,2021-07-01 11:28:43.136767
Case Studies in the Practice of Statistics | STA 440L,Laboratory Section 01L,6305,30,30,0.0,No,2021-07-01 11:28:45.453868
,Lecture Section 01,4845,40,40,0.0,No,2021-07-01 11:28:47.641947
,SEM Section 01,6291,18,18,0.0,No,2021-07-01 11:28:49.824490
Data Analysis and Statistical Inference | STA 101L,Lecture Section 001,6279,90,90,0.0,No,2021-07-01 17:50:31.722693
Data Analysis and Statistical Inference | STA 101L,Lecture Section 002,6280,90,90,0.0,No,2021-07-01 17:50:34.184198
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 01L,6281,30,30,0.0,No,2021-07-01 17:50:36.802658
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 02L,6282,30,30,0.0,No,2021-07-01 17:50:39.238449
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 03L,6283,30,30,0.0,No,2021-07-01 17:50:41.581128
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 04L,6284,30,30,0.0,No,2021-07-01 17:50:43.959037
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 05L,6285,30,30,0.0,No,2021-07-01 17:50:46.338453
Data Analysis and Statistical Inference | STA 101L,Laboratory Section 06L,6286,30,30,0.0,No,2021-07-01 17:50:48.744005
Focus Program - Introductory Special Topics in Statistics | STA 110FS,SEM Section 01,6295,0,18,100.0,No,2021-07-01 17:50:51.107808
Introduction to Global Health Data Science | STA 198L,Lecture Section 001,6337,90,90,0.0,No,2021-07-01 17:50:53.518217
Introduction to Global Health Data Science | STA 198L,Laboratory Section 01L,6338,1,1,0.0,Yes,2021-07-01 17:50:55.873557
Introduction to Global Health Data Science | STA 198L,Laboratory Section 02L,6339,1,1,0.0,Yes,2021-07-01 17:50:58.206913
Introduction to Global Health Data Science | STA 198L,Laboratory Section 03L,6340,1,1,0.0,Yes,2021-07-01 17:51:00.540961
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 001,6312,90,90,0.0,No,2021-07-01 17:51:02.990251
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 002,6313,90,90,0.0,No,2021-07-01 17:51:05.339221
Introduction to Data Science and Statistical Thinking | STA 199L,Lecture Section 003,6314,90,90,0.0,No,2021-07-01 17:51:07.666873
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 01L,6315,30,30,0.0,Yes,2021-07-01 17:51:10.110563
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 02L,6316,30,30,0.0,Yes,2021-07-01 17:51:12.506151
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 03L,6317,30,30,0.0,Yes,2021-07-01 17:51:14.852520
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 04L,6318,30,30,0.0,Yes,2021-07-01 17:51:17.215090
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 05L,6319,30,30,0.0,Yes,2021-07-01 17:51:19.569923
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 06L,6320,30,30,0.0,Yes,2021-07-01 17:51:21.923195
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 07L,6321,30,30,0.0,Yes,2021-07-01 17:51:24.247937
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 08L,6322,30,30,0.0,Yes,2021-07-01 17:51:26.673009
Introduction to Data Science and Statistical Thinking | STA 199L,Laboratory Section 09L,6323,30,30,0.0,Yes,2021-07-01 17:51:28.989541
Regression Analysis | STA 210L,Lecture Section 001,6287,90,90,0.0,No,2021-07-01 17:51:31.324671
Regression Analysis | STA 210L,Laboratory Section 01L,6288,30,30,0.0,Yes,2021-07-01 17:51:33.671153
Regression Analysis | STA 210L,Laboratory Section 02L,6289,30,30,0.0,Yes,2021-07-01 17:51:36.039263
Regression Analysis | STA 210L,Laboratory Section 03L,6290,30,30,0.0,Yes,2021-07-01 17:51:38.374843
The Mathematics of Regression | STA 211,Lecture Section 01,6345,90,90,0.0,No,2021-07-01 17:51:40.692163
Probability | STA 230,Lecture Section 01,4754,30,30,0.0,No,2021-07-01 17:51:42.998795
Probability | STA 230,Lecture Section 02,4755,30,30,0.0,No,2021-07-01 17:51:45.319451
Probability | STA 230,Lecture Section 03,4756,30,30,0.0,No,2021-07-01 17:51:47.644380
Probability | STA 230,Lecture Section 04,4757,30,30,0.0,No,2021-07-01 17:51:50.071951
Probability | STA 230,Lecture Section 05,4758,30,30,0.0,No,2021-07-01 17:51:52.665672
Advanced Introduction to Probability | STA 231,Lecture Section 01,4840,25,25,0.0,No,2021-07-01 17:51:55.001844
"Probability for Statistical Inference, Modeling, and Data Analysis | STA 240L",Lecture Section 001,6327,40,40,0.0,No,2021-07-01 17:51:57.339711
"Probability for Statistical Inference, Modeling, and Data Analysis | STA 240L",Laboratory Section 01L,6328,40,40,0.0,No,2021-07-01 17:51:59.655652
Advanced Data Visualization | STA 313L,Lecture Section 001,6347,30,30,0.0,No,2021-07-01 17:52:01.984218
Advanced Data Visualization | STA 313L,Laboratory Section 01L,6348,30,30,0.0,No,2021-07-01 17:52:04.297329
Machine Learning and Data Mining | STA 325L,Lecture Section 001,6309,45,45,0.0,No,2021-07-01 17:52:06.614837
Machine Learning and Data Mining | STA 325L,Laboratory Section 01L,6310,23,23,0.0,No,2021-07-01 17:52:08.930237
Machine Learning and Data Mining | STA 325L,Laboratory Section 02L,6311,22,22,0.0,No,2021-07-01 17:52:11.256069
Bayesian Inference and Modern Statistical Methods | STA 360L,Lecture Section 001,6292,60,60,0.0,No,2021-07-01 17:52:13.657524
Bayesian Inference and Modern Statistical Methods | STA 360L,Laboratory Section 01L,6293,30,30,0.0,No,2021-07-01 17:52:15.984002
Bayesian Inference and Modern Statistical Methods | STA 360L,Laboratory Section 02L,6294,30,30,0.0,No,2021-07-01 17:52:18.335024
Theory and Methods of Statistical Learning and Inference | STA 432,Lecture Section 01,6333,60,60,0.0,No,2021-07-01 17:52:20.705973
Case Studies in the Practice of Statistics | STA 440L,Lecture Section 001,6304,30,30,0.0,No,2021-07-01 17:52:23.086567
Case Studies in the Practice of Statistics | STA 440L,Laboratory Section 01L,6305,30,30,0.0,No,2021-07-01 17:52:25.437504
Introduction to High Dimensional Data Analysis | STA 465,Lecture Section 01,4845,40,40,0.0,No,2021-07-01 17:52:27.882387
Introduction to Statistical Consulting | STA 470S,SEM Section 01,6291,18,18,0.0,No,2021-07-01 17:52:30.251791
