Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTHIST 89S,SEM Section 01,8939,15,15,0.0,No,2021-06-28 13:02:21.869801
First-Year Seminar | ARTHIST 89S,SEM Section 02,5127,18,18,0.0,No,2021-06-28 13:02:24.212886
The Tokyo Idea: Visualizing a Global City | ARTHIST 219,Lecture Section 01,9218,12,12,0.0,No,2021-06-28 13:02:26.691252
Medieval Castles of Europe | ARTHIST 227,Lecture Section 01,9179,14,14,0.0,No,2021-06-28 13:02:29.092316
Jerusalem | ARTHIST 230S,SEM Section 01,9226,15,15,0.0,No,2021-06-28 13:02:31.568230
History of Art Markets | ARTHIST 231,Lecture Section 01,8940,35,35,0.0,No,2021-06-28 13:02:34.022691
History of Art Markets | ARTHIST 231,Lecture Section 02,8941,35,35,0.0,No,2021-06-28 13:02:36.465963
Science Fiction Film | ARTHIST 238,Lecture Section 01,7255,20,20,0.0,No,2021-06-28 13:02:38.866891
"Women in Visual Arts, 1400-1800: Theory and History | ARTHIST 245S",SEM Section 01,9440,11,11,0.0,No,2021-06-28 13:02:41.407225
Italian Baroque Art | ARTHIST 256,Lecture Section 01,9140,12,12,0.0,No,2021-06-28 13:02:43.833567
Modern Architecture | ARTHIST 285D,Lecture Section 001,9013,15,15,0.0,No,2021-06-28 13:02:46.251868
Modern Architecture | ARTHIST 285D,Discussion Section 01D,9014,15,15,0.0,No,2021-06-28 13:02:48.675809
Independent Study | ARTHIST 291,IND Section 01,8995,3,3,0.0,No,2021-06-28 13:02:51.058973
Independent Study | ARTHIST 291,IND Section 02,8996,3,3,0.0,No,2021-06-28 13:02:53.493140
Independent Study | ARTHIST 292,IND Section 01,9005,3,3,0.0,No,2021-06-28 13:02:55.956803
Independent Study | ARTHIST 292,IND Section 02,9006,3,3,0.0,No,2021-06-28 13:02:58.470579
Research Independent Study | ARTHIST 293,IND Section 01,8993,3,3,0.0,No,2021-06-28 13:03:00.927386
Research Independent Study | ARTHIST 293,IND Section 02,8994,3,3,0.0,No,2021-06-28 13:03:03.317722
Research Independent Study | ARTHIST 294,IND Section 01,9003,3,3,0.0,No,2021-06-28 13:03:05.642384
Research Independent Study | ARTHIST 294,IND Section 02,9004,3,3,0.0,No,2021-06-28 13:03:07.979198
Museum Practicum I | ARTHIST 310,FLD Section 01,8973,10,10,0.0,No,2021-06-28 13:03:10.365586
